====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 1800 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.442E22 atoms/cm3 = 7.806 g/cm3
  Layer # 1- Fe = 88.8 Atomic Percent = 89.1 Mass Percent
  Layer # 1- Cr = 9.64 Atomic Percent = 9.00 Mass Percent
  Layer # 1-  C = .510 Atomic Percent = .110 Mass Percent
  Layer # 1- Mn = .410 Atomic Percent = .404 Mass Percent
  Layer # 1-  V = .220 Atomic Percent = .201 Mass Percent
  Layer # 1-  W = .330 Atomic Percent = 1.09 Mass Percent
  Layer # 1- Ta = .02  Atomic Percent = 6.49 Mass Percent
====================================================================
 Total Ions calculated =2786547.00
 Total Target Vacancies     = 13 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
250001.E-02  1379.20E-09  2491.51E-09  
500001.E-02  4671.59E-09  1043.58E-08  
750001.E-02  8733.53E-09  1808.70E-08  
100000.E-01  6571.43E-09  1426.96E-08  
125000.E-01  6839.29E-09  1462.34E-08  
150000.E-01  8156.76E-09  1672.88E-08  
175000.E-01  8519.22E-09  1697.57E-08  
200000.E-01  8604.20E-09  1701.16E-08  
225000.E-01  8758.37E-09  1794.39E-08  
250000.E-01  8833.44E-09  1871.30E-08  
275000.E-01  8986.03E-09  1848.20E-08  
300000.E-01  9053.93E-09  1862.53E-08  
325000.E-01  9201.21E-09  1859.76E-08  
350000.E-01  9335.28E-09  1945.37E-08  
375000.E-01  9418.68E-09  1909.03E-08  
400000.E-01  9582.04E-09  1917.38E-08  
425000.E-01  9736.49E-09  1978.62E-08  
450000.E-01  9841.00E-09  2003.71E-08  
475000.E-01  9965.88E-09  1978.47E-08  
500000.E-01  1016.71E-08  1981.79E-08  
525000.E-01  1023.60E-08  2132.93E-08  
550000.E-01  1040.01E-08  2169.30E-08  
575000.E-01  1067.16E-08  2230.46E-08  
600000.E-01  1079.19E-08  2241.73E-08  
625000.E-01  1102.32E-08  2287.98E-08  
650000.E-01  1114.80E-08  2208.74E-08  
675000.E-01  1137.28E-08  2276.57E-08  
700000.E-01  1152.82E-08  2336.76E-08  
725000.E-01  1178.22E-08  2334.71E-08  
750000.E-01  1202.43E-08  2443.27E-08  
775000.E-01  1218.80E-08  2516.14E-08  
800000.E-01  1248.69E-08  2453.07E-08  
825000.E-01  1278.82E-08  2494.04E-08  
850000.E-01  1298.09E-08  2573.96E-08  
875000.E-01  1326.83E-08  2629.68E-08  
900000.E-01  1366.45E-08  2673.39E-08  
925000.E-01  1408.57E-08  2808.63E-08  
950000.E-01  1446.13E-08  2666.42E-08  
975000.E-01  1474.13E-08  2901.67E-08  
100000.E+00  1524.85E-08  2914.12E-08  
102500.E+00  1560.78E-08  2930.04E-08  
105000.E+00  1611.08E-08  3088.15E-08  
107500.E+00  1662.56E-08  3233.80E-08  
110000.E+00  1723.64E-08  3267.01E-08  
112500.E+00  1779.42E-08  3390.95E-08  
115000.E+00  1848.91E-08  3543.63E-08  
117500.E+00  1931.77E-08  3402.31E-08  
120000.E+00  2006.94E-08  3658.85E-08  
122500.E+00  2112.54E-08  3774.21E-08  
125000.E+00  2212.92E-08  3998.94E-08  
127500.E+00  2337.80E-08  4298.99E-08  
130000.E+00  2470.57E-08  4329.37E-08  
132500.E+00  2637.82E-08  4640.03E-08  
135000.E+00  2844.38E-08  4944.21E-08  
137500.E+00  3086.57E-08  5251.05E-08  
140000.E+00  3373.85E-08  5547.31E-08  
142500.E+00  3772.40E-08  6028.67E-08  
145000.E+00  4293.10E-08  6710.82E-08  
147500.E+00  5066.14E-08  7590.31E-08  
150000.E+00  6312.60E-08  8812.13E-08  
152500.E+00  8680.94E-08  1087.02E-07  
155000.E+00  1402.79E-07  1418.14E-07  
157500.E+00  2454.80E-07  1863.69E-07  
160000.E+00  3620.09E-07  2093.96E-07  
162500.E+00  3687.35E-07  1694.87E-07  
165000.E+00  2375.72E-07  9069.68E-08  
167500.E+00  9200.17E-08  3004.96E-08  
170000.E+00  2111.04E-08  6075.51E-09  
172500.E+00  2814.67E-09  7349.85E-10  
175000.E+00  1985.25E-10  4777.42E-11  
177500.E+00  8612.81E-12  7913.03E-13  
