====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 2000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+05 A ;
  Layer # 1- Density = 8.442E22 atoms/cm3 = 7.806 g/cm3
  Layer # 1- Fe = 88.8 Atomic Percent = 89.1 Mass Percent
  Layer # 1- Cr = 9.64 Atomic Percent = 9.00 Mass Percent
  Layer # 1-  C = .510 Atomic Percent = .110 Mass Percent
  Layer # 1- Mn = .410 Atomic Percent = .404 Mass Percent
  Layer # 1-  V = .220 Atomic Percent = .201 Mass Percent
  Layer # 1-  W = .330 Atomic Percent = 1.09 Mass Percent
  Layer # 1- Ta = .02  Atomic Percent = 6.49 Mass Percent
====================================================================
 Total Ions calculated =2683774.96
 Total Target Vacancies     = 14 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
250001.E-02  1128.71E-09  2389.70E-09  
500001.E-02  3732.95E-09  7996.65E-09  
750001.E-02  6990.60E-09  1425.36E-08  
100000.E-01  7262.61E-09  1482.59E-08  
125000.E-01  5531.46E-09  1169.36E-08  
150000.E-01  6794.16E-09  1338.49E-08  
175000.E-01  7546.39E-09  1659.62E-08  
200000.E-01  7689.32E-09  1662.83E-08  
225000.E-01  7696.17E-09  1613.22E-08  
250000.E-01  7858.63E-09  1587.71E-08  
275000.E-01  7887.40E-09  1645.78E-08  
300000.E-01  8063.87E-09  1737.90E-08  
325000.E-01  8053.73E-09  1746.80E-08  
350000.E-01  8183.99E-09  1682.29E-08  
375000.E-01  8258.22E-09  1708.31E-08  
400000.E-01  8319.77E-09  1791.39E-08  
425000.E-01  8468.67E-09  1704.48E-08  
450000.E-01  8585.22E-09  1770.74E-08  
475000.E-01  8651.99E-09  1756.99E-08  
500000.E-01  8654.67E-09  1759.72E-08  
525000.E-01  8861.85E-09  1759.61E-08  
550000.E-01  8951.72E-09  1871.47E-08  
575000.E-01  9054.71E-09  1847.46E-08  
600000.E-01  9164.55E-09  1812.86E-08  
625000.E-01  9355.03E-09  1977.16E-08  
650000.E-01  9373.51E-09  1998.03E-08  
675000.E-01  9541.63E-09  1974.15E-08  
700000.E-01  9647.90E-09  1970.59E-08  
725000.E-01  9764.16E-09  1940.66E-08  
750000.E-01  9964.62E-09  1903.30E-08  
775000.E-01  1005.40E-08  2034.00E-08  
800000.E-01  1032.26E-08  2110.67E-08  
825000.E-01  1038.12E-08  2081.55E-08  
850000.E-01  1054.01E-08  2156.55E-08  
875000.E-01  1073.79E-08  2164.18E-08  
900000.E-01  1088.06E-08  2214.64E-08  
925000.E-01  1112.73E-08  2251.67E-08  
950000.E-01  1141.11E-08  2216.71E-08  
975000.E-01  1152.62E-08  2357.21E-08  
100000.E+00  1173.06E-08  2307.22E-08  
102500.E+00  1197.03E-08  2458.33E-08  
105000.E+00  1223.44E-08  2378.60E-08  
107500.E+00  1237.84E-08  2426.39E-08  
110000.E+00  1267.50E-08  2395.52E-08  
112500.E+00  1294.49E-08  2639.21E-08  
115000.E+00  1324.22E-08  2564.63E-08  
117500.E+00  1357.92E-08  2672.25E-08  
120000.E+00  1395.84E-08  2629.81E-08  
122500.E+00  1424.59E-08  2741.79E-08  
125000.E+00  1463.43E-08  2742.48E-08  
127500.E+00  1503.69E-08  2986.72E-08  
130000.E+00  1552.11E-08  2986.42E-08  
132500.E+00  1605.84E-08  3075.09E-08  
135000.E+00  1638.89E-08  3077.78E-08  
137500.E+00  1705.88E-08  3148.44E-08  
140000.E+00  1766.50E-08  3340.55E-08  
142500.E+00  1831.78E-08  3320.51E-08  
145000.E+00  1899.04E-08  3498.16E-08  
147500.E+00  1990.09E-08  3667.14E-08  
150000.E+00  2081.93E-08  3799.11E-08  
152500.E+00  2178.05E-08  3917.09E-08  
155000.E+00  2296.57E-08  4009.15E-08  
157500.E+00  2435.17E-08  4262.33E-08  
160000.E+00  2596.76E-08  4474.07E-08  
162500.E+00  2779.26E-08  4869.50E-08  
165000.E+00  3001.06E-08  5016.54E-08  
167500.E+00  3293.33E-08  5430.64E-08  
170000.E+00  3655.67E-08  5973.67E-08  
172500.E+00  4142.69E-08  6564.20E-08  
175000.E+00  4836.41E-08  7294.90E-08  
177500.E+00  5940.93E-08  8416.43E-08  
