Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
0.000000E+0	-1.132260E-3
5.000000E-11	-1.173371E-3
1.000000E-10	-1.223046E-3
1.500000E-10	-1.286425E-3
2.000000E-10	-1.382351E-3
2.500000E-10	-1.483415E-3
3.000000E-10	-1.574201E-3
3.500000E-10	-1.623877E-3
4.000000E-10	-1.639293E-3
4.500000E-10	-1.601608E-3
5.000000E-10	-1.565636E-3
5.500000E-10	-1.510822E-3
6.000000E-10	-1.423461E-3
6.500000E-10	-1.341240E-3
7.000000E-10	-1.252166E-3
7.500000E-10	-1.149389E-3
8.000000E-10	-1.092862E-3
8.500000E-10	-1.065455E-3
9.000000E-10	-1.058603E-3
9.500000E-10	-1.111705E-3
1.000000E-9	-1.223046E-3
1.050000E-9	-1.341240E-3
1.100000E-9	-1.464572E-3
1.150000E-9	-1.635867E-3
1.200000E-9	-1.755774E-3
1.250000E-9	-1.872254E-3
1.300000E-9	-1.942485E-3
1.350000E-9	-1.988735E-3
1.400000E-9	-1.993874E-3
1.450000E-9	-1.937347E-3
1.500000E-9	-1.824292E-3
1.550000E-9	-1.694108E-3
1.600000E-9	-1.565636E-3
1.650000E-9	-1.440591E-3
1.700000E-9	-1.332675E-3
1.750000E-9	-1.243602E-3
1.800000E-9	-1.195639E-3
1.850000E-9	-1.183648E-3
1.900000E-9	-1.205917E-3
1.950000E-9	-1.207630E-3
2.000000E-9	-1.272722E-3
2.050000E-9	-1.312120E-3
2.100000E-9	-1.348092E-3
2.150000E-9	-1.387490E-3
2.200000E-9	-1.404619E-3
2.250000E-9	-1.444017E-3
2.300000E-9	-1.440591E-3
2.350000E-9	-1.437165E-3
2.400000E-9	-1.435452E-3
2.450000E-9	-1.435452E-3
2.500000E-9	-1.456008E-3
2.550000E-9	-1.503970E-3
2.600000E-9	-1.575914E-3
2.650000E-9	-1.630728E-3
2.700000E-9	-1.676978E-3
2.750000E-9	-1.733505E-3
2.800000E-9	-1.757487E-3
2.850000E-9	-1.788320E-3
2.900000E-9	-1.796885E-3
2.950000E-9	-1.769477E-3
3.000000E-9	-1.682117E-3
3.050000E-9	-1.577627E-3
3.100000E-9	-1.445730E-3
3.150000E-9	-1.279574E-3
3.200000E-9	-1.106566E-3
3.250000E-9	-9.541132E-4
3.300000E-9	-8.016606E-4
3.350000E-9	-6.577728E-4
3.400000E-9	-5.669865E-4
3.450000E-9	-5.190239E-4
3.500000E-9	-4.864778E-4
3.550000E-9	-4.453670E-4
3.600000E-9	-4.590706E-4
3.650000E-9	-4.522188E-4
3.700000E-9	-4.402282E-4
3.750000E-9	-4.230987E-4
3.800000E-9	-4.419411E-4
3.850000E-9	-4.230987E-4
3.900000E-9	-4.042562E-4
3.950000E-9	-3.785620E-4
4.000000E-9	-3.614325E-4
4.050000E-9	-3.374512E-4
4.100000E-9	-3.203217E-4
4.150000E-9	-3.100440E-4
4.200000E-9	-2.877756E-4
4.250000E-9	-2.569425E-4
4.300000E-9	-1.798598E-4
4.350000E-9	-1.490267E-4
4.400000E-9	-6.851800E-5
4.450000E-9	3.939785E-5
