grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
4.5177 4.6466763e+08 211021.09 0.12719821 6.4483871e-05 4.7295163e-06 4.5029719e-09 2.1567695e-10 NaN 0.0088610819 0.0003876823 0.15666753 0.046573783 5.4667622e-09 NaN -0.0016604622 1.1140057e-05
4.5177 4.6953575e+08 225977.98 0.12914122 6.6283883e-05 4.7314178e-06 4.5504669e-09 2.4361798e-14 NaN 0.019844376 0.00047349845 -0.2015054 0.025509846 5.0000224e-09 NaN -0.0011809734 1.1402166e-05
4.5177 4.6477103e+08 216813.45 0.12758443 6.4818968e-05 4.6935471e-06 4.5003287e-09 2.2216836e-14 NaN 0.0099439181 0.00041462448 0.11494098 0.044449111 0 NaN -0.0011623328 1.1323145e-05
4.5177 4.7356645e+08 222209.66 0.12775514 5.6785381e-05 4.7148382e-06 3.9516062e-09 2.6916689e-14 NaN 0.01155813 0.00035133532 0.02878306 0.032336918 0 NaN -0.00070942825 9.8910138e-06
4.5177 4.617104e+08 220693.78 0.127648 6.3619771e-05 4.7915819e-06 4.447193e-09 3.7067817e-14 NaN 0.0098158836 0.0004244915 0.29616745 0.046256857 0 NaN -0.00078273997 1.0781002e-05
4.5177 4.6326213e+08 217559.37 0.12863722 6.5268275e-05 4.7334942e-06 4.5162857e-09 4.0348312e-14 NaN 0.010940468 0.00045117918 0.44118498 0.044097025 0 NaN -0.0014211008 1.1299371e-05
4.5177 4.6555279e+08 218294.62 0.12829233 6.1398326e-05 4.7256345e-06 4.2598236e-09 2.5228765e-14 NaN 0.0044830022 0.00023299705 0.43721428 0.054457618 0 NaN -0.0013722774 1.0666216e-05
4.5177 4.6934513e+08 226318.24 0.12530754 6.019158e-05 4.6621991e-06 4.2531334e-09 7.6166971e-10 NaN 0.0096420903 0.00042019791 0.28093423 0.046641243 0 NaN -0.0012732693 1.0656042e-05
4.5177 4.6934513e+08 226318.24 0.12530754 6.019158e-05 4.6621991e-06 4.2531334e-09 7.6166971e-10 NaN 0.0096420903 0.00042019791 0.28093423 0.046641243 0 NaN -0.0012732693 1.0656042e-05
4.5177 4.6166435e+08 213731.75 0.12823847 6.2613283e-05 4.7615657e-06 4.3419799e-09 2.7584291e-14 NaN 0.0028970276 0.00016873426 0.097392944 0.060339414 0 NaN -0.00091132023 1.0686299e-05
