run_name grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
Eurofer-HT_run_2022-06-02-9.4 um-26C_spot0-POS-1.txt 9.4 4.6051777e+08 24450.432 0.056757965 5.6796015e-05 1.6941196e-05 3.4424564e-08 4.0596942e-14 NaN 0.015326999 0.00014834777 -0.29455792 0.0098077266 1.2925273e-08 NaN -0.00063057728 1.1904584e-05
Eurofer-HT_run_2022-06-02-9.4 um-26C_spot1-POS-1.txt 9.4 4.6037899e+08 23048.09 0.059986223 0.00037481531 1.5847324e-05 6.6426881e-08 1.7789935e-08 5.148963e-07 0.0066300201 0.00015785438 -3.640227 0.01513568 2.0956137e-08 5.726152e-10 -0.00073031869 1.938456e-05
Eurofer-HT_run_2022-06-02-9.4 um-26C_spot2-POS-1.txt 9.4 4.5949498e+08 25188.32 0.057346012 0.00038523801 1.6663048e-05 6.8531263e-08 2.115468e-06 5.4506318e-07 0.0056298155 0.00013903217 1.3931913 0.015856442 2.2693619e-08 6.3263204e-10 -0.0010477619 1.6545416e-05
Eurofer-HT_run_2022-06-02-9.4 um-50C_spot0-POS-1.txt 9.4 4.554847e+08 31725.906 0.069459946 0.00037625631 1.5920037e-05 5.6746299e-08 9.4071005e-08 4.4845736e-07 0.0053183188 0.0001372551 2.6130549 0.016642408 2.4124595e-08 7.3059958e-10 -0.001707248 1.8831555e-05
Eurofer-HT_run_2022-06-02-9.4 um-50C_spot1-POS-1.txt 9.4 4.5929657e+08 20933.781 0.069602317 5.8460126e-05 1.6405255e-05 2.8787447e-08 4.1940064e-14 NaN 0.016715376 0.00013548286 -0.12175534 0.0081313371 1.4537646e-08 NaN -0.00072661759 1.2981521e-05
Eurofer-HT_run_2022-06-02-9.4 um-50C_spot2-POS-1.txt 9.4 4.5707429e+08 33482.764 0.063064938 5.6211249e-05 1.6820097e-05 3.18484e-08 3.3345807e-14 NaN 0.015271459 0.00014053221 -2.9400122 0.0091645496 1.235092e-08 NaN -0.00078939026 1.2777386e-05
Eurofer-HT_run_2022-06-02-9.4 um-100C_spot0-POS-1.txt 9.4 4.5320743e+08 23175.97 0.073339446 5.1635086e-05 1.5474271e-05 2.4745054e-08 2.2670913e-14 NaN 0.015437532 0.00011982146 -3.1814575 0.0077903711 1.4011133e-08 NaN -0.000299905 1.3431886e-05
Eurofer-HT_run_2022-06-02-9.4 um-100C_spot1-POS-1.txt 9.4 4.5516315e+08 25353.436 0.070022597 5.3219612e-05 1.5731256e-05 2.6813256e-08 3.5811154e-13 NaN 0.015543621 0.00012996142 -2.9602682 0.0084069899 1.3154855e-08 NaN -0.00094778739 1.3496916e-05
Eurofer-HT_run_2022-06-02-9.4 um-100C_spot2-POS-1.txt 9.4 4.5723497e+08 15764.331 0.074737327 5.8901778e-05 1.6170688e-05 2.6913118e-08 3.9809743e-14 NaN 0.016354955 0.00012941026 -0.088286474 0.0080027985 1.5350361e-08 NaN -0.0015039848 1.3372252e-05
Eurofer-HT_run_2022-06-02-9.4 um-150C_spot0-POS-1.txt 9.4 4.490285e+08 26015.888 0.064215347 5.438089e-05 1.4859581e-05 2.9641758e-08 2.8059922e-09 NaN 0.0065976567 0.0001276307 -2.8450872 0.012627044 2.2543862e-08 5.0966329e-10 -0.0007381861 1.5182991e-05
