run_name grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
Eurofer-HT_run_2022-06-02-9.4 um-26C_spot0-POS-1.txt 6.4565 4.6051777e+08 24450.364 0.05675807 5.6816709e-05 7.9925404e-06 1.6251081e-08 4.0574571e-14 NaN 0.015327255 0.00014834976 -0.29456102 0.0098076907 1.2925141e-08 NaN -0.00063055533 1.1898906e-05
Eurofer-HT_run_2022-06-02-9.4 um-26C_spot1-POS-1.txt 6.4565 4.60379e+08 23047.908 0.059912562 5.8713112e-05 7.4589557e-06 1.635286e-08 1.3880892e-08 NaN 0.0061975615 0.00011881267 -3.2182353 0.012441554 2.5569931e-08 5.8790673e-10 -0.00073777703 1.4791951e-05
Eurofer-HT_run_2022-06-02-9.4 um-26C_spot2-POS-1.txt 6.4565 4.59495e+08 25188.124 0.05660714 0.00034220652 7.8118769e-06 2.891653e-08 9.7720965e-07 4.9827674e-07 0.016025624 0.00015128181 1.6542686 0.0095008369 1.2101601e-08 NaN -0.0010645383 1.4856426e-05
Eurofer-HT_run_2022-06-02-9.4 um-50C_spot0-POS-1.txt 6.4565 4.5548473e+08 31725.709 0.069180399 5.3165105e-05 7.4647967e-06 1.2760765e-08 4.8272883e-13 NaN 0.019543565 0.00016187413 2.870121 0.0084048762 1.0874481e-08 NaN -0.0017375539 1.3259461e-05
Eurofer-HT_run_2022-06-02-9.4 um-50C_spot1-POS-1.txt 6.4565 4.5929659e+08 20933.585 0.069602372 5.8481843e-05 7.7396715e-06 1.3589866e-08 4.193366e-14 NaN 0.016715441 0.00013548327 -0.12175707 0.0081313274 1.453761e-08 NaN -0.00072660508 1.2974967e-05
Eurofer-HT_run_2022-06-02-9.4 um-50C_spot2-POS-1.txt 6.4565 4.5707433e+08 33482.421 0.063062031 5.6245549e-05 7.9348298e-06 1.5038851e-08 2.61761e-14 NaN 0.015569003 0.00014414429 -2.9405469 0.0092191532 1.2078464e-08 NaN -0.00078964287 1.2775862e-05
Eurofer-HT_run_2022-06-02-9.4 um-100C_spot0-POS-1.txt 6.4565 4.5320745e+08 23175.823 0.073470884 5.3536798e-05 7.3182185e-06 1.208837e-08 1.1795566e-10 NaN 0.0093549319 0.00013468471 -3.1221579 0.0093458412 2.0204547e-08 3.3176836e-10 -0.00028034592 1.3854392e-05
Eurofer-HT_run_2022-06-02-9.4 um-100C_spot1-POS-1.txt 6.4565 4.5516317e+08 25353.288 0.070022984 5.3237939e-05 7.4217504e-06 1.2657287e-08 4.1805565e-14 NaN 0.015494752 0.00012961308 -2.9592549 0.0084112423 1.3186927e-08 NaN -0.0009477366 1.3489157e-05
Eurofer-HT_run_2022-06-02-9.4 um-100C_spot2-POS-1.txt 6.4565 4.5723498e+08 15764.249 0.074737486 5.8924205e-05 7.6290354e-06 1.2705075e-08 3.9807027e-14 NaN 0.016356768 0.00012942179 -0.088301307 0.0080026244 1.5349183e-08 NaN -0.0015039481 1.3365274e-05
Eurofer-HT_run_2022-06-02-9.4 um-150C_spot0-POS-1.txt 6.4565 4.4902853e+08 26015.703 0.064072651 5.1383321e-05 6.9838329e-06 1.3241058e-08 2.8822336e-10 NaN 0.014115329 0.00013291818 -2.9705307 0.0094574394 1.3021188e-08 NaN -0.00075718141 1.4427309e-05
Eurofer-HT_run_2022-06-02-9.4 um-150C_spot1-POS-1.txt 6.4565 4.5680602e+08 19730.718 0.068019629 0.00038000862 6.9479624e-06 2.7553029e-08 6.8721336e-07 4.7068898e-07 0.0062364165 0.00015519486 2.0152454 0.015845384 2.29213e-08 6.5787157e-10 -0.0003824063 2.217689e-05
Eurofer-HT_run_2022-06-02-9.4 um-150C_spot2-POS-1.txt 6.4565 4.5126846e+08 18954.857 0.07415361 0.00029300052 6.9914388e-06 1.9515833e-08 1.0361508e-06 3.3093646e-07 0.014866488 0.0001129387 2.7969431 0.0076555777 1.4981669e-08 NaN -0.0013699894 1.6875977e-05
Eurofer-HT_run_2022-06-02-9.4 um-200C_spot0-POS-1.txt 6.4565 4.4625601e+08 28972.409 0.076333079 0.00033289822 6.7011041e-06 2.1569213e-08 1.6058065e-08 3.7344292e-07 0.0069525457 0.00013714334 -3.2093878 0.012706711 2.3386808e-08 5.3804685e-10 -0.0012481151 2.1119145e-05
Eurofer-HT_run_2022-06-02-9.4 um-200C_spot1-POS-1.txt 6.4565 4.5130443e+08 22884.321 0.060553289 4.8937206e-05 6.8117396e-06 1.3279469e-08 1.3160395e-10 NaN 0.014457417 0.00012078929 2.7250708 0.0084267449 1.3898203e-08 NaN -0.0012323367 1.4285958e-05
