run_name grating_value[um] SAW_freq[Hz] SAW_freq_error[Hz] A[Wm^-2] A_err[Wm^-2] alpha[m^2s^-1] alpha_err[m2s-1] beta[s^0.5] beta_err[s^0.5] B[Wm^-2] B_err[Wm^-2] theta theta_err tau[s] tau_err[s] C[Wm^-2] C_err[Wm^-2]
Eurofer-HT_weld_2022-06-06-06.40um-24C_spot0-POS-1.txt 6.4611 4.1648367e+08 126547.95 0.079215737 5.3552009e-05 6.6437611e-06 1.1114905e-08 3.25729e-11 NaN 0.040798724 0.00059730448 -1.2459132 0.015545257 5.0004817e-09 NaN -0.0014350832 1.6403375e-05
Eurofer-HT_weld_2022-06-06-06.40um-24C_spot1-POS-1.txt 6.4611 4.4782187e+08 50376.228 0.07317837 6.0988632e-05 6.8133121e-06 1.375496e-08 3.0400546e-10 NaN 0.0048531525 0.00014697772 -2.573724 0.01989921 2.2277405e-08 7.886098e-10 -0.0021788153 1.7935763e-05
Eurofer-HT_weld_2022-06-06-06.40um-24C_spot2-POS-1.txt 6.4611 4.5174619e+08 48075.999 0.085294398 0.00030841833 6.8245196e-06 1.825733e-08 3.6587273e-06 2.9467816e-07 0.032733614 0.00028598672 -2.9648456 0.0088442947 7.543401e-09 NaN -0.0012125263 1.8976787e-05
Eurofer-HT_weld_2022-06-06-06.40um-50C_spot0-POS-1.txt 6.4611 4.4750619e+08 55980.101 0.087661343 0.00031005617 6.7299166e-06 1.7908129e-08 4.2021982e-06 2.8760162e-07 0.032282639 0.00029566208 -2.7577414 0.0092726698 7.4620521e-09 NaN -0.0012077285 1.9645408e-05
Eurofer-HT_weld_2022-06-06-06.40um-50C_spot1-POS-1.txt 6.4611 4.3192702e+08 91309.735 0.085690036 0.00031005889 6.5691135e-06 1.8021351e-08 5.2273814e-07 3.0967809e-07 0.035293219 0.00042086618 -1.847577 0.012303923 6.0676927e-09 NaN -0.0019902287 2.0651437e-05
Eurofer-HT_weld_2022-06-06-06.40um-50C_spot2-POS-1.txt 6.4611 4.376966e+08 69964.67 0.074382006 0.00030384287 6.6053265e-06 2.0487966e-08 3.1734771e-06 3.3908382e-07 0.032722443 0.00037228767 -2.4543378 0.011659336 6.4567845e-09 NaN -0.0024515302 1.9865794e-05
Eurofer-HT_weld_2022-06-06-06.40um-100C_spot0-POS-1.txt 6.4611 4.3425411e+08 81820.802 0.082250211 0.00034306049 6.4385834e-06 2.0908091e-08 1.098687e-06 3.5630393e-07 0.0056776833 0.00012283215 -1.836753 0.021975178 1.7305354e-08 NaN -0.0024933939 2.3941683e-05
Eurofer-HT_weld_2022-06-06-06.40um-100C_spot1-POS-1.txt 6.4611 4.3621693e+08 79486.848 0.08038528 0.00030367309 6.5242954e-06 1.9031037e-08 2.9824821e-06 3.1481832e-07 0.035237117 0.00041393015 -2.2009695 0.011927712 6.1001717e-09 NaN -0.0023075462 2.0526193e-05
Eurofer-HT_weld_2022-06-06-06.40um-100C_spot2-POS-1.txt 6.4611 4.4877362e+08 72271.767 0.085962625 0.00030132891 6.5387451e-06 1.7756715e-08 4.1078195e-06 2.8795131e-07 0.030990894 0.00033579352 -2.9399448 0.010847134 6.8884618e-09 NaN -0.0026888869 2.028884e-05
Eurofer-HT_weld_2022-06-06-06.40um-150C_spot0-POS-1.txt 6.4611 4.3535182e+08 94765.025 0.085484199 0.00029915846 6.3018139e-06 1.7681815e-08 3.2711628e-06 2.9387812e-07 0.041001111 0.00052818293 -2.2128447 0.013008094 5.3953466e-09 NaN -0.0026901465 2.1757577e-05
Eurofer-HT_weld_2022-06-06-06.40um-150C_spot1-POS-1.txt 6.4611 4.1590636e+08 116398.52 0.07940001 0.00028814145 6.34263e-06 1.8006949e-08 1.6215965e-06 3.1148548e-07 0.042924306 0.00059149759 -1.5127652 0.014452013 5.0002291e-09 NaN -0.0027049471 2.0353242e-05
Eurofer-HT_weld_2022-06-06-06.40um-150C_spot2-POS-1.txt 6.4611 4.268995e+08 103879.76 0.083202524 6.0312228e-05 6.3735355e-06 1.1941949e-08 3.5919078e-09 NaN 0.0052235553 0.0001290215 -1.123484 0.025261175 1.6506603e-08 NaN -0.0022829866 2.0015925e-05
Eurofer-HT_weld_2022-06-06-06.40um-200C_spot0-POS-1.txt 6.4611 4.1115748e+08 154265.49 0.08175046 5.9648577e-05 6.2208443e-06 1.2023114e-08 3.5491165e-10 NaN 0.0053346389 0.00016261595 -0.35879644 0.031386342 1.3207725e-08 NaN -0.0024324177 2.0699328e-05
Eurofer-HT_weld_2022-06-06-06.40um-200C_spot1-POS-1.txt 6.4611 4.0321194e+08 150880.2 0.0732038 5.8412275e-05 6.30459e-06 1.3107787e-08 2.2848821e-12 NaN 0.0038551383 0.00014357149 -0.34911663 0.038197671 1.4572112e-08 NaN -0.001914558 1.9678877e-05
Eurofer-HT_weld_2022-06-06-06.40um-200C_spot2-POS-1.txt 6.4611 4.1670713e+08 106714.73 0.078057737 4.9356247e-05 6.1411577e-06 1.0399276e-08 6.7387564e-11 NaN 0.045763536 0.00058472056 -1.3576491 0.013423282 5.000041e-09 NaN -0.0023406906 1.7475597e-05
Eurofer-HT_weld_2022-06-06-06.40um-250C_spot0-POS-1.txt 6.4611 3.9810243e+08 163266.06 0.075989452 5.1719996e-05 5.9334803e-06 1.118866e-08 2.4922964e-09 NaN 0.013188684 0.00029245399 -0.58157341 0.023337014 7.7686794e-09 NaN -0.0023945273 1.9461751e-05
Eurofer-HT_weld_2022-06-06-06.40um-250C_spot1-POS-1.txt 6.4611 4.1660114e+08 101664.99 0.078639093 5.3600712e-05 5.9121847e-06 1.1261061e-08 1.3157505e-09 NaN 0.0061586985 0.00013417844 -0.83198742 0.02233052 1.4838033e-08 NaN -0.0023599018 2.0471186e-05
Eurofer-HT_weld_2022-06-06-06.40um-250C_spot2-POS-1.txt 6.4611 4.1248709e+08 76649.931 0.089509333 0.00028174107 5.7933967e-06 1.5688553e-08 4.4728278e-08 2.8266957e-07 0.035857023 0.00038817104 -1.4591626 0.011115742 6.4290144e-09 NaN -0.0032270634 2.4263956e-05
Eurofer-HT_weld_2022-06-06-06.40um-300C_spot0-POS-1.txt 6.4611 3.9564725e+08 135229.5 0.08540942 4.8150316e-05 5.5096764e-06 9.3367319e-09 4.4796295e-12 NaN 0.049341335 0.00063421626 -0.75971522 0.013620567 5.0000403e-09 NaN -0.0031482665 2.0889333e-05
Eurofer-HT_weld_2022-06-06-06.40um-300C_spot1-POS-1.txt 6.4611 4.1903824e+08 98234.477 0.073761532 4.7478203e-05 5.6712661e-06 1.0636467e-08 4.0309589e-10 NaN 0.049901817 0.00060904447 -1.8394821 0.012655852 5.0000236e-09 NaN -0.002340825 1.9517454e-05
Eurofer-HT_weld_2022-06-06-06.40um-300C_spot2-POS-1.txt 6.4611 3.7967209e+08 225111.88 0.078485529 5.1874764e-05 5.6546766e-06 1.0919005e-08 1.1313481e-08 NaN 0.0035426448 0.00014952928 0.62248588 0.043421425 1.3514937e-08 NaN -0.0019853853 2.1423828e-05
Eurofer-HT_weld_2022-06-06-06.40um-350C_spot0-POS-1.txt 6.4611 3.7343812e+08 221375.66 0.079445403 0.00026139406 5.3433606e-06 1.6527458e-08 1.8734499e-07 3.0376264e-07 0.024463802 0.00061114531 0.61175426 0.026959719 5.0002308e-09 NaN -0.0022180458 2.664907e-05
Eurofer-HT_weld_2022-06-06-06.40um-350C_spot1-POS-1.txt 6.4611 3.638324e+08 232705.51 0.075545453 4.855513e-05 5.3895645e-06 1.0670434e-08 8.8890426e-13 NaN 0.0082984513 0.00029036905 1.1347916 0.03691689 7.8723342e-09 NaN -0.0023097883 2.1965489e-05
Eurofer-HT_weld_2022-06-06-06.40um-350C_spot2-POS-1.txt 6.4611 3.838301e+08 168828.05 0.088075083 5.249216e-05 5.3697958e-06 9.9191914e-09 3.6915685e-10 NaN 0.0037506204 0.00012233554 0.43133585 0.033324189 1.7268831e-08 NaN -0.0031010039 2.3995677e-05
Eurofer-HT_weld_2022-06-06-06.40um-400C_spot0-POS-1.txt 6.4611 3.8060645e+08 155610.84 0.07946656 0.00023238656 4.9791995e-06 1.491573e-08 9.620256e-07 2.7482955e-07 0.037381908 0.00055343394 -0.12073604 0.015751416 5.1308156e-09 NaN -0.0030585652 2.7597436e-05
Eurofer-HT_weld_2022-06-06-06.40um-400C_spot1-POS-1.txt 6.4611 3.7202273e+08 199028.66 0.070564881 4.6614754e-05 5.1024756e-06 1.1091305e-08 5.8554928e-11 NaN 0.0093547297 0.00025714794 0.81846678 0.028912989 8.4787777e-09 NaN -0.0014549581 2.3567332e-05
