#Collected Data-64
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 41.9967
40.0500 46.0437
40.1000 49.2663
40.1500 45.9818
40.2000 43.1716
40.2500 33.5957
40.3000 34.8286
40.3500 43.1195
40.4000 47.8707
40.4500 31.5873
40.5000 32.3141
40.5500 41.1050
40.6000 29.4474
40.6500 34.6328
40.7000 41.8430
40.7500 42.5731
40.8000 43.9303
40.8500 45.4716
40.9000 40.2692
40.9500 48.4874
41.0000 48.7665
41.0500 39.6558
41.1000 45.2362
41.1500 31.1791
41.2000 34.6809
41.2500 40.6095
41.3000 34.1604
41.3500 40.6080
41.4000 38.0268
41.4500 48.0536
41.5000 30.9208
41.5500 30.3185
41.6000 31.2477
41.6500 29.9363
41.7000 29.6871
41.7500 38.5859
41.8000 26.8655
41.8500 42.7718
41.9000 40.9251
41.9500 48.4597
42.0000 30.1518
42.0500 34.5286
42.1000 32.8403
42.1500 43.2395
42.2000 31.6926
42.2500 30.8537
42.3000 39.4255
42.3500 33.4566
42.4000 34.5218
42.4500 44.4875
42.5000 33.4114
42.5500 35.2345
42.6000 42.1488
42.6500 30.7319
42.7000 37.2740
42.7500 42.9056
42.8000 34.2421
42.8500 39.6089
42.9000 33.2256
42.9500 40.0734
43.0000 43.9280
43.0500 44.0188
43.1000 38.2368
43.1500 31.3695
43.2000 42.6978
43.2500 38.9926
43.3000 42.0588
43.3500 35.6532
43.4000 37.8562
43.4500 29.9795
43.5000 28.5684
43.5500 38.7478
43.6000 28.7500
43.6500 42.8981
43.7000 42.0212
43.7500 32.8826
43.8000 37.0816
43.8500 38.7184
43.9000 49.7420
43.9500 47.2683
44.0000 43.2714
44.0500 50.0222
44.1000 49.8063
44.1500 62.9205
44.2000 60.8121
44.2500 77.6647
44.3000 124.5173
44.3500 185.4568
44.4000 433.5267
44.4500 1042.1411
44.5000 1818.5101
44.5500 2018.1041
44.6000 1423.3121
44.6500 703.3987
44.7000 257.5179
44.7500 128.9644
44.8000 75.5745
44.8500 62.0281
44.9000 57.1571
44.9500 53.1131
45.0000 33.5745
45.0500 52.8555
45.1000 52.3745
45.1500 41.4464
45.2000 39.1610
45.2500 37.2611
45.3000 40.1815
45.3500 41.5623
45.4000 44.1435
45.4500 32.5146
45.5000 44.4356
45.5500 29.6354
45.6000 34.1452
45.6500 43.1015
45.7000 33.1073
45.7500 32.4299
45.8000 35.0735
45.8500 29.5898
45.9000 23.4075
45.9500 28.1700
46.0000 28.8381
46.0500 36.0006
46.1000 37.5832
46.1500 38.9792
46.2000 34.7680
46.2500 39.6307
46.3000 33.9926
46.3500 35.8428
46.4000 34.0929
46.4500 33.5166
46.5000 32.5840
46.5500 40.7422
46.6000 29.9211
46.6500 35.4950
46.7000 42.3605
46.7500 38.2398
46.8000 38.2123
46.8500 29.6843
46.9000 44.0400
46.9500 32.3326
47.0000 32.7486
47.0500 43.0031
47.1000 38.0137
47.1500 43.1522
47.2000 36.7982
47.2500 28.1365
47.3000 32.5021
47.3500 25.5088
47.4000 36.8777
47.4500 30.2434
47.5000 30.8746
47.5500 35.5109
47.6000 32.9573
47.6500 46.1066
47.7000 31.6673
47.7500 46.3510
47.8000 25.3551
47.8500 29.8829
47.9000 43.0905
47.9500 40.1882
48.0000 42.5577
48.0500 38.2022
48.1000 35.6951
48.1500 33.4542
48.2000 33.5344
48.2500 38.1224
48.3000 33.7956
48.3500 36.0188
48.4000 21.6511
48.4500 45.3633
48.5000 41.6947
48.5500 25.0363
48.6000 26.9770
48.6500 38.8972
48.7000 30.1991
48.7500 27.5033
48.8000 28.4255
48.8500 46.4299
48.9000 32.9921
48.9500 40.5405
49.0000 48.7865
49.0500 44.6375
49.1000 28.8302
49.1500 29.7218
49.2000 33.2582
49.2500 34.9965
49.3000 41.8728
49.3500 37.7320
49.4000 41.3404
49.4500 23.4194
49.5000 28.6161
49.5500 38.2115
49.6000 36.1927
49.6500 30.9402
49.7000 34.1591
49.7500 39.5840
49.8000 32.0654
49.8500 46.6240
49.9000 32.9712
49.9500 27.3375
50.0000 30.0063
50.0500 34.3014
50.1000 32.4422
50.1500 31.3750
50.2000 33.9732
50.2500 39.0303
50.3000 49.4488
50.3500 39.1833
50.4000 32.2398
50.4500 38.9170
50.5000 29.2995
50.5500 40.5440
50.6000 30.5615
50.6500 30.1107
50.7000 33.8440
50.7500 37.5977
50.8000 36.2122
50.8500 31.9630
50.9000 35.3560
50.9500 34.4873
51.0000 28.6902
51.0500 26.9209
51.1000 33.1771
51.1500 41.3595
