#Collected Data-58
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 24.5352
40.0500 36.4874
40.1000 38.6125
40.1500 28.0716
40.2000 41.0463
40.2500 42.4861
40.3000 38.2264
40.3500 48.7182
40.4000 31.1715
40.4500 37.1906
40.5000 39.9501
40.5500 39.9877
40.6000 38.2762
40.6500 41.9794
40.7000 50.4556
40.7500 37.6241
40.8000 26.8761
40.8500 32.6827
40.9000 37.2231
40.9500 45.0364
41.0000 36.8861
41.0500 32.9962
41.1000 38.5916
41.1500 29.7197
41.2000 32.1859
41.2500 36.9086
41.3000 43.6549
41.3500 40.5931
41.4000 31.9836
41.4500 37.7144
41.5000 30.6537
41.5500 39.1730
41.6000 43.0433
41.6500 39.6300
41.7000 40.7633
41.7500 25.8908
41.8000 38.8361
41.8500 40.4462
41.9000 36.0976
41.9500 37.4309
42.0000 44.0595
42.0500 31.3983
42.1000 43.4125
42.1500 28.9685
42.2000 34.6107
42.2500 43.4921
42.3000 35.9761
42.3500 30.5934
42.4000 35.0934
42.4500 35.8927
42.5000 47.1783
42.5500 51.1438
42.6000 26.5552
42.6500 35.1824
42.7000 46.3211
42.7500 32.1689
42.8000 23.0303
42.8500 33.9488
42.9000 28.3589
42.9500 32.0186
43.0000 31.3461
43.0500 42.2715
43.1000 42.0807
43.1500 33.6358
43.2000 34.5276
43.2500 42.6690
43.3000 28.4821
43.3500 33.4631
43.4000 23.2355
43.4500 41.4860
43.5000 31.5241
43.5500 43.7992
43.6000 26.4082
43.6500 38.9257
43.7000 28.9552
43.7500 44.8247
43.8000 41.6183
43.8500 37.3364
43.9000 42.3268
43.9500 38.6668
44.0000 28.3006
44.0500 40.2734
44.1000 45.0528
44.1500 45.5092
44.2000 40.7729
44.2500 62.1156
44.3000 90.3015
44.3500 86.2068
44.4000 132.8338
44.4500 388.1565
44.5000 1221.7073
44.5500 2047.1522
44.6000 2128.8118
44.6500 1038.5728
44.7000 314.4247
44.7500 112.6724
44.8000 67.4062
44.8500 55.2910
44.9000 53.5670
44.9500 34.5585
45.0000 42.4602
45.0500 39.2446
45.1000 42.5930
45.1500 35.4679
45.2000 39.2192
45.2500 28.9319
45.3000 27.1791
45.3500 40.3439
45.4000 36.0600
45.4500 35.0520
45.5000 31.6683
45.5500 42.7867
45.6000 31.6265
45.6500 31.0057
45.7000 37.0649
45.7500 31.5779
45.8000 33.1763
45.8500 33.7227
45.9000 39.2450
45.9500 34.6316
46.0000 40.7745
46.0500 31.1905
46.1000 34.1073
46.1500 30.8024
46.2000 33.3687
46.2500 35.9098
46.3000 33.6718
46.3500 35.2325
46.4000 39.2035
46.4500 28.3279
46.5000 26.9769
46.5500 30.7296
46.6000 26.7330
46.6500 38.7006
46.7000 28.8000
46.7500 35.3817
46.8000 28.3975
46.8500 34.2383
46.9000 28.6907
46.9500 33.4780
