#Collected Data-105
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 25.2957
40.0500 37.9833
40.1000 35.5871
40.1500 37.3764
40.2000 24.3782
40.2500 41.7844
40.3000 40.7495
40.3500 53.8708
40.4000 42.2324
40.4500 37.7315
40.5000 35.7025
40.5500 39.7795
40.6000 48.5985
40.6500 34.9289
40.7000 37.3601
40.7500 37.0629
40.8000 36.7950
40.8500 26.8824
40.9000 36.4758
40.9500 49.8512
41.0000 40.1224
41.0500 51.2621
41.1000 30.0760
41.1500 48.2889
41.2000 41.0521
41.2500 44.8834
41.3000 32.7330
41.3500 48.1920
41.4000 55.3922
41.4500 39.9454
41.5000 40.0106
41.5500 42.8857
41.6000 41.4091
41.6500 32.8836
41.7000 37.1235
41.7500 47.0807
41.8000 30.3644
41.8500 28.2611
41.9000 34.0152
41.9500 49.9192
42.0000 42.9154
42.0500 48.6284
42.1000 37.0607
42.1500 30.7486
42.2000 50.2337
42.2500 31.2721
42.3000 31.0027
42.3500 26.9322
42.4000 39.9449
42.4500 48.2925
42.5000 38.8720
42.5500 40.7742
42.6000 46.6312
42.6500 30.5005
42.7000 43.0374
42.7500 31.3911
42.8000 31.2382
42.8500 37.2316
42.9000 42.0958
42.9500 41.2670
43.0000 33.7665
43.0500 38.1774
43.1000 40.3369
43.1500 42.4581
43.2000 42.5018
43.2500 34.0030
43.3000 37.4905
43.3500 49.7251
43.4000 36.1402
43.4500 40.8593
43.5000 32.9778
43.5500 56.2121
43.6000 31.8406
43.6500 50.2046
43.7000 41.1164
43.7500 40.0491
43.8000 41.6839
43.8500 33.7421
43.9000 45.0002
43.9500 58.2510
44.0000 71.0404
44.0500 66.1630
44.1000 85.9424
44.1500 96.8245
44.2000 151.5183
44.2500 394.8130
44.3000 1254.8798
44.3500 2097.4231
44.4000 2351.3435
44.4500 1429.9216
44.5000 487.3807
44.5500 205.6109
44.6000 97.4890
44.6500 65.1813
44.7000 69.7432
44.7500 52.6620
44.8000 33.0692
44.8500 49.7394
44.9000 41.9836
44.9500 50.8668
45.0000 41.2694
45.0500 39.3320
45.1000 53.9819
45.1500 26.8388
45.2000 44.8243
45.2500 33.4605
45.3000 34.6026
45.3500 37.9299
45.4000 44.1911
45.4500 32.7102
45.5000 36.4211
45.5500 29.4217
45.6000 33.5469
45.6500 30.8203
45.7000 42.1216
45.7500 39.5030
45.8000 51.1851
45.8500 34.7235
45.9000 30.5375
45.9500 48.3024
46.0000 31.7939
46.0500 28.0065
