#Collected Data-70
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 23.3995
40.0500 41.4884
40.1000 38.6905
40.1500 41.7274
40.2000 42.8146
40.2500 37.8971
40.3000 43.6483
40.3500 30.6896
40.4000 50.6484
40.4500 39.9482
40.5000 34.5514
40.5500 34.1574
40.6000 45.6408
40.6500 38.5471
40.7000 36.6195
40.7500 31.0193
40.8000 38.3654
40.8500 32.7997
40.9000 36.3868
40.9500 45.2897
41.0000 52.8187
41.0500 39.8240
41.1000 42.2438
41.1500 36.6634
41.2000 37.8575
41.2500 36.8746
41.3000 40.7595
41.3500 42.0615
41.4000 37.3278
41.4500 39.9454
41.5000 42.7294
41.5500 38.0238
41.6000 45.3031
41.6500 30.8269
41.7000 45.7092
41.7500 39.1379
41.8000 40.2560
41.8500 38.7842
41.9000 37.1814
41.9500 36.5873
42.0000 30.8585
42.0500 34.8848
42.1000 34.6083
42.1500 22.3285
42.2000 27.2981
42.2500 29.2330
42.3000 41.2650
42.3500 46.7019
42.4000 36.4263
42.4500 37.7444
42.5000 33.0560
42.5500 41.7771
42.6000 26.3701
42.6500 53.2799
42.7000 36.9937
42.7500 35.0535
42.8000 43.1961
42.8500 44.9017
42.9000 30.7061
42.9500 26.5450
43.0000 41.6127
43.0500 30.2545
43.1000 34.0975
43.1500 46.2941
43.2000 31.9989
43.2500 25.1559
43.3000 32.5655
43.3500 33.6920
43.4000 39.7832
43.4500 32.3533
43.5000 42.2309
43.5500 39.8270
43.6000 36.0268
43.6500 33.6197
43.7000 40.7066
43.7500 43.5496
43.8000 44.7367
43.8500 38.2526
43.9000 45.2449
43.9500 33.1441
44.0000 40.1449
44.0500 52.7771
44.1000 57.4893
44.1500 66.9327
44.2000 73.6793
44.2500 73.3199
44.3000 100.6630
44.3500 145.5897
44.4000 314.4661
44.4500 888.2224
44.5000 1907.5051
44.5500 2288.8906
44.6000 1821.3536
44.6500 834.7219
44.7000 325.6033
44.7500 139.7479
44.8000 115.1853
44.8500 56.7578
44.9000 58.4471
44.9500 55.7325
45.0000 41.1782
45.0500 36.6951
45.1000 30.6492
45.1500 47.9342
45.2000 33.9138
45.2500 34.9615
45.3000 42.2130
45.3500 50.2290
45.4000 28.4313
45.4500 34.4248
45.5000 45.5845
45.5500 40.6574
45.6000 41.3203
45.6500 38.4367
45.7000 48.2399
45.7500 48.4054
45.8000 40.9140
45.8500 21.3010
45.9000 36.4877
45.9500 44.7809
46.0000 30.8339
46.0500 34.9306
46.1000 39.8376
46.1500 38.5279
46.2000 45.1161
46.2500 42.3708
46.3000 38.2135
46.3500 44.3931
46.4000 33.8873
46.4500 30.8025
46.5000 34.1885
46.5500 41.3218
46.6000 28.0473
46.6500 28.4722
46.7000 32.7256
46.7500 26.7381
46.8000 30.8882
46.8500 40.9345
46.9000 28.9176
46.9500 34.5482
47.0000 43.8452
47.0500 24.2551
47.1000 28.4500
47.1500 38.0891
47.2000 29.4465
47.2500 28.8077
47.3000 36.0545
47.3500 33.5391
47.4000 39.0744
47.4500 38.3122
47.5000 35.4438
47.5500 37.3339
47.6000 38.7109
47.6500 32.4973
47.7000 44.2072
47.7500 35.2432
47.8000 37.2168
47.8500 38.7311
47.9000 23.0820
47.9500 34.2462
48.0000 29.8747
48.0500 31.9510
48.1000 39.6369
48.1500 28.5917
48.2000 33.3173
48.2500 24.8254
48.3000 34.9731
48.3500 41.9288
48.4000 31.2298
48.4500 23.9664
48.5000 29.9720
48.5500 29.3382
48.6000 52.8144
48.6500 37.3120
48.7000 34.5242
48.7500 33.4928
48.8000 33.1491
48.8500 31.6844
48.9000 43.4085
48.9500 37.9880
49.0000 40.5033
49.0500 39.2559
49.1000 33.2040
49.1500 31.2599
49.2000 38.5192
49.2500 40.6050
49.3000 30.6914
49.3500 31.1754
49.4000 36.9071
49.4500 43.0059
49.5000 27.8535
49.5500 37.5827
49.6000 28.3850
49.6500 20.9806
49.7000 28.5489
49.7500 32.0745
49.8000 40.2685
49.8500 26.8539
49.9000 30.1110
49.9500 33.5577
50.0000 35.2890
50.0500 36.0526
50.1000 38.0439
50.1500 28.0495
50.2000 34.8563
50.2500 37.8922
50.3000 31.1484
50.3500 29.4304
50.4000 30.4882
50.4500 30.7711
50.5000 27.7310
50.5500 36.9167
50.6000 30.8892
50.6500 34.7656
50.7000 25.4593
50.7500 35.9359
50.8000 40.8569
50.8500 32.5360
50.9000 37.0050
50.9500 28.4858
51.0000 21.7693
51.0500 35.2274
51.1000 30.5734
51.1500 42.7638
51.2000 37.2785
51.2500 28.3354
51.3000 32.5175
51.3500 36.6485
51.4000 30.2187
51.4500 34.5089
51.5000 35.4728
51.5500 31.6609
51.6000 33.6705
51.6500 33.6518
51.7000 26.6098
51.7500 36.1507
51.8000 33.3483
51.8500 27.2205
51.9000 33.3356
51.9500 35.0230
52.0000 37.5782
52.0500 29.1176
52.1000 24.5066
52.1500 36.0409
52.2000 20.3868
52.2500 35.3156
52.3000 43.6671
52.3500 24.4661
52.4000 28.1170
52.4500 29.7242
52.5000 50.4161
52.5500 36.4056
52.6000 37.5135
52.6500 34.5983
52.7000 32.2055
52.7500 22.3740
52.8000 40.6031
52.8500 35.3611
52.9000 25.1773
52.9500 42.0920
53.0000 27.9571
53.0500 26.4625
53.1000 37.6854
53.1500 30.5392
53.2000 27.7390
53.2500 37.7113
53.3000 44.0087
53.3500 31.5875
53.4000 40.0658
53.4500 29.8896
53.5000 42.0737
53.5500 31.3352
53.6000 34.3707
53.6500 35.4714
53.7000 26.5798
53.7500 29.9382
53.8000 31.9070
53.8500 27.6138
53.9000 35.0045
53.9500 39.3995
54.0000 29.4483
54.0500 36.9100
54.1000 39.2819
54.1500 26.3562
54.2000 33.9415
54.2500 25.3718
54.3000 40.3150
54.3500 26.3371
54.4000 36.8652
54.4500 30.0558
54.5000 24.2571
54.5500 35.3121
54.6000 31.9935
54.6500 27.8831
54.7000 30.5745
54.7500 29.3950
54.8000 39.8228
54.8500 33.8657
54.9000 33.1841
54.9500 32.3158
55.0000 28.5054
55.0500 30.8922
55.1000 32.0466
55.1500 30.6224
55.2000 23.8383
55.2500 35.7129
55.3000 33.9125
55.3500 35.1669
55.4000 38.7268
55.4500 26.4320
55.5000 33.9980
55.5500 36.6455
55.6000 21.8058
55.6500 25.8174
55.7000 25.8268
55.7500 33.3379
55.8000 42.6647
55.8500 37.7302
55.9000 34.6359
55.9500 36.1553
56.0000 32.7884
56.0500 32.7570
56.1000 32.2656
56.1500 32.1653
56.2000 33.4065
56.2500 30.0253
56.3000 21.1714
56.3500 25.2812
56.4000 33.1674
56.4500 37.6926
56.5000 36.5180
56.5500 33.6133
56.6000 30.0793
56.6500 22.0783
56.7000 27.0309
56.7500 32.1001
56.8000 41.5423
56.8500 30.7331
56.9000 23.4698
56.9500 25.9995
57.0000 38.7539
57.0500 35.4745
57.1000 40.9827
57.1500 32.1865
57.2000 31.1142
57.2500 30.8923
57.3000 35.5433
57.3500 27.7941
57.4000 45.7044
57.4500 34.4056
57.5000 36.2274
57.5500 36.1701
57.6000 36.6437
57.6500 36.2100
57.7000 36.4500
57.7500 27.5845
57.8000 32.5337
57.8500 23.2002
57.9000 28.1321
57.9500 26.4885
58.0000 22.1912
58.0500 31.2533
58.1000 27.8292
58.1500 30.3377
58.2000 29.8395
58.2500 23.2705
58.3000 28.2276
58.3500 33.1883
58.4000 35.5183
58.4500 31.8065
58.5000 28.2396
58.5500 30.3377
58.6000 27.8838
58.6500 33.4942
58.7000 33.2055
58.7500 26.9325
58.8000 25.4534
58.8500 41.5594
58.9000 37.1995
58.9500 38.9879
59.0000 26.3744
59.0500 34.3943
59.1000 32.6583
59.1500 32.1926
59.2000 36.0473
59.2500 39.7799
59.3000 23.8732
59.3500 28.1165
59.4000 26.5825
59.4500 35.3172
59.5000 31.6056
59.5500 27.3176
59.6000 26.3908
59.6500 36.5198
59.7000 33.4937
59.7500 38.3576
59.8000 39.1952
59.8500 30.8928
59.9000 30.5687
59.9500 31.9726
60.0000 34.8261
60.0500 31.4584
60.1000 28.9985
60.1500 41.6782
60.2000 37.1007
60.2500 32.1345
60.3000 36.2317
60.3500 22.0733
60.4000 34.7502
60.4500 40.8833
60.5000 26.7157
60.5500 22.9474
60.6000 36.6829
60.6500 33.3112
60.7000 28.1187
60.7500 25.5394
60.8000 30.5405
60.8500 29.6091
60.9000 32.9625
60.9500 29.8898
61.0000 31.4999
61.0500 29.4090
61.1000 21.5761
61.1500 30.2055
61.2000 33.6086
61.2500 34.6537
61.3000 35.1046
61.3500 26.5253
61.4000 32.5840
61.4500 41.7341
61.5000 34.3739
61.5500 36.5731
61.6000 36.1478
61.6500 26.4729
61.7000 33.4569
61.7500 30.5805
61.8000 32.4913
61.8500 27.6508
61.9000 30.3831
61.9500 24.3000
62.0000 36.4853
62.0500 35.1982
62.1000 29.2106
62.1500 28.2131
62.2000 36.6278
62.2500 42.9927
62.3000 35.7657
62.3500 38.3925
62.4000 38.8905
62.4500 23.0653
62.5000 28.5147
62.5500 38.9784
62.6000 29.1613
62.6500 39.0107
62.7000 30.0009
62.7500 29.3856
62.8000 27.3062
62.8500 37.3603
62.9000 40.1269
62.9500 32.3670
63.0000 36.1032
63.0500 30.4857
63.1000 20.6328
63.1500 26.7923
63.2000 37.8722
63.2500 24.7664
63.3000 23.4606
63.3500 28.6936
63.4000 34.8358
63.4500 26.0927
63.5000 33.4600
63.5500 40.0034
63.6000 32.3037
63.6500 29.8720
63.7000 31.4329
63.7500 43.8057
63.8000 32.8617
63.8500 32.3056
63.9000 23.3953
63.9500 43.4562
64.0000 29.1400
64.0500 28.8669
64.1000 57.9041
64.1500 37.2780
64.2000 35.3296
64.2500 37.3302
64.3000 25.3691
64.3500 37.9821
64.4000 39.2122
64.4500 36.9345
64.5000 45.5744
64.5500 54.4219
64.6000 49.7494
64.6500 64.0708
64.7000 88.5620
64.7500 129.3421
64.8000 130.4112
64.8500 119.9880
64.9000 102.9172
64.9500 67.3214
65.0000 55.2750
65.0500 29.6530
65.1000 36.9284
65.1500 41.3079
65.2000 33.8303
65.2500 28.1658
65.3000 29.8684
65.3500 28.1956
65.4000 19.1663
65.4500 43.8995
65.5000 23.2825
65.5500 42.2925
65.6000 36.1210
65.6500 30.7456
65.7000 32.9456
65.7500 45.3552
65.8000 35.4420
65.8500 19.1433
65.9000 31.1189
65.9500 28.9950
66.0000 29.9499
66.0500 28.3482
66.1000 27.3590
66.1500 27.9262
66.2000 28.4041
66.2500 33.9224
66.3000 38.5738
66.3500 24.5920
66.4000 37.6679
66.4500 27.4635
66.5000 25.5190
66.5500 31.1468
66.6000 33.5582
66.6500 33.7314
66.7000 26.5866
66.7500 33.4240
66.8000 32.7471
66.8500 23.2864
66.9000 26.7856
66.9500 31.5023
67.0000 27.1480
67.0500 38.6198
67.1000 29.9116
67.1500 28.8820
67.2000 30.9578
67.2500 30.8652
67.3000 38.9170
67.3500 21.9082
67.4000 29.2361
67.4500 33.2138
67.5000 35.6767
67.5500 38.3620
67.6000 26.5649
67.6500 23.2594
67.7000 28.9419
67.7500 29.3586
67.8000 29.5425
67.8500 24.8133
67.9000 37.7537
67.9500 34.3494
68.0000 26.0580
68.0500 31.2187
68.1000 37.8293
68.1500 31.3236
68.2000 30.6884
68.2500 39.1681
68.3000 25.9417
68.3500 33.4171
68.4000 29.9088
68.4500 31.1479
68.5000 32.5934
68.5500 36.6981
68.6000 34.7458
68.6500 30.6537
68.7000 21.3976
68.7500 21.0973
68.8000 27.7149
68.8500 27.6480
68.9000 30.2270
68.9500 33.4247
69.0000 31.6151
69.0500 29.9973
