#Collected Data-76
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 68.0208
40.0500 43.0220
40.1000 41.7101
40.1500 39.6646
40.2000 35.1091
40.2500 41.5841
40.3000 36.6989
40.3500 47.0925
40.4000 27.4869
40.4500 36.9098
40.5000 42.2799
40.5500 40.3545
40.6000 35.6223
40.6500 27.8231
40.7000 50.9339
40.7500 43.4492
40.8000 39.2304
40.8500 24.3402
40.9000 30.3735
40.9500 40.1512
41.0000 42.5851
41.0500 44.4192
41.1000 40.2865
41.1500 41.7286
41.2000 37.8334
41.2500 43.0110
41.3000 37.8457
41.3500 43.7595
41.4000 36.2987
41.4500 36.8999
41.5000 44.3614
41.5500 38.0170
41.6000 47.3891
41.6500 35.7027
41.7000 49.7518
41.7500 37.9247
41.8000 41.1634
41.8500 46.0419
41.9000 29.2451
41.9500 29.4984
42.0000 38.7398
42.0500 36.5924
42.1000 42.7823
42.1500 28.2666
42.2000 46.1337
42.2500 39.2342
42.3000 39.8386
42.3500 34.8965
42.4000 46.6588
42.4500 42.4173
42.5000 32.4772
42.5500 45.3567
42.6000 36.3570
42.6500 37.7779
42.7000 35.8883
42.7500 34.6389
42.8000 38.0594
42.8500 29.2301
42.9000 32.3460
42.9500 24.7852
43.0000 43.4602
43.0500 44.6314
43.1000 42.2699
43.1500 34.5479
43.2000 43.1223
43.2500 36.2926
43.3000 43.7200
43.3500 27.9597
43.4000 33.8075
43.4500 31.9826
43.5000 53.8055
43.5500 34.3155
43.6000 32.2350
43.6500 40.4936
43.7000 49.7381
43.7500 31.4237
43.8000 30.3101
43.8500 48.3429
43.9000 40.8862
43.9500 44.3529
44.0000 42.6359
44.0500 45.3009
44.1000 53.0931
44.1500 47.0320
44.2000 59.5069
44.2500 70.3447
44.3000 109.1249
44.3500 143.6819
44.4000 288.5876
44.4500 761.0948
44.5000 1756.1493
44.5500 2372.2151
44.6000 2075.1394
44.6500 1035.8683
44.7000 360.7930
44.7500 161.4914
44.8000 101.6033
44.8500 66.5168
44.9000 55.4259
44.9500 52.7604
45.0000 36.6141
45.0500 35.5875
45.1000 44.0741
45.1500 36.2015
45.2000 34.3461
45.2500 41.1303
45.3000 25.0517
45.3500 43.0105
45.4000 31.4649
45.4500 34.4539
45.5000 35.2458
45.5500 35.6419
45.6000 31.1938
45.6500 36.2999
45.7000 33.8980
45.7500 27.6597
45.8000 40.5750
45.8500 40.7912
45.9000 29.8334
45.9500 37.4194
46.0000 35.0957
46.0500 35.1034
46.1000 29.5632
46.1500 35.2531
46.2000 37.9199
46.2500 45.0258
46.3000 30.7215
46.3500 37.8957
46.4000 34.1064
46.4500 29.1228
46.5000 35.6161
46.5500 38.8100
46.6000 24.5523
46.6500 47.6721
46.7000 31.3190
46.7500 25.8102
46.8000 39.5204
46.8500 33.6006
46.9000 33.1534
46.9500 34.2632
47.0000 42.0182
47.0500 26.0042
47.1000 35.8010
47.1500 27.1359
47.2000 30.4628
47.2500 39.1091
47.3000 36.3079
47.3500 34.0623
47.4000 35.4717
47.4500 41.1636
47.5000 34.5871
47.5500 41.3384
47.6000 34.0535
47.6500 27.9719
47.7000 33.6444
47.7500 35.7131
47.8000 27.8181
47.8500 44.5478
47.9000 30.0812
47.9500 29.3400
48.0000 33.2990
48.0500 37.3241
48.1000 33.9703
48.1500 34.5802
48.2000 38.4470
48.2500 34.5700
48.3000 30.4122
48.3500 33.9642
48.4000 32.0967
48.4500 33.8725
48.5000 41.3988
48.5500 34.3628
48.6000 29.2008
48.6500 31.1730
48.7000 41.8059
48.7500 37.4200
48.8000 43.6414
48.8500 36.0924
48.9000 34.4980
48.9500 47.3531
49.0000 33.2893
49.0500 34.8545
49.1000 43.8871
49.1500 35.0339
49.2000 30.1200
49.2500 34.8816
49.3000 37.9140
49.3500 26.7368
49.4000 29.4227
49.4500 41.1172
49.5000 49.7087
49.5500 35.5263
49.6000 35.1725
49.6500 33.9465
49.7000 30.8383
49.7500 27.7161
49.8000 41.9560
49.8500 37.8850
49.9000 24.1575
49.9500 41.3965
50.0000 38.2027
50.0500 29.2904
50.1000 28.9281
50.1500 30.0124
50.2000 31.5684
50.2500 26.6580
50.3000 31.3888
50.3500 31.0633
50.4000 20.6882
50.4500 25.6576
50.5000 40.6717
50.5500 42.2560
50.6000 40.6572
50.6500 48.5891
50.7000 29.8714
50.7500 32.3331
50.8000 23.9727
50.8500 36.8536
50.9000 31.6766
50.9500 23.5204
51.0000 34.4352
51.0500 39.3554
51.1000 35.3400
51.1500 46.9368
51.2000 41.1622
51.2500 31.8614
51.3000 31.0169
51.3500 31.8443
51.4000 27.3681
51.4500 35.6863
51.5000 36.0020
51.5500 39.1589
51.6000 30.9116
51.6500 40.8729
51.7000 38.8983
51.7500 34.2548
51.8000 31.8555
51.8500 30.0010
51.9000 32.6356
51.9500 25.7647
52.0000 35.0881
52.0500 28.1296
52.1000 32.4223
52.1500 22.5921
52.2000 23.1968
52.2500 33.0785
52.3000 37.4492
52.3500 42.4864
52.4000 24.8389
52.4500 31.0927
52.5000 27.3424
52.5500 34.3818
52.6000 44.5820
52.6500 37.1902
52.7000 35.2087
52.7500 25.0459
52.8000 41.5583
52.8500 33.9456
52.9000 34.4759
52.9500 38.4845
53.0000 35.5476
53.0500 45.7278
53.1000 23.4079
53.1500 22.7179
53.2000 30.0071
53.2500 34.5766
53.3000 37.4331
53.3500 36.0856
53.4000 33.4741
53.4500 36.0160
53.5000 30.8003
53.5500 27.4202
53.6000 25.0506
53.6500 24.1101
53.7000 29.9367
53.7500 28.6048
53.8000 31.1362
53.8500 30.7272
53.9000 35.9743
53.9500 48.8703
54.0000 38.2361
54.0500 30.7506
54.1000 31.9873
54.1500 22.7303
54.2000 26.8337
54.2500 21.4362
54.3000 33.3399
54.3500 22.6720
54.4000 36.1537
54.4500 45.1612
54.5000 28.6566
54.5500 37.6102
54.6000 40.4405
54.6500 46.5109
54.7000 25.8568
54.7500 36.5277
54.8000 21.1327
54.8500 28.8497
54.9000 29.2203
54.9500 33.2133
55.0000 35.1103
55.0500 29.0209
55.1000 29.5244
55.1500 26.7195
55.2000 24.2082
55.2500 22.5811
55.3000 31.8594
55.3500 30.4078
55.4000 33.1711
55.4500 33.4853
55.5000 30.0421
55.5500 31.4006
55.6000 34.4929
55.6500 36.1872
55.7000 26.0484
55.7500 29.4855
55.8000 30.7505
55.8500 31.2990
55.9000 29.9475
55.9500 25.4566
56.0000 33.2917
56.0500 34.6597
56.1000 27.0438
56.1500 32.1318
56.2000 24.0226
56.2500 27.3255
56.3000 37.2101
56.3500 34.7631
56.4000 35.3161
56.4500 28.5042
56.5000 40.9934
56.5500 29.5171
56.6000 31.0002
56.6500 25.8476
56.7000 32.3697
56.7500 28.5804
56.8000 35.5668
56.8500 29.0924
56.9000 29.3179
56.9500 28.8729
57.0000 32.9564
57.0500 30.1238
57.1000 33.6470
57.1500 36.9718
57.2000 29.5382
57.2500 33.4796
57.3000 29.0423
57.3500 28.6509
57.4000 31.2262
57.4500 27.6422
57.5000 30.7765
57.5500 41.3539
57.6000 33.7795
57.6500 41.9836
57.7000 37.5471
57.7500 39.3070
57.8000 45.2917
57.8500 28.5702
57.9000 33.5438
57.9500 34.9300
58.0000 28.6951
58.0500 34.7832
58.1000 33.5593
58.1500 26.8777
58.2000 30.4267
58.2500 29.5072
58.3000 39.3313
58.3500 33.5197
58.4000 26.5373
58.4500 27.4405
58.5000 28.3572
58.5500 28.5609
58.6000 26.6565
58.6500 27.1440
58.7000 36.5375
58.7500 32.7074
58.8000 31.2403
58.8500 34.9743
58.9000 22.2642
58.9500 34.6312
59.0000 31.5652
59.0500 30.7162
59.1000 33.3437
59.1500 37.8986
59.2000 36.9314
59.2500 26.7992
59.3000 31.9393
59.3500 36.2453
59.4000 33.2226
59.4500 19.5527
59.5000 29.1826
59.5500 33.9239
59.6000 35.4950
59.6500 22.8206
59.7000 32.8790
59.7500 23.4315
59.8000 32.5505
59.8500 36.2233
59.9000 31.1004
59.9500 26.1435
60.0000 33.1136
60.0500 35.6009
60.1000 35.9498
60.1500 26.9062
60.2000 26.8690
60.2500 45.0942
60.3000 31.6419
60.3500 35.8590
60.4000 33.8840
60.4500 23.0814
60.5000 28.6855
60.5500 29.9356
60.6000 42.6829
60.6500 32.8137
60.7000 38.4234
60.7500 26.2086
60.8000 25.4092
60.8500 29.2143
60.9000 37.3292
60.9500 39.4578
61.0000 36.5952
61.0500 27.0881
61.1000 45.8540
61.1500 28.9922
61.2000 40.5334
61.2500 24.7121
61.3000 29.0450
61.3500 26.0034
61.4000 29.9347
61.4500 25.3968
61.5000 25.8916
61.5500 32.9958
61.6000 36.5941
61.6500 36.0594
61.7000 40.1949
61.7500 33.3351
61.8000 34.7312
61.8500 23.9226
61.9000 29.8992
61.9500 29.7948
62.0000 34.1713
62.0500 25.5000
62.1000 19.4375
62.1500 31.4394
62.2000 24.4161
62.2500 34.4486
62.3000 35.3995
62.3500 28.6813
62.4000 28.8607
62.4500 44.3183
62.5000 28.9450
62.5500 30.9747
62.6000 32.4342
62.6500 34.4303
62.7000 39.2597
