#Collected Data-269
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 21.5913
40.0500 33.4502
40.1000 19.0770
40.1500 30.4815
40.2000 36.2381
40.2500 34.2630
40.3000 31.8380
40.3500 31.7486
40.4000 34.4801
40.4500 38.6901
40.5000 28.2762
40.5500 40.1079
40.6000 37.4951
40.6500 29.4005
40.7000 26.3986
40.7500 18.9324
40.8000 31.2018
40.8500 38.0779
40.9000 28.8509
40.9500 31.9050
41.0000 20.0089
41.0500 28.4888
41.1000 21.9537
41.1500 22.4594
41.2000 30.5882
41.2500 39.3123
41.3000 31.0474
41.3500 41.3524
41.4000 26.6310
41.4500 21.5556
41.5000 43.1101
41.5500 32.9609
41.6000 22.7143
41.6500 23.5737
41.7000 32.4047
41.7500 23.6945
41.8000 27.0377
41.8500 27.9549
41.9000 23.7271
41.9500 34.9827
42.0000 25.8416
42.0500 24.6486
42.1000 19.7794
42.1500 29.4116
42.2000 40.8842
42.2500 34.8602
42.3000 19.1351
42.3500 29.8737
42.4000 36.4969
42.4500 25.2557
42.5000 28.2239
42.5500 18.0337
42.6000 34.7049
42.6500 25.0106
42.7000 25.8622
42.7500 19.3306
42.8000 19.2240
42.8500 37.5566
42.9000 35.8954
42.9500 25.9355
43.0000 22.9108
43.0500 42.1798
43.1000 28.2113
43.1500 29.9346
43.2000 23.5828
43.2500 28.2218
43.3000 25.4587
43.3500 27.5582
43.4000 26.6848
43.4500 33.4650
43.5000 28.6933
43.5500 24.5651
43.6000 29.0218
43.6500 29.0881
43.7000 36.4219
43.7500 34.7509
43.8000 28.5716
43.8500 43.3410
43.9000 38.8208
43.9500 28.7597
44.0000 38.2740
44.0500 44.8277
44.1000 42.4739
44.1500 57.0848
44.2000 57.3814
44.2500 75.4977
44.3000 91.9592
44.3500 126.9506
44.4000 280.5974
44.4500 559.7946
44.5000 1263.2648
44.5500 1649.2955
44.6000 1476.3672
44.6500 855.4981
44.7000 326.1627
44.7500 183.2728
44.8000 111.4365
44.8500 66.2566
44.9000 58.1849
44.9500 40.6977
45.0000 30.9007
45.0500 29.3296
45.1000 23.7751
45.1500 38.1771
45.2000 33.4267
45.2500 47.2950
45.3000 34.3122
45.3500 34.4421
45.4000 32.7880
45.4500 26.1776
45.5000 23.9528
45.5500 33.5817
45.6000 34.1572
45.6500 25.9287
45.7000 33.6395
45.7500 23.4854
45.8000 22.1818
45.8500 29.8148
45.9000 18.3366
45.9500 30.7915
46.0000 31.9899
46.0500 31.3193
46.1000 27.9137
46.1500 21.0647
46.2000 29.3639
46.2500 36.5667
46.3000 32.7626
46.3500 34.1621
46.4000 32.7635
46.4500 16.4147
46.5000 24.2481
46.5500 20.4441
46.6000 26.4617
46.6500 29.6578
46.7000 22.6641
46.7500 23.8287
46.8000 29.8530
46.8500 17.1955
46.9000 22.1833
46.9500 31.4456
47.0000 31.4079
47.0500 23.9220
47.1000 27.2211
47.1500 22.4699
47.2000 21.1916
47.2500 19.4937
47.3000 20.5447
47.3500 29.4707
47.4000 38.7228
47.4500 28.8196
47.5000 15.8680
47.5500 27.1316
47.6000 21.2599
47.6500 20.4914
47.7000 24.6120
47.7500 23.2600
47.8000 22.6542
47.8500 23.5117
47.9000 23.5131
47.9500 21.4459
48.0000 25.7548
48.0500 24.6453
48.1000 30.1172
48.1500 23.1227
48.2000 35.8387
48.2500 20.5364
48.3000 29.8187
48.3500 29.4431
48.4000 30.2542
48.4500 20.6857
48.5000 32.2130
48.5500 32.3857
48.6000 22.4621
48.6500 26.2469
48.7000 25.2290
48.7500 16.4274
48.8000 29.6097
48.8500 29.3766
48.9000 26.7325
48.9500 21.5789
49.0000 31.8843
49.0500 24.8539
49.1000 21.8711
49.1500 29.0654
49.2000 28.1253
49.2500 24.5047
49.3000 22.5353
49.3500 29.2740
49.4000 24.2643
49.4500 23.8572
49.5000 16.6248
49.5500 21.9983
49.6000 31.1290
49.6500 28.3117
49.7000 22.1926
49.7500 22.2183
49.8000 17.0944
49.8500 30.9906
49.9000 39.7333
49.9500 16.4768
50.0000 27.2957
50.0500 21.4458
50.1000 24.0310
50.1500 29.5884
50.2000 29.3836
50.2500 19.8592
50.3000 22.0905
50.3500 20.0270
50.4000 26.6374
50.4500 21.3313
50.5000 24.9579
50.5500 28.9008
50.6000 33.9009
50.6500 23.7123
50.7000 31.2804
50.7500 29.8063
50.8000 25.5437
50.8500 21.8917
50.9000 32.6551
50.9500 27.4677
51.0000 33.4058
51.0500 28.6259
51.1000 23.4619
51.1500 30.0528
51.2000 30.8745
51.2500 20.0412
51.3000 20.4051
51.3500 21.9759
51.4000 27.1342
51.4500 27.4151
51.5000 20.2113
51.5500 30.9955
51.6000 22.6227
51.6500 30.0707
51.7000 21.5133
51.7500 24.5706
51.8000 22.2518
51.8500 31.3617
51.9000 26.9446
51.9500 22.1409
52.0000 15.0501
52.0500 21.7503
52.1000 25.7732
52.1500 19.6316
52.2000 33.4389
52.2500 26.7511
52.3000 19.1839
52.3500 21.5127
52.4000 26.0512
52.4500 27.2533
52.5000 24.0199
52.5500 18.9524
52.6000 26.0719
52.6500 16.1338
52.7000 33.4736
52.7500 19.2513
52.8000 25.5648
52.8500 21.4845
52.9000 27.0396
52.9500 24.7634
53.0000 15.6133
53.0500 32.7388
53.1000 27.2254
53.1500 30.2028
53.2000 26.3213
53.2500 19.8122
53.3000 14.2128
53.3500 23.2681
53.4000 21.7836
53.4500 18.5039
53.5000 30.9194
53.5500 23.4838
53.6000 23.1191
53.6500 23.4896
53.7000 20.7588
53.7500 33.7364
53.8000 26.5044
53.8500 21.5178
53.9000 25.0472
53.9500 22.8083
54.0000 28.3964
54.0500 23.9826
54.1000 21.8561
54.1500 25.5069
54.2000 29.3285
54.2500 22.9636
54.3000 23.5491
54.3500 29.3788
54.4000 27.1833
54.4500 22.4466
54.5000 23.9591
54.5500 14.9231
54.6000 21.9226
54.6500 28.0853
54.7000 23.5348
54.7500 25.5893
54.8000 22.1043
54.8500 18.6178
54.9000 29.4481
54.9500 25.2478
55.0000 31.7683
55.0500 23.1033
55.1000 17.3091
55.1500 27.9227
55.2000 21.4390
55.2500 20.8446
55.3000 28.9530
55.3500 22.7734
55.4000 26.9510
55.4500 15.0058
55.5000 17.4764
55.5500 25.1703
55.6000 30.7823
55.6500 20.3234
55.7000 28.8087
55.7500 22.5012
55.8000 23.6764
55.8500 16.6452
55.9000 26.2809
55.9500 19.5899
56.0000 21.7174
