#Collected Data-257
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 47.3732
40.0500 25.1006
40.1000 22.3205
40.1500 30.4689
40.2000 27.9413
40.2500 34.0212
40.3000 28.4208
40.3500 19.7123
40.4000 21.8515
40.4500 30.1768
40.5000 26.4844
40.5500 20.4355
40.6000 36.2799
40.6500 31.1850
40.7000 25.4398
40.7500 27.1146
40.8000 27.1002
40.8500 29.9249
40.9000 25.8814
40.9500 30.0391
41.0000 37.2239
41.0500 38.3152
41.1000 31.7980
41.1500 37.0719
41.2000 41.2118
41.2500 27.0401
41.3000 34.4499
41.3500 32.8998
41.4000 35.7843
41.4500 32.2242
41.5000 33.7378
41.5500 32.8722
41.6000 25.1601
41.6500 32.7948
41.7000 31.8870
41.7500 26.9229
41.8000 20.5540
41.8500 42.2651
41.9000 31.0413
41.9500 23.7323
42.0000 24.8195
42.0500 38.5091
42.1000 23.4280
42.1500 34.9324
42.2000 31.0225
42.2500 38.9316
42.3000 18.9950
42.3500 30.7934
42.4000 26.2529
42.4500 31.6942
42.5000 27.0689
42.5500 25.1948
42.6000 27.6651
42.6500 15.7103
42.7000 31.1377
42.7500 25.2283
42.8000 36.1498
42.8500 26.1557
42.9000 32.1351
42.9500 27.3769
43.0000 32.3400
43.0500 36.9387
43.1000 33.1589
43.1500 30.5776
43.2000 33.2119
43.2500 31.9916
43.3000 31.2306
43.3500 33.1364
43.4000 34.3520
43.4500 37.0553
43.5000 29.5152
43.5500 40.0522
43.6000 32.7175
43.6500 44.3610
43.7000 45.4699
43.7500 35.2027
43.8000 55.2918
43.8500 40.3495
43.9000 49.6935
43.9500 48.2546
44.0000 56.3850
44.0500 59.7710
44.1000 76.5275
44.1500 107.5551
44.2000 121.3239
44.2500 190.5180
44.3000 288.4092
44.3500 500.4448
44.4000 776.0289
44.4500 937.5128
44.5000 899.5861
44.5500 728.3351
44.6000 471.3834
44.6500 327.2594
44.7000 160.9320
44.7500 102.2017
44.8000 90.2937
44.8500 78.5532
44.9000 63.9044
44.9500 45.6752
45.0000 45.4377
45.0500 41.4363
45.1000 31.8508
45.1500 32.7215
45.2000 35.2830
45.2500 36.3697
45.3000 39.3673
45.3500 33.2275
45.4000 38.3958
45.4500 40.1846
45.5000 28.3761
45.5500 30.4548
45.6000 22.3225
45.6500 32.5738
45.7000 20.3557
45.7500 23.3655
45.8000 32.9381
45.8500 37.1008
45.9000 26.8870
45.9500 32.6886
46.0000 29.2128
46.0500 27.7564
46.1000 24.2715
46.1500 23.7685
46.2000 32.0855
46.2500 29.1542
46.3000 31.0094
46.3500 24.2073
46.4000 31.0865
46.4500 26.3103
46.5000 33.4094
46.5500 27.3696
46.6000 23.6595
46.6500 27.6569
46.7000 27.3067
46.7500 28.5108
46.8000 28.7877
46.8500 22.8587
46.9000 29.6234
46.9500 28.4559
47.0000 32.6865
47.0500 30.7193
47.1000 28.0981
