#Collected Data-263
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 29.9960
40.0500 22.8377
40.1000 31.0578
40.1500 31.9121
40.2000 34.8950
40.2500 32.6881
40.3000 29.7056
40.3500 34.4977
40.4000 22.4641
40.4500 27.0839
40.5000 26.2283
40.5500 29.2316
40.6000 26.0473
40.6500 20.5443
40.7000 25.4998
40.7500 12.8898
40.8000 35.0757
40.8500 34.0625
40.9000 30.9770
40.9500 35.6287
41.0000 31.5114
41.0500 22.5414
41.1000 16.9367
41.1500 34.6590
41.2000 23.6141
41.2500 22.4341
41.3000 37.2269
41.3500 23.2762
41.4000 34.7598
41.4500 34.3663
41.5000 29.4591
41.5500 33.5883
41.6000 35.2690
41.6500 30.6177
41.7000 29.8033
41.7500 22.3034
41.8000 39.0063
41.8500 29.9819
41.9000 23.8454
41.9500 22.8654
42.0000 30.2567
42.0500 31.1330
42.1000 24.9215
42.1500 32.3479
42.2000 33.3507
42.2500 25.2073
42.3000 26.4870
42.3500 32.5128
42.4000 29.4312
42.4500 37.1044
42.5000 24.9833
42.5500 35.7275
42.6000 26.5163
42.6500 36.8411
42.7000 30.2907
42.7500 19.6698
42.8000 35.8492
42.8500 31.5151
42.9000 21.5187
42.9500 20.7292
43.0000 27.4384
43.0500 32.3750
43.1000 28.1296
43.1500 27.2889
43.2000 39.7320
43.2500 35.4222
43.3000 36.3022
43.3500 29.3020
43.4000 40.7456
43.4500 34.3866
43.5000 30.7518
43.5500 27.6479
43.6000 36.2038
43.6500 37.9736
43.7000 33.9973
43.7500 29.2370
43.8000 33.2045
43.8500 42.7826
43.9000 45.2307
43.9500 34.9043
44.0000 56.7670
44.0500 69.5883
44.1000 56.4923
44.1500 94.9750
44.2000 98.5249
44.2500 147.2219
44.3000 212.6046
44.3500 335.7702
44.4000 507.2636
44.4500 706.9814
44.5000 953.2943
44.5500 976.8459
44.6000 734.9437
44.6500 449.5034
44.7000 243.4137
44.7500 143.9956
44.8000 86.1563
44.8500 78.2841
44.9000 57.8912
44.9500 44.3546
45.0000 45.5281
45.0500 35.0168
45.1000 36.8925
45.1500 27.4260
45.2000 28.4097
45.2500 35.6748
45.3000 35.0746
45.3500 28.4469
45.4000 36.5233
45.4500 32.5433
45.5000 30.5739
45.5500 28.6182
45.6000 19.5375
45.6500 21.0662
45.7000 26.8218
45.7500 25.8018
45.8000 27.6040
45.8500 26.2289
45.9000 32.0454
45.9500 32.0965
46.0000 31.0107
46.0500 30.1213
46.1000 19.8476
46.1500 35.0858
46.2000 23.6946
46.2500 26.6582
46.3000 22.7212
46.3500 29.0923
46.4000 34.3040
46.4500 32.0768
46.5000 22.9215
46.5500 23.8438
46.6000 23.1728
46.6500 30.2441
46.7000 29.8703
46.7500 25.8465
46.8000 24.6623
46.8500 24.1473
46.9000 17.0624
46.9500 21.7698
47.0000 26.7881
47.0500 33.5231
47.1000 30.1451
47.1500 24.9557
47.2000 11.2191
47.2500 29.9279
47.3000 33.2360
47.3500 33.8787
47.4000 35.5933
47.4500 30.9353
47.5000 21.2548
47.5500 22.4090
47.6000 25.6378
47.6500 27.4897
47.7000 28.7419
47.7500 18.7658
47.8000 21.6792
47.8500 26.8186
47.9000 20.4348
47.9500 25.7799
48.0000 40.9841
48.0500 24.8533
48.1000 22.9861
48.1500 23.8158
48.2000 28.2041
48.2500 28.0514
48.3000 35.4373
48.3500 27.5754
48.4000 22.9885
48.4500 25.5076
48.5000 26.9719
48.5500 25.6854
48.6000 23.0286
48.6500 18.1074
48.7000 27.8673
48.7500 31.3698
48.8000 19.6352
48.8500 24.8009
48.9000 16.6146
48.9500 18.4037
49.0000 22.2907
49.0500 21.8599
49.1000 24.5544
49.1500 19.8008
49.2000 20.8923
49.2500 23.3336
49.3000 20.0097
49.3500 23.3534
49.4000 34.9018
49.4500 28.7999
49.5000 30.7226
49.5500 21.1000
49.6000 24.9951
49.6500 26.3829
49.7000 34.0731
49.7500 25.8581
49.8000 18.8260
49.8500 27.3133
49.9000 24.8190
49.9500 27.1254
50.0000 27.5754
50.0500 17.8935
50.1000 31.6331
50.1500 23.2109
50.2000 22.9003
50.2500 33.1905
50.3000 24.1868
50.3500 31.1957
50.4000 23.5616
50.4500 29.6297
50.5000 25.7842
50.5500 23.0747
50.6000 18.9301
50.6500 24.0411
50.7000 27.1439
50.7500 22.2478
50.8000 32.6091
50.8500 23.8676
50.9000 26.9988
50.9500 26.4642
51.0000 25.8360
51.0500 24.1230
51.1000 28.2469
51.1500 22.9461
51.2000 28.0278
51.2500 28.5025
51.3000 27.0851
51.3500 17.9398
51.4000 22.2281
51.4500 23.7965
51.5000 32.8875
51.5500 26.0702
51.6000 21.7547
51.6500 23.2408
51.7000 28.8035
51.7500 18.1196
