#Collected Data-195
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 71.8292
40.0100 76.0181
40.0200 83.0945
40.0300 73.3951
40.0400 78.0983
40.0500 58.7631
40.0600 66.1487
40.0700 72.1003
40.0800 66.9739
40.0900 59.8170
40.1000 64.1107
40.1100 71.4659
40.1200 64.7507
40.1300 65.9964
40.1400 74.3525
40.1500 55.8364
40.1600 73.9055
40.1700 76.5805
40.1800 70.1319
40.1900 82.7780
40.2000 75.7913
40.2100 62.4463
40.2200 71.4374
40.2300 78.9417
40.2400 81.4677
40.2500 63.3608
40.2600 70.6990
40.2700 62.7594
40.2800 73.4777
40.2900 70.7845
40.3000 62.9367
40.3100 79.1419
40.3200 68.3948
40.3300 58.2244
40.3400 61.5229
40.3500 76.0968
40.3600 68.7946
40.3700 76.5370
40.3800 72.4816
40.3900 52.0893
40.4000 70.9596
40.4100 56.3005
40.4200 64.6577
40.4300 74.9554
40.4400 63.2158
40.4500 75.6527
40.4600 77.1687
40.4700 77.1707
40.4800 64.1128
40.4900 68.6714
40.5000 69.1010
40.5100 67.8917
40.5200 78.1509
40.5300 69.0838
40.5400 74.0204
40.5500 77.1064
40.5600 70.1349
40.5700 50.6940
40.5800 62.0525
40.5900 66.4845
40.6000 64.7186
40.6100 70.6758
40.6200 70.7709
40.6300 69.4925
40.6400 68.6711
40.6500 67.4385
40.6600 57.6156
40.6700 79.1443
40.6800 63.3482
40.6900 56.4244
40.7000 71.6070
40.7100 79.5004
40.7200 69.5650
40.7300 74.8471
40.7400 76.4211
40.7500 81.6039
40.7600 70.5361
40.7700 73.1293
40.7800 74.7901
40.7900 63.9323
40.8000 63.6488
40.8100 80.4943
40.8200 64.4417
40.8300 63.0491
40.8400 85.0794
40.8500 60.8212
40.8600 70.0193
40.8700 74.8799
40.8800 79.1838
40.8900 75.5476
40.9000 66.1775
40.9100 57.1075
40.9200 73.6186
40.9300 61.8025
40.9400 65.3147
40.9500 73.0240
40.9600 74.3957
40.9700 63.2662
40.9800 59.1659
40.9900 76.8751
41.0000 73.9087
41.0100 84.9505
41.0200 70.2790
41.0300 68.8638
41.0400 67.5245
41.0500 74.3219
41.0600 78.9466
41.0700 65.2508
41.0800 70.4134
41.0900 66.6106
41.1000 74.1170
41.1100 65.7595
41.1200 69.5509
41.1300 65.8893
41.1400 66.7489
41.1500 77.3089
41.1600 67.5874
41.1700 61.1500
