#Collected Data-5
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
34.5000 0.5421
34.5100 0.4486
34.5200 0.7151
34.5300 1.2832
34.5400 0.0000
34.5500 0.9774
34.5600 1.2360
34.5700 1.0988
34.5800 0.7690
34.5900 0.6940
34.6000 0.0000
34.6100 0.6573
34.6200 0.9830
34.6300 0.3287
34.6400 0.0000
34.6500 1.0327
34.6600 1.0217
34.6700 0.1412
34.6800 0.7886
34.6900 0.3517
34.7000 1.6314
34.7100 0.0000
34.7200 0.6103
34.7300 1.0565
34.7400 1.0873
34.7500 0.1884
34.7600 0.0000
34.7700 0.9977
34.7800 0.3256
34.7900 1.9284
34.8000 0.6512
34.8100 0.4666
34.8200 0.5190
34.8300 0.6656
34.8400 1.3375
34.8500 2.7374
34.8600 0.3063
34.8700 0.0000
34.8800 0.0000
34.8900 0.0000
34.9000 2.1402
34.9100 1.9322
34.9200 1.4966
34.9300 1.4347
34.9400 0.0000
34.9500 1.9453
34.9600 0.8730
34.9700 1.3063
34.9800 0.0000
34.9900 0.0000
35.0000 1.0356
35.0100 1.9917
35.0200 0.4682
35.0300 1.5069
35.0400 0.0000
35.0500 1.4501
35.0600 0.5125
35.0700 0.9170
35.0800 1.0657
35.0900 0.0000
35.1000 0.0000
35.1100 0.0000
35.1200 0.7997
35.1300 1.2013
35.1400 0.0000
35.1500 0.0000
35.1600 2.7604
35.1700 0.3386
35.1800 1.0340
35.1900 3.0714
35.2000 1.0197
35.2100 0.0000
35.2200 1.9840
35.2300 0.0000
35.2400 0.0000
35.2500 0.0000
35.2600 0.0000
35.2700 0.0000
35.2800 1.0382
35.2900 2.0208
35.3000 0.0000
35.3100 1.0052
35.3200 0.3222
35.3300 1.7944
35.3400 0.0000
35.3500 0.0000
35.3600 0.0000
35.3700 0.9658
35.3800 0.0000
35.3900 0.0000
35.4000 0.0000
35.4100 0.4282
35.4200 4.1210
35.4300 1.4678
35.4400 0.0000
35.4500 0.6467
35.4600 1.0258
35.4700 3.0953
35.4800 2.0717
35.4900 0.1965
35.5000 2.1222
