#Collected Data-7
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 3.5580
40.0100 1.0599
40.0200 0.3442
40.0300 0.0000
40.0400 2.0263
40.0500 0.0182
40.0600 0.9325
40.0700 0.0000
40.0800 0.0000
40.0900 0.0000
40.1000 0.0000
40.1100 0.6076
40.1200 0.4301
40.1300 0.7665
40.1400 1.0924
40.1500 0.1313
40.1600 0.0000
40.1700 0.9977
40.1800 0.2509
40.1900 1.7648
40.2000 0.0000
40.2100 1.0045
40.2200 0.0000
40.2300 1.0024
40.2400 0.0000
40.2500 0.0000
40.2600 0.0000
40.2700 0.0000
40.2800 0.1791
40.2900 0.7622
40.3000 1.0725
40.3100 0.0000
40.3200 0.0000
40.3300 1.0250
40.3400 0.0000
40.3500 0.0000
40.3600 0.0000
40.3700 0.0000
40.3800 0.0000
40.3900 0.0000
40.4000 0.0000
40.4100 0.0000
40.4200 0.0000
40.4300 0.6029
40.4400 0.3918
40.4500 0.7937
40.4600 0.2047
40.4700 1.0179
40.4800 2.0861
40.4900 0.0000
40.5000 0.0000
40.5100 0.0000
40.5200 0.0000
40.5300 0.0000
40.5400 1.3012
40.5500 0.7177
40.5600 0.9580
40.5700 0.0000
40.5800 2.0999
40.5900 0.1161
40.6000 0.8808
40.6100 0.3001
40.6200 0.6831
40.6300 0.0000
40.6400 0.0000
40.6500 0.9935
40.6600 2.0239
40.6700 0.0000
40.6800 0.0000
40.6900 0.0616
40.7000 0.9582
40.7100 0.5121
40.7200 1.8810
40.7300 1.0709
40.7400 1.0670
40.7500 1.4504
40.7600 1.6838
40.7700 2.0321
40.7800 0.1846
40.7900 0.0000
40.8000 0.0000
40.8100 0.0000
40.8200 0.0000
40.8300 0.0000
40.8400 0.0000
40.8500 0.0000
40.8600 0.0000
40.8700 0.0000
40.8800 0.9277
40.8900 0.0000
40.9000 1.0392
40.9100 2.1008
40.9200 1.2423
40.9300 1.2056
40.9400 1.4972
40.9500 3.1333
40.9600 0.0000
40.9700 1.0553
40.9800 1.7372
40.9900 0.4402
41.0000 0.9669
41.0100 0.0131
41.0200 0.9951
41.0300 0.0000
41.0400 0.0000
41.0500 0.0000
41.0600 0.5823
41.0700 1.1319
41.0800 0.3601
41.0900 1.0031
41.1000 0.0000
41.1100 0.0239
41.1200 0.9339
41.1300 0.0000
41.1400 1.0412
41.1500 0.0000
41.1600 0.9608
41.1700 0.5853
41.1800 1.1315
41.1900 1.3787
41.2000 0.9699
41.2100 0.0000
41.2200 0.0000
41.2300 0.0000
41.2400 0.0000
41.2500 0.3896
41.2600 1.6555
41.2700 0.5486
41.2800 1.0842
41.2900 0.3576
41.3000 0.8387
41.3100 1.1530
41.3200 0.0000
41.3300 0.0000
41.3400 0.0000
41.3500 0.0000
41.3600 0.3871
41.3700 1.0908
41.3800 0.5130
41.3900 0.9574
41.4000 0.0000
41.4100 0.8044
41.4200 0.1344
41.4300 0.0000
41.4400 0.0000
41.4500 0.0000
41.4600 0.0000
41.4700 0.0000
41.4800 0.0000
41.4900 0.0000
41.5000 0.0000
41.5100 0.0000
41.5200 0.0000
41.5300 0.0000
41.5400 0.0000
41.5500 0.1793
41.5600 0.8261
41.5700 0.0000
41.5800 0.0000
41.5900 0.0000
41.6000 0.9930
41.6100 0.0000
41.6200 0.0000
41.6300 0.0000
41.6400 2.0518
41.6500 0.9405
41.6600 2.0081
41.6700 0.0000
41.6800 0.0000
41.6900 0.4958
41.7000 0.4961
41.7100 0.0000
41.7200 0.7413
41.7300 2.0159
41.7400 1.0897
41.7500 0.0000
41.7600 0.0000
41.7700 0.2513
41.7800 0.7341
41.7900 0.0000
41.8000 0.0000
41.8100 0.9888
41.8200 0.0000
41.8300 0.0000
41.8400 0.0000
41.8500 0.0000
41.8600 1.0701
41.8700 0.0000
41.8800 1.0368
41.8900 0.3874
41.9000 1.0885
41.9100 1.0943
41.9200 0.4276
41.9300 0.0000
41.9400 1.0602
41.9500 0.0000
41.9600 0.0000
41.9700 0.0000
41.9800 0.0000
41.9900 0.0000
42.0000 0.0000
42.0100 0.9777
42.0200 1.5991
42.0300 0.3681
42.0400 0.0000
42.0500 2.5599
42.0600 1.1119
42.0700 0.3428
42.0800 0.1715
42.0900 1.7991
42.1000 1.1141
42.1100 1.8968
42.1200 0.5430
42.1300 0.4287
42.1400 0.7305
42.1500 0.2466
42.1600 0.0000
42.1700 0.0000
42.1800 0.0398
42.1900 0.2782
42.2000 0.1997
42.2100 0.4364
42.2200 0.0000
42.2300 0.0000
42.2400 1.7275
42.2500 1.2893
42.2600 0.0000
42.2700 0.0000
42.2800 0.0000
42.2900 0.0000
42.3000 1.9931
42.3100 0.0000
42.3200 0.0000
42.3300 0.0000
42.3400 0.0000
42.3500 0.0000
42.3600 0.0000
42.3700 0.3148
42.3800 0.0481
42.3900 4.7581
42.4000 1.0661
42.4100 0.7989
42.4200 1.0396
42.4300 0.0000
42.4400 0.0000
42.4500 0.0000
42.4600 1.0255
42.4700 0.8641
42.4800 0.1376
42.4900 0.0000
42.5000 0.1689
42.5100 2.0606
42.5200 1.0258
42.5300 1.0014
42.5400 1.9506
42.5500 0.0000
42.5600 2.0455
42.5700 0.0000
42.5800 0.0000
42.5900 0.9794
42.6000 0.0046
42.6100 0.0000
42.6200 1.2835
42.6300 1.1053
42.6400 0.6426
42.6500 0.0000
42.6600 0.9654
42.6700 0.9683
42.6800 0.0000
42.6900 0.0000
42.7000 1.0531
42.7100 0.0000
42.7200 0.0000
42.7300 0.0000
42.7400 0.0000
42.7500 1.9943
42.7600 0.5813
42.7700 0.3875
42.7800 0.0000
42.7900 0.0000
42.8000 0.9692
42.8100 0.0000
42.8200 0.1684
42.8300 0.8435
42.8400 0.0000
42.8500 0.0000
42.8600 0.0000
42.8700 0.9787
42.8800 1.4609
42.8900 0.5328
42.9000 0.0000
42.9100 1.0201
42.9200 0.1107
42.9300 2.8250
42.9400 0.9923
42.9500 0.0000
42.9600 0.0000
42.9700 0.0000
42.9800 0.0000
42.9900 0.0000
43.0000 0.8087
43.0100 3.1567
43.0200 0.0823
43.0300 0.0000
43.0400 0.0000
43.0500 0.0000
43.0600 0.9436
43.0700 1.0417
43.0800 0.9378
43.0900 1.6902
43.1000 0.8857
43.1100 0.0000
43.1200 0.3080
43.1300 0.0929
43.1400 0.9098
43.1500 1.0114
43.1600 0.3837
43.1700 0.6373
43.1800 0.5766
43.1900 1.4039
43.2000 0.0000
43.2100 0.0000
43.2200 0.0000
43.2300 1.1273
43.2400 1.0076
43.2500 0.5424
43.2600 1.9900
43.2700 1.3516
43.2800 0.0000
43.2900 0.5878
43.3000 1.0709
43.3100 0.2968
43.3200 0.8599
43.3300 1.0985
43.3400 0.0196
43.3500 0.0000
43.3600 0.2659
43.3700 1.1129
43.3800 1.1175
43.3900 1.1202
43.4000 1.1136
43.4100 0.3580
43.4200 0.0000
43.4300 0.8860
43.4400 0.0901
43.4500 0.9190
43.4600 0.0000
43.4700 0.0000
43.4800 0.7990
43.4900 1.2164
43.5000 0.0000
43.5100 0.0000
43.5200 0.0000
43.5300 0.0000
43.5400 0.0000
