#Collected Data-18
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 0.0000
40.0100 0.0000
40.0200 0.0000
40.0300 0.0000
40.0400 0.0000
40.0500 0.0000
40.0600 0.0000
40.0700 0.0000
40.0800 1.0135
40.0900 0.0000
40.1000 0.0000
40.1100 0.0000
40.1200 0.0000
40.1300 3.3617
40.1400 0.6929
40.1500 0.9951
40.1600 0.0381
40.1700 0.0000
40.1800 0.9758
40.1900 0.0000
40.2000 0.0000
40.2100 0.0000
40.2200 0.0000
40.2300 0.0000
40.2400 0.8530
40.2500 0.1966
40.2600 0.0000
40.2700 0.0000
40.2800 0.0000
40.2900 0.9828
40.3000 0.3995
40.3100 2.1832
40.3200 0.5417
40.3300 0.6698
40.3400 0.3416
40.3500 0.0000
40.3600 0.0000
40.3700 0.9750
40.3800 0.0000
40.3900 0.0000
40.4000 0.0000
40.4100 0.4480
40.4200 0.6254
40.4300 0.6675
40.4400 0.4337
40.4500 5.5261
40.4600 3.3167
40.4700 3.0609
40.4800 0.0488
40.4900 0.0000
40.5000 0.0000
40.5100 1.9636
40.5200 0.0000
40.5300 0.0000
40.5400 0.6655
40.5500 0.3671
40.5600 0.0000
40.5700 0.9852
40.5800 2.0166
40.5900 0.0000
40.6000 0.0000
40.6100 0.3060
40.6200 0.6963
40.6300 0.0000
40.6400 0.0000
40.6500 0.0000
40.6600 0.0000
40.6700 0.0000
40.6800 0.0000
40.6900 0.0649
40.7000 1.1626
40.7100 1.1489
40.7200 0.0000
40.7300 0.6283
40.7400 0.0000
40.7500 0.0000
40.7600 0.0000
40.7700 1.0012
40.7800 0.0000
40.7900 0.0000
40.8000 1.9558
40.8100 0.0000
40.8200 0.2560
40.8300 0.6342
40.8400 2.1393
40.8500 0.0000
40.8600 0.0000
40.8700 0.0000
40.8800 0.0000
40.8900 1.0110
40.9000 0.0000
40.9100 0.1304
40.9200 0.8207
40.9300 0.0000
40.9400 0.0000
40.9500 1.0111
40.9600 0.9535
40.9700 0.0000
40.9800 0.0000
40.9900 0.8903
41.0000 0.1075
41.0100 0.0000
41.0200 0.0000
41.0300 0.0000
41.0400 0.0000
41.0500 1.1771
41.0600 0.0000
41.0700 0.0000
41.0800 0.0000
41.0900 0.0000
41.1000 0.9552
41.1100 1.0441
41.1200 1.0548
41.1300 2.0878
41.1400 0.2988
41.1500 1.7122
41.1600 0.0000
41.1700 1.2414
41.1800 0.8579
41.1900 0.9253
41.2000 1.2575
41.2100 0.9829
41.2200 1.0460
41.2300 0.1569
41.2400 0.8380
41.2500 0.0000
41.2600 0.0000
41.2700 0.5069
41.2800 0.4401
41.2900 0.0000
41.3000 0.8242
41.3100 1.0360
41.3200 0.0814
41.3300 0.6432
41.3400 0.0000
41.3500 0.6085
41.3600 0.7009
41.3700 0.0000
41.3800 0.0000
41.3900 0.0000
41.4000 0.0000
41.4100 0.0000
41.4200 0.0000
41.4300 0.0456
41.4400 0.9556
41.4500 0.0000
41.4600 0.0000
41.4700 0.4072
41.4800 0.5551
41.4900 0.0000
41.5000 0.9834
41.5100 0.0000
41.5200 0.0000
41.5300 0.0000
41.5400 0.0000
41.5500 0.0000
41.5600 1.0341
41.5700 0.0000
41.5800 0.4538
41.5900 0.5295
41.6000 0.0000
41.6100 0.0000
41.6200 0.0000
41.6300 0.0000
41.6400 0.0000
41.6500 0.1216
41.6600 0.8726
41.6700 0.0000
41.6800 0.0000
41.6900 0.0000
41.7000 0.0000
41.7100 0.0000
41.7200 1.9204
41.7300 0.0000
41.7400 0.0000
41.7500 0.0679
41.7600 0.9578
41.7700 0.0000
41.7800 0.0000
41.7900 0.8391
41.8000 1.7660
41.8100 0.0000
41.8200 0.0000
41.8300 0.0000
41.8400 0.0000
41.8500 0.0000
41.8600 0.0000
41.8700 0.0000
41.8800 0.0000
41.8900 0.3766
41.9000 0.5947
41.9100 0.0000
41.9200 0.0000
41.9300 1.0078
41.9400 0.0000
41.9500 0.0000
41.9600 0.0000
41.9700 0.0000
41.9800 0.0000
41.9900 0.0000
42.0000 0.0000
42.0100 0.0000
42.0200 0.0000
42.0300 0.0000
42.0400 0.0000
42.0500 0.0000
42.0600 0.0000
42.0700 0.0000
42.0800 0.0000
42.0900 0.0000
42.1000 0.0000
42.1100 0.0000
42.1200 0.0000
42.1300 0.0000
42.1400 0.0000
42.1500 0.0000
42.1600 0.0000
42.1700 1.0132
42.1800 0.0000
42.1900 0.0000
42.2000 0.9653
42.2100 0.0000
42.2200 0.0000
42.2300 0.0000
42.2400 0.0000
42.2500 0.0000
42.2600 0.0000
42.2700 0.0000
42.2800 0.9761
42.2900 0.0000
42.3000 0.2921
42.3100 0.8406
42.3200 0.0000
42.3300 0.0000
42.3400 0.0000
42.3500 0.9704
42.3600 0.0000
42.3700 0.0000
42.3800 0.0000
42.3900 0.0000
42.4000 1.2910
42.4100 1.0958
42.4200 0.6838
42.4300 0.0000
42.4400 0.0000
42.4500 0.0000
42.4600 0.0000
42.4700 0.0000
42.4800 0.0000
42.4900 0.9837
42.5000 0.0000
42.5100 0.2403
42.5200 0.7601
42.5300 0.4003
42.5400 0.5329
42.5500 0.0000
42.5600 0.0000
42.5700 1.0566
42.5800 0.0000
42.5900 0.0000
42.6000 0.0881
42.6100 0.8935
42.6200 0.0000
42.6300 0.0000
42.6400 0.4713
42.6500 0.5372
42.6600 0.0000
42.6700 0.7473
42.6800 1.1465
42.6900 0.1649
42.7000 0.0000
42.7100 0.0000
42.7200 0.0000
42.7300 0.0000
42.7400 0.0000
42.7500 0.9864
42.7600 0.9646
42.7700 0.0000
42.7800 0.0000
42.7900 0.0000
42.8000 1.9150
42.8100 0.0438
42.8200 0.0000
42.8300 0.0000
42.8400 0.0000
42.8500 0.0000
42.8600 0.9926
42.8700 1.2918
42.8800 1.7246
42.8900 0.9868
42.9000 0.0000
42.9100 1.0291
42.9200 1.0545
42.9300 0.0000
42.9400 0.0000
42.9500 1.0882
42.9600 1.0097
42.9700 0.9805
42.9800 0.0000
42.9900 0.0000
43.0000 0.0000
43.0100 0.0000
43.0200 0.0000
43.0300 0.1464
43.0400 0.8381
43.0500 0.0000
43.0600 0.4098
43.0700 0.5391
43.0800 0.9688
43.0900 0.0000
43.1000 0.0000
43.1100 0.0000
43.1200 0.9734
43.1300 0.9775
43.1400 0.0000
43.1500 0.0000
43.1600 0.9744
43.1700 0.0000
43.1800 0.0000
43.1900 0.6767
43.2000 1.1602
43.2100 0.2651
43.2200 0.0000
43.2300 0.0000
43.2400 0.0000
43.2500 0.0000
43.2600 0.3281
43.2700 2.1216
43.2800 1.5588
43.2900 0.0000
43.3000 0.0000
43.3100 0.0000
43.3200 0.9622
43.3300 0.9777
43.3400 0.0000
43.3500 0.0000
43.3600 0.0000
43.3700 1.0085
43.3800 0.0000
43.3900 0.9998
43.4000 0.6316
43.4100 1.0967
43.4200 0.2671
43.4300 0.0000
43.4400 0.0000
43.4500 0.0000
43.4600 0.0000
43.4700 0.0000
43.4800 1.0909
43.4900 0.0000
43.5000 0.0000
43.5100 0.7209
43.5200 0.3398
43.5300 0.0000
43.5400 0.0000
43.5500 0.0000
43.5600 0.0000
43.5700 1.0581
43.5800 0.0000
43.5900 0.0000
43.6000 0.0000
43.6100 0.0000
43.6200 0.0000
43.6300 0.0000
43.6400 0.0000
43.6500 0.0000
43.6600 0.0000
43.6700 0.0000
43.6800 0.0000
43.6900 0.0000
43.7000 0.0000
43.7100 0.0000
43.7200 0.0000
43.7300 0.0000
43.7400 1.0313
43.7500 0.0000
43.7600 0.0000
43.7700 0.1331
43.7800 0.8612
43.7900 0.0000
43.8000 0.0000
43.8100 0.0000
43.8200 0.0000
43.8300 0.0000
43.8400 0.0000
43.8500 0.0000
43.8600 0.0000
43.8700 0.0000
43.8800 0.1675
43.8900 0.8051
43.9000 1.0112
43.9100 0.0000
43.9200 0.5804
43.9300 0.4753
43.9400 0.0000
43.9500 0.0000
43.9600 0.0000
43.9700 0.0000
43.9800 0.0000
43.9900 0.0000
44.0000 0.0000
44.0100 0.0000
44.0200 0.0000
44.0300 0.0000
44.0400 0.9843
44.0500 0.7713
44.0600 0.2215
44.0700 1.9253
44.0800 0.0328
44.0900 0.0000
44.1000 0.0000
44.1100 0.0000
44.1200 0.0000
44.1300 0.0000
44.1400 1.0051
44.1500 0.0000
44.1600 0.0000
44.1700 0.0000
44.1800 0.0000
44.1900 0.0000
44.2000 0.0000
44.2100 0.0000
44.2200 0.0000
44.2300 0.0000
44.2400 1.0771
44.2500 0.0000
44.2600 0.0000
44.2700 1.0450
44.2800 0.0000
44.2900 0.0000
44.3000 0.9737
44.3100 0.9646
44.3200 0.0000
44.3300 0.8676
44.3400 1.1983
44.3500 0.6161
44.3600 0.3960
44.3700 1.7585
44.3800 0.1940
44.3900 1.9337
44.4000 0.1684
44.4100 2.9090
44.4200 1.2973
44.4300 1.3980
44.4400 0.0000
44.4500 0.0000
44.4600 0.0000
44.4700 0.0000
44.4800 0.0000
44.4900 0.0000
44.5000 0.0244
44.5100 0.9653
44.5200 0.0000
44.5300 0.0000
44.5400 1.0265
44.5500 0.9891
44.5600 1.0025
44.5700 0.7181
44.5800 0.3296
44.5900 0.0000
44.6000 0.0000
44.6100 0.9928
44.6200 0.0000
44.6300 0.0000
44.6400 0.0000
44.6500 0.0000
44.6600 0.0000
44.6700 0.0000
44.6800 0.0000
44.6900 0.0000
44.7000 1.9850
44.7100 0.0000
44.7200 1.0086
44.7300 0.0000
44.7400 0.0000
44.7500 2.0401
44.7600 0.0000
44.7700 0.9832
44.7800 0.0000
44.7900 3.9455
44.8000 0.0000
44.8100 2.9753
44.8200 0.0461
44.8300 0.9722
44.8400 0.4542
44.8500 1.4862
44.8600 0.0000
44.8700 0.0000
44.8800 0.0000
44.8900 0.0000
44.9000 0.0000
44.9100 0.0000
44.9200 0.0000
44.9300 0.0000
44.9400 1.1666
44.9500 0.7931
44.9600 0.5097
44.9700 0.6345
44.9800 0.0000
44.9900 0.0000
45.0000 0.0000
45.0100 0.0000
45.0200 0.0000
45.0300 1.1322
45.0400 2.0091
45.0500 0.0000
45.0600 0.0000
45.0700 0.0000
45.0800 0.0000
45.0900 0.0000
45.1000 0.0000
45.1100 0.0000
45.1200 0.0000
45.1300 0.0000
45.1400 0.0000
45.1500 0.0000
45.1600 0.0000
45.1700 1.0443
45.1800 0.0000
45.1900 0.0000
45.2000 0.0000
45.2100 0.0000
45.2200 0.7595
45.2300 1.1324
45.2400 0.0000
45.2500 0.1059
45.2600 0.9100
45.2700 0.0000
45.2800 0.0000
45.2900 0.0000
45.3000 1.0606
45.3100 0.0000
45.3200 0.0000
45.3300 0.8595
45.3400 0.1406
45.3500 0.0000
45.3600 0.0000
45.3700 0.0000
45.3800 0.0000
45.3900 0.0000
45.4000 1.0360
45.4100 0.9557
45.4200 0.0000
45.4300 0.0000
45.4400 0.8543
45.4500 1.0710
45.4600 0.9855
45.4700 0.0000
45.4800 0.9880
45.4900 0.4156
45.5000 1.7405
45.5100 0.0000
45.5200 1.9608
45.5300 0.0000
45.5400 0.9830
45.5500 0.0000
45.5600 0.0000
45.5700 0.0000
45.5800 0.0000
45.5900 0.0000
45.6000 0.0000
45.6100 0.0000
45.6200 0.0000
45.6300 0.0000
45.6400 0.0000
45.6500 0.0000
45.6600 0.0000
45.6700 0.0000
45.6800 0.0000
45.6900 0.9856
45.7000 0.0000
45.7100 1.0098
45.7200 0.0000
45.7300 0.0000
45.7400 0.0000
45.7500 0.0000
45.7600 0.0000
45.7700 0.0000
45.7800 0.0000
45.7900 0.0000
45.8000 0.0000
45.8100 0.0000
45.8200 0.0000
45.8300 0.0000
45.8400 0.0000
45.8500 0.0000
45.8600 0.8599
45.8700 0.1373
45.8800 0.9626
45.8900 0.0000
45.9000 0.0000
45.9100 0.0000
45.9200 0.0000
45.9300 0.0000
45.9400 0.6206
45.9500 0.3845
45.9600 0.0000
45.9700 0.0000
45.9800 0.0000
45.9900 0.0000
46.0000 0.0000
46.0100 1.0116
46.0200 0.0000
46.0300 0.4773
46.0400 0.5447
46.0500 0.0000
46.0600 0.9538
46.0700 1.0080
46.0800 0.0000
46.0900 0.0000
46.1000 0.0000
46.1100 0.0000
46.1200 0.0000
46.1300 0.0000
46.1400 0.0000
46.1500 0.0000
46.1600 0.0000
46.1700 0.0000
46.1800 1.0109
46.1900 0.9454
46.2000 0.0220
46.2100 0.0000
46.2200 0.0000
46.2300 0.0000
46.2400 0.0000
46.2500 0.9737
46.2600 0.0000
46.2700 0.7345
46.2800 1.3163
46.2900 0.0000
46.3000 0.0000
46.3100 0.0000
46.3200 0.0000
46.3300 0.0000
46.3400 0.0000
46.3500 0.0000
46.3600 0.0000
46.3700 0.0000
46.3800 0.9827
46.3900 0.9278
46.4000 0.1446
46.4100 0.0000
46.4200 0.0000
46.4300 0.0000
46.4400 0.0000
46.4500 0.0000
46.4600 0.0000
46.4700 1.1249
46.4800 0.0000
46.4900 0.3192
46.5000 0.0000
46.5100 0.6384
46.5200 0.0000
46.5300 0.0000
46.5400 0.0000
46.5500 0.0000
46.5600 0.0000
46.5700 0.0000
46.5800 0.0000
46.5900 0.0000
46.6000 0.0000
46.6100 0.0000
46.6200 0.9485
46.6300 0.0000
46.6400 0.0000
46.6500 0.0000
46.6600 0.0000
46.6700 0.0000
46.6800 0.0000
46.6900 0.0000
46.7000 0.0000
46.7100 0.0000
46.7200 0.0000
46.7300 0.0000
46.7400 0.0000
46.7500 0.0000
46.7600 0.0000
46.7700 0.0000
46.7800 0.0000
46.7900 0.0000
46.8000 0.0000
46.8100 1.6702
46.8200 2.2853
46.8300 0.0761
