#Collected Data-12
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 0.0000
40.0100 0.0000
40.0200 0.9696
40.0300 0.8266
40.0400 0.1688
40.0500 0.9987
40.0600 0.0000
40.0700 0.0000
40.0800 0.2989
40.0900 1.6759
40.1000 0.9954
40.1100 0.0000
40.1200 0.0000
40.1300 0.0000
40.1400 1.7372
40.1500 0.2625
40.1600 0.0000
40.1700 0.0000
40.1800 0.0000
40.1900 0.0000
40.2000 0.0000
40.2100 1.4895
40.2200 0.4784
40.2300 0.7421
40.2400 0.2911
40.2500 1.0440
40.2600 0.1070
40.2700 0.9932
40.2800 0.0000
40.2900 1.9419
40.3000 0.9789
40.3100 1.9852
40.3200 1.0150
40.3300 0.6301
40.3400 0.3214
40.3500 0.8808
40.3600 0.1542
40.3700 0.0412
40.3800 2.1185
40.3900 0.9287
40.4000 0.3112
40.4100 0.6524
40.4200 1.4915
40.4300 2.3709
40.4400 0.6725
40.4500 0.2875
40.4600 0.0000
40.4700 0.0000
40.4800 1.9685
40.4900 0.0000
40.5000 0.9859
40.5100 0.0000
40.5200 0.4829
40.5300 2.1442
40.5400 1.1129
40.5500 0.3619
40.5600 1.9060
40.5700 0.1679
40.5800 1.0006
40.5900 0.0000
40.6000 0.0000
40.6100 0.0000
40.6200 0.0000
40.6300 2.5811
40.6400 1.0947
40.6500 1.4606
40.6600 0.7664
40.6700 1.2911
40.6800 0.9972
40.6900 1.1258
40.7000 0.9414
40.7100 0.0000
40.7200 0.0000
40.7300 0.0000
40.7400 0.0000
40.7500 0.0000
40.7600 1.4703
40.7700 0.5685
40.7800 1.7967
40.7900 0.0864
40.8000 1.0197
40.8100 0.9675
40.8200 0.0000
40.8300 0.0000
40.8400 1.9954
40.8500 0.0000
40.8600 2.8078
40.8700 1.1297
40.8800 0.3783
40.8900 0.0238
40.9000 1.0102
40.9100 0.0000
40.9200 0.0000
40.9300 2.1269
40.9400 0.8262
40.9500 1.1397
40.9600 0.0000
40.9700 0.0000
40.9800 0.0000
40.9900 0.8624
41.0000 0.1042
41.0100 0.0000
41.0200 0.0000
41.0300 0.0000
41.0400 0.0000
41.0500 0.4510
41.0600 0.5324
41.0700 1.0405
41.0800 0.7913
41.0900 0.2754
41.1000 0.0000
41.1100 0.0000
41.1200 0.0000
41.1300 0.2335
41.1400 1.8705
41.1500 0.0000
41.1600 2.5045
41.1700 2.5055
41.1800 0.0000
41.1900 1.0080
41.2000 0.9712
41.2100 0.0000
41.2200 0.0000
41.2300 0.0000
41.2400 0.0000
41.2500 0.0000
41.2600 0.4203
41.2700 0.5330
41.2800 0.0000
41.2900 0.0000
41.3000 0.0000
41.3100 0.0000
41.3200 0.0000
41.3300 0.0000
41.3400 0.2018
41.3500 0.8276
41.3600 0.3640
41.3700 0.5818
41.3800 0.5922
41.3900 0.4402
41.4000 0.0000
41.4100 0.8379
41.4200 0.1400
41.4300 1.0116
41.4400 1.4402
41.4500 1.0055
41.4600 0.4744
41.4700 0.4244
41.4800 0.5786
41.4900 0.0000
41.5000 1.0299
41.5100 0.0000
41.5200 1.0029
41.5300 0.0000
41.5400 1.1960
41.5500 0.9580
41.5600 0.0000
41.5700 0.9969
41.5800 0.0000
41.5900 0.0000
41.6000 1.3030
41.6100 2.2238
41.6200 1.3295
41.6300 1.1331
41.6400 2.0120
41.6500 0.0000
41.6600 0.0000
41.6700 0.3042
41.6800 0.6738
41.6900 0.5365
41.7000 0.5369
41.7100 0.9464
41.7200 1.8171
41.7300 1.0950
41.7400 2.2016
41.7500 0.0296
41.7600 0.0000
41.7700 2.2292
41.7800 0.7616
41.7900 2.0028
41.8000 0.9888
41.8100 0.0000
41.8200 0.0000
41.8300 0.9691
41.8400 0.9482
41.8500 0.0872
41.8600 0.0988
41.8700 0.8460
41.8800 0.0000
41.8900 0.0000
41.9000 0.0000
41.9100 0.9783
41.9200 0.9700
41.9300 0.7509
41.9400 1.0940
41.9500 0.1410
41.9600 0.9885
41.9700 0.0000
41.9800 0.0000
41.9900 1.3726
42.0000 0.7172
42.0100 0.0000
42.0200 0.0000
42.0300 0.0000
42.0400 1.0054
42.0500 1.0387
42.0600 1.9979
42.0700 0.0080
42.0800 3.1722
42.0900 3.7694
42.1000 1.0307
42.1100 0.4412
42.1200 1.5588
42.1300 1.6610
42.1400 2.4295
42.1500 1.0482
42.1600 0.9720
42.1700 0.0602
42.1800 2.1617
42.1900 1.8493
42.2000 1.3193
42.2100 1.8225
42.2200 0.0000
42.2300 0.9604
42.2400 0.0000
42.2500 0.0000
42.2600 0.0000
42.2700 0.0000
42.2800 1.1365
42.2900 1.9690
42.3000 2.1998
42.3100 0.7219
42.3200 1.9925
42.3300 0.5424
42.3400 1.1103
42.3500 1.8508
42.3600 2.5141
42.3700 0.0000
42.3800 0.9745
42.3900 1.9677
42.4000 0.9991
42.4100 1.0029
42.4200 0.0000
42.4300 3.0025
42.4400 1.0401
42.4500 0.9670
42.4600 0.8261
42.4700 1.2268
42.4800 0.9352
42.4900 1.0294
42.5000 0.0000
42.5100 0.0000
42.5200 0.0000
42.5300 0.4216
42.5400 0.5613
42.5500 1.2096
42.5600 2.1192
42.5700 1.5453
42.5800 0.0000
42.5900 0.0000
42.6000 2.9905
42.6100 0.3247
42.6200 0.0000
42.6300 0.6494
42.6400 0.0000
42.6500 0.0000
42.6600 3.9882
42.6700 0.0000
42.6800 2.0327
42.6900 1.0113
42.7000 3.8552
42.7100 0.2519
42.7200 1.7151
42.7300 0.6279
42.7400 1.3538
42.7500 1.5128
42.7600 0.4939
42.7700 0.0000
42.7800 0.0000
42.7900 0.0000
42.8000 0.0000
42.8100 2.1030
42.8200 0.9189
42.8300 0.0000
42.8400 0.0000
42.8500 0.0000
42.8600 0.0000
42.8700 0.0000
42.8800 0.0000
42.8900 0.0000
42.9000 0.0000
42.9100 0.0000
42.9200 0.0000
42.9300 0.0000
42.9400 0.0000
42.9500 0.0000
42.9600 0.0000
42.9700 0.0000
42.9800 0.0000
42.9900 0.0000
43.0000 1.7178
43.0100 0.2669
43.0200 0.0554
43.0300 1.9521
43.0400 0.0000
43.0500 0.0000
43.0600 1.0253
43.0700 1.0173
43.0800 1.0299
43.0900 0.0000
43.1000 0.0000
43.1100 0.0000
43.1200 1.0827
43.1300 0.0000
43.1400 0.0000
43.1500 0.0000
43.1600 0.0000
43.1700 0.0000
43.1800 1.4569
43.1900 0.3940
43.2000 0.0000
43.2100 1.0056
43.2200 0.0000
43.2300 0.0000
43.2400 0.1306
43.2500 1.3117
43.2600 1.5291
43.2700 0.0000
43.2800 0.0000
43.2900 0.0000
43.3000 0.0000
43.3100 0.7582
43.3200 0.1995
43.3300 0.0000
43.3400 0.0000
43.3500 0.0000
43.3600 0.5073
43.3700 1.7726
43.3800 0.6386
43.3900 0.9502
43.4000 0.0000
43.4100 0.0000
43.4200 0.0000
43.4300 0.0000
43.4400 0.0000
43.4500 0.0000
43.4600 0.0000
43.4700 0.0000
43.4800 0.0000
43.4900 0.0000
43.5000 0.0000
43.5100 0.0000
43.5200 0.0000
43.5300 0.8272
43.5400 1.1512
43.5500 2.2278
43.5600 1.1118
43.5700 0.8139
43.5800 0.0000
43.5900 0.0000
43.6000 0.5138
43.6100 0.4571
43.6200 0.0000
43.6300 0.0000
43.6400 0.0000
43.6500 0.9800
43.6600 1.9542
43.6700 0.9517
43.6800 0.9931
43.6900 0.0000
43.7000 0.8998
43.7100 1.0021
43.7200 0.9393
43.7300 0.7414
43.7400 0.2389
43.7500 0.9097
43.7600 0.0907
43.7700 1.9237
43.7800 0.9740
43.7900 0.3370
43.8000 1.1128
43.8100 0.5665
43.8200 0.9747
43.8300 0.0000
43.8400 1.7867
43.8500 0.2101
43.8600 3.9869
43.8700 1.1353
43.8800 0.9855
43.8900 1.0030
43.9000 0.0000
43.9100 0.0000
43.9200 1.5334
43.9300 1.7234
43.9400 0.7040
43.9500 2.4742
43.9600 1.4189
43.9700 0.0931
43.9800 0.9376
43.9900 0.0000
44.0000 0.9956
44.0100 0.0000
44.0200 0.0000
44.0300 1.6593
44.0400 0.4425
44.0500 0.0000
44.0600 0.9765
44.0700 0.0000
44.0800 0.0000
44.0900 0.0000
44.1000 0.9833
44.1100 0.0000
44.1200 0.0000
44.1300 0.4444
44.1400 1.0447
44.1500 1.3362
44.1600 1.0346
44.1700 0.9289
44.1800 2.1452
44.1900 0.0000
44.2000 1.0164
44.2100 0.0000
44.2200 1.3662
44.2300 0.6309
44.2400 1.0585
44.2500 0.0000
44.2600 0.8324
44.2700 1.0882
44.2800 1.0865
44.2900 0.0410
44.3000 0.9266
44.3100 2.2016
44.3200 2.6903
44.3300 0.0000
44.3400 0.5112
44.3500 5.3351
44.3600 0.6868
44.3700 1.1400
44.3800 0.2158
44.3900 3.0060
44.4000 0.9751
44.4100 0.9834
44.4200 1.3089
44.4300 1.1282
44.4400 0.6405
44.4500 2.0126
44.4600 0.8528
44.4700 0.0000
44.4800 0.5221
44.4900 0.1025
44.5000 0.3123
44.5100 0.0000
44.5200 0.0000
44.5300 0.0000
44.5400 1.4279
44.5500 0.5989
44.5600 0.0000
44.5700 0.6628
44.5800 1.3351
44.5900 1.9208
44.6000 0.1306
44.6100 2.0251
44.6200 0.0000
44.6300 0.0000
44.6400 0.0000
44.6500 0.0000
44.6600 0.0000
44.6700 0.0000
44.6800 0.0000
44.6900 1.7158
44.7000 0.3814
44.7100 0.0067
44.7200 3.2220
44.7300 1.1085
44.7400 1.1320
44.7500 1.7232
44.7600 0.0000
44.7700 0.0000
44.7800 0.9622
44.7900 0.0000
44.8000 0.0000
44.8100 0.0000
44.8200 1.0057
44.8300 0.0000
44.8400 1.0014
44.8500 1.3626
44.8600 2.9236
44.8700 1.7256
44.8800 1.9288
44.8900 1.5518
44.9000 2.6574
44.9100 2.7421
44.9200 2.1810
44.9300 3.1213
44.9400 0.9025
44.9500 1.2688
44.9600 0.7120
44.9700 1.4861
44.9800 0.5442
44.9900 1.2516
45.0000 3.3727
45.0100 3.8438
45.0200 2.3869
45.0300 2.0806
45.0400 2.1040
45.0500 4.7663
45.0600 0.2899
45.0700 6.1598
45.0800 5.6371
45.0900 4.6261
45.1000 5.4150
45.1100 6.0144
45.1200 9.9261
45.1300 6.0175
45.1400 13.4930
45.1500 13.5130
45.1600 12.2132
45.1700 12.7784
45.1800 13.5138
45.1900 19.3391
45.2000 19.0652
45.2100 19.4114
45.2200 23.2767
45.2300 20.7676
45.2400 11.8471
45.2500 20.6784
45.2600 18.1624
45.2700 16.2296
45.2800 11.6191
45.2900 14.2398
45.3000 15.9292
45.3100 7.4476
45.3200 11.1579
45.3300 6.4435
45.3400 5.2268
45.3500 8.4940
45.3600 7.9963
45.3700 14.4507
45.3800 6.5405
45.3900 6.4465
45.4000 5.2131
45.4100 6.4719
45.4200 3.2003
45.4300 4.6404
45.4400 2.7157
45.4500 2.0156
45.4600 3.2488
45.4700 1.8589
45.4800 0.9884
45.4900 1.0813
45.5000 3.6974
45.5100 2.0420
45.5200 0.6330
45.5300 2.0571
45.5400 2.1901
45.5500 0.9403
45.5600 1.0296
45.5700 0.9874
45.5800 0.2348
45.5900 0.8361
45.6000 0.4074
45.6100 1.6133
45.6200 0.0000
45.6300 1.9945
45.6400 0.8495
45.6500 1.2132
45.6600 1.0064
45.6700 0.0700
45.6800 0.9472
45.6900 2.2636
45.7000 0.7260
45.7100 0.9478
45.7200 0.0000
45.7300 0.0000
45.7400 0.7559
45.7500 0.2802
45.7600 1.0169
45.7700 0.9710
45.7800 1.9786
45.7900 2.2346
45.8000 2.3780
45.8100 2.3942
45.8200 1.9297
45.8300 1.5959
45.8400 1.4466
45.8500 0.0000
45.8600 0.8942
45.8700 0.1428
45.8800 0.9903
45.8900 0.0000
45.9000 0.9710
45.9100 0.6364
45.9200 2.7446
45.9300 1.0649
45.9400 1.0620
45.9500 0.3677
45.9600 0.0000
45.9700 0.0000
45.9800 1.8939
45.9900 0.1004
46.0000 1.8850
46.0100 0.0000
46.0200 1.0309
46.0300 0.0000
46.0400 0.5468
46.0500 1.0810
46.0600 0.3432
46.0700 0.8204
46.0800 0.1510
46.0900 0.9742
46.1000 0.0000
46.1100 0.0000
46.1200 0.0000
46.1300 0.0000
46.1400 0.4934
46.1500 1.4345
46.1600 0.0000
46.1700 0.0000
46.1800 0.9903
46.1900 0.0000
46.2000 1.1359
46.2100 0.0000
46.2200 0.9592
46.2300 0.0000
46.2400 0.4335
46.2500 0.5314
46.2600 0.6634
46.2700 2.1372
46.2800 1.1220
46.2900 3.2023
46.3000 1.0161
46.3100 1.0215
46.3200 0.2035
46.3300 0.7921
46.3400 0.0000
46.3500 0.0000
46.3600 0.5775
46.3700 0.4148
46.3800 0.7600
46.3900 0.2260
46.4000 0.3429
46.4100 0.0907
46.4200 1.5905
46.4300 0.0000
46.4400 0.0000
46.4500 1.0372
46.4600 1.4981
46.4700 0.4585
46.4800 1.0166
46.4900 0.7923
46.5000 2.2394
46.5100 0.0000
46.5200 0.9865
46.5300 0.3714
46.5400 1.6178
46.5500 0.0000
46.5600 0.4741
46.5700 0.5348
46.5800 0.9851
46.5900 0.0000
46.6000 0.9724
46.6100 1.9296
46.6200 1.1050
46.6300 0.0000
46.6400 0.2108
46.6500 0.7257
46.6600 0.9748
46.6700 0.0000
46.6800 0.0000
46.6900 0.0000
46.7000 1.7680
46.7100 0.2095
46.7200 0.0000
46.7300 1.2780
46.7400 0.9413
46.7500 0.9598
46.7600 0.7056
46.7700 1.2666
46.7800 0.0000
46.7900 0.0000
46.8000 1.9739
46.8100 0.0000
46.8200 0.0000
46.8300 0.0000
