#Collected Data-22
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 0.0000
40.0100 0.0000
40.0200 0.0000
40.0300 0.0000
40.0400 0.0000
40.0500 0.0194
40.0600 1.1131
40.0700 1.5492
40.0800 2.3355
40.0900 2.2312
40.1000 0.4707
40.1100 1.7905
40.1200 0.4354
40.1300 1.0145
40.1400 0.0000
40.1500 6.0305
40.1600 1.0066
40.1700 0.1531
40.1800 2.3977
40.1900 2.1819
40.2000 2.2754
40.2100 1.1786
40.2200 0.0000
40.2300 0.7805
40.2400 1.9059
40.2500 1.4459
40.2600 0.0000
40.2700 1.1740
40.2800 2.0746
40.2900 2.1060
40.3000 0.7126
40.3100 0.0000
40.3200 0.0000
40.3300 0.9473
40.3400 0.7859
40.3500 1.0721
40.3600 0.1434
40.3700 0.0388
40.3800 1.8826
40.3900 0.2151
40.4000 0.7259
40.4100 0.4252
40.4200 0.5936
40.4300 0.0000
40.4400 1.4225
40.4500 0.6080
40.4600 0.9574
40.4700 0.0000
40.4800 0.0000
40.4900 0.1782
40.5000 0.8546
40.5100 0.3576
40.5200 0.6321
40.5300 2.0590
40.5400 0.9073
40.5500 1.8057
40.5600 0.2772
40.5700 1.0795
40.5800 2.0064
40.5900 0.0000
40.6000 0.0000
40.6100 0.9487
40.6200 0.3809
40.6300 2.0249
40.6400 0.5123
40.6500 1.0344
40.6600 0.0000
40.6700 0.8857
40.6800 1.1568
40.6900 1.0017
40.7000 0.0000
40.7100 0.0000
40.7200 0.0000
40.7300 0.0000
40.7400 0.5099
40.7500 3.0415
40.7600 2.0977
40.7700 1.1361
40.7800 1.3163
40.7900 0.0043
40.8000 0.9746
40.8100 0.1897
40.8200 1.7807
40.8300 0.9868
40.8400 2.5046
40.8500 0.5305
40.8600 0.0000
40.8700 0.0000
40.8800 0.0000
40.8900 0.9788
40.9000 0.0000
40.9100 1.0001
40.9200 0.0000
40.9300 0.3071
40.9400 2.6148
40.9500 0.0000
40.9600 0.0000
40.9700 0.0000
40.9800 0.0000
40.9900 3.0081
41.0000 1.0634
41.0100 1.0194
41.0200 1.0598
41.0300 1.3093
41.0400 0.7750
41.0500 0.0000
41.0600 0.0000
41.0700 1.9055
41.0800 1.0378
41.0900 0.9813
41.1000 0.9881
41.1100 0.0000
41.1200 0.1144
41.1300 0.8439
41.1400 0.0000
41.1500 0.0000
41.1600 1.0058
41.1700 2.9452
41.1800 1.7221
41.1900 1.1338
41.2000 3.0065
41.2100 2.1631
41.2200 0.9891
41.2300 0.0000
41.2400 0.0000
41.2500 0.6956
41.2600 1.3120
41.2700 2.8831
41.2800 0.9305
41.2900 0.6734
41.3000 2.2972
41.3100 1.0079
41.3200 1.9669
41.3300 1.0466
41.3400 0.8804
41.3500 0.0000
41.3600 0.9535
41.3700 0.9610
41.3800 0.0000
41.3900 0.0000
41.4000 0.0000
41.4100 0.0000
41.4200 0.9548
41.4300 0.0423
41.4400 0.8865
41.4500 2.2475
41.4600 1.1270
41.4700 0.6658
41.4800 0.9836
41.4900 0.9450
41.5000 1.7124
41.5100 2.1451
41.5200 0.2149
41.5300 0.0000
41.5400 0.0000
41.5500 0.1934
41.5600 1.8391
41.5700 0.3793
41.5800 0.6538
41.5900 0.0000
41.6000 3.0715
41.6100 0.0000
41.6200 0.0000
41.6300 0.0000
41.6400 0.9637
41.6500 0.0000
41.6600 2.0265
41.6700 0.3244
41.6800 1.1179
41.6900 1.5632
41.7000 0.5939
41.7100 3.3501
41.7200 1.0265
41.7300 0.0000
41.7400 0.9679
41.7500 2.0078
41.7600 0.0000
41.7700 0.0000
41.7800 0.9947
41.7900 0.0000
41.8000 0.9612
41.8100 2.3349
41.8200 0.7371
41.8300 0.0000
41.8400 0.0000
41.8500 0.0000
41.8600 0.2150
41.8700 2.0372
41.8800 1.7423
41.8900 0.7640
41.9000 1.6677
41.9100 0.4955
41.9200 0.0000
41.9300 0.0000
41.9400 0.8584
41.9500 2.1129
41.9600 0.0000
41.9700 0.0000
41.9800 0.2312
41.9900 1.7126
42.0000 0.4375
42.0100 0.5893
42.0200 3.2381
42.0300 1.4320
42.0400 0.2744
42.0500 2.0513
42.0600 1.0761
42.0700 0.0000
42.0800 0.0000
42.0900 0.0000
42.1000 0.0000
42.1100 0.0000
42.1200 0.9470
42.1300 0.0000
42.1400 0.0000
42.1500 0.0000
42.1600 1.1014
42.1700 2.0118
42.1800 0.0000
42.1900 0.9721
42.2000 0.0000
42.2100 2.3896
42.2200 0.6086
42.2300 2.0813
42.2400 0.0000
42.2500 0.0000
42.2600 0.0000
42.2700 2.8894
42.2800 0.0000
42.2900 0.3175
42.3000 1.6243
42.3100 0.3433
42.3200 0.6312
42.3300 0.0000
42.3400 0.0000
42.3500 0.0000
42.3600 0.0000
42.3700 0.0000
42.3800 0.0000
42.3900 0.0000
42.4000 1.9101
42.4100 0.0000
42.4200 0.0000
42.4300 1.0048
42.4400 0.0000
42.4500 0.0000
42.4600 0.7283
42.4700 0.2198
42.4800 1.0190
42.4900 0.0458
42.5000 0.9127
42.5100 0.0000
42.5200 0.6391
42.5300 2.1047
42.5400 1.1097
42.5500 1.0136
42.5600 1.6729
42.5700 0.2836
42.5800 0.9977
42.5900 1.9333
42.6000 1.0652
42.6100 1.9254
42.6200 0.0000
42.6300 0.0000
42.6400 0.9582
42.6500 0.0000
42.6600 0.0000
42.6700 0.0000
42.6800 0.0000
42.6900 0.0000
42.7000 1.1069
42.7100 0.0000
42.7200 0.0000
42.7300 0.3139
42.7400 0.6769
42.7500 0.0000
42.7600 0.0000
42.7700 1.4346
42.7800 0.6313
42.7900 0.8493
42.8000 2.0683
42.8100 1.0631
42.8200 0.0000
42.8300 0.5155
42.8400 2.4465
42.8500 0.0000
42.8600 2.5078
42.8700 0.4333
42.8800 0.0000
42.8900 0.0000
42.9000 0.0000
42.9100 0.0000
42.9200 0.0000
42.9300 0.0000
42.9400 0.0000
42.9500 0.0000
42.9600 0.0000
42.9700 1.1342
42.9800 0.8135
42.9900 0.0000
43.0000 0.9832
43.0100 0.9347
43.0200 0.0526
43.0300 0.9158
43.0400 0.2533
43.0500 0.7888
43.0600 0.0000
43.0700 0.9353
43.0800 0.6243
43.0900 2.0605
43.1000 0.2912
43.1100 0.0000
43.1200 3.9551
43.1300 0.9705
43.1400 0.0000
43.1500 0.0000
43.1600 0.0000
43.1700 0.9582
43.1800 1.1267
43.1900 0.8689
43.2000 0.0000
43.2100 0.0000
43.2200 1.0919
43.2300 0.0357
43.2400 0.9395
43.2500 0.0000
43.2600 0.6423
43.2700 2.3325
43.2800 1.0047
43.2900 0.9904
43.3000 0.9820
43.3100 1.0372
43.3200 0.0000
43.3300 1.9548
43.3400 2.0666
43.3500 0.8983
43.3600 0.2565
43.3700 1.6731
43.3800 0.0000
43.3900 0.0000
43.4000 1.2950
43.4100 2.2258
43.4200 2.1665
43.4300 1.3302
43.4400 0.0000
43.4500 0.0000
43.4600 0.0000
43.4700 0.0000
43.4800 0.0000
43.4900 0.4877
43.5000 1.5074
43.5100 1.6731
43.5200 1.0700
43.5300 0.2203
43.5400 0.9369
43.5500 0.0362
43.5600 1.0003
43.5700 1.0035
43.5800 0.0000
43.5900 0.0000
43.6000 0.0000
43.6100 0.6081
43.6200 3.0554
43.6300 0.7770
43.6400 0.1795
43.6500 0.9866
43.6600 1.0102
43.6700 0.1734
43.6800 2.2935
43.6900 2.7593
43.7000 0.5906
43.7100 0.9788
43.7200 0.0000
43.7300 1.4301
43.7400 1.4374
43.7500 0.0000
43.7600 0.0000
43.7700 0.0000
43.7800 0.0000
43.7900 0.0000
43.8000 1.0405
43.8100 0.0882
43.8200 1.8921
43.8300 1.2310
43.8400 0.0000
43.8500 0.0000
43.8600 1.9529
43.8700 0.0170
43.8800 0.0000
43.8900 0.0000
43.9000 0.0000
43.9100 0.0000
43.9200 0.0000
43.9300 1.8859
43.9400 3.8312
43.9500 0.2621
43.9600 0.9102
43.9700 1.1170
43.9800 0.1199
43.9900 1.1140
44.0000 1.7426
44.0100 0.7964
44.0200 1.1979
44.0300 0.9523
44.0400 0.6978
44.0500 3.8461
44.0600 1.3637
44.0700 0.9690
44.0800 1.0927
44.0900 0.9082
44.1000 0.0000
44.1100 0.9849
44.1200 0.0000
44.1300 0.0000
44.1400 0.6308
44.1500 1.0907
44.1600 2.1215
44.1700 3.0609
44.1800 1.0880
44.1900 0.0963
44.2000 0.8818
44.2100 0.0000
44.2200 1.3894
44.2300 0.6115
44.2400 0.0000
44.2500 0.0000
44.2600 0.0000
44.2700 4.2290
44.2800 2.7258
44.2900 0.0952
44.3000 2.1700
44.3100 0.8337
44.3200 1.2868
44.3300 2.6001
44.3400 0.0000
44.3500 0.0000
44.3600 0.6953
44.3700 2.0944
44.3800 1.9305
44.3900 3.1146
44.4000 1.0955
44.4100 5.5059
44.4200 4.6960
44.4300 1.7763
44.4400 3.2211
44.4500 4.5498
44.4600 5.8659
44.4700 8.7560
44.4800 2.8999
44.4900 10.0472
44.5000 10.4873
44.5100 11.4290
44.5200 15.9417
44.5300 14.5686
44.5400 14.6588
44.5500 9.6591
44.5600 17.6410
44.5700 14.7593
44.5800 16.7152
44.5900 13.6976
44.6000 15.2521
44.6100 14.4232
44.6200 9.0093
44.6300 9.7295
44.6400 11.3068
44.6500 4.1066
44.6600 8.5977
44.6700 8.3545
44.6800 3.0588
44.6900 5.6030
44.7000 8.0058
44.7100 8.2652
44.7200 7.1057
44.7300 4.0586
44.7400 2.1063
44.7500 4.4671
44.7600 2.8277
44.7700 2.6675
44.7800 0.0000
44.7900 1.7032
44.8000 1.9250
44.8100 0.2837
44.8200 3.0213
44.8300 2.1672
44.8400 2.1392
44.8500 2.3382
44.8600 0.6993
44.8700 1.9964
44.8800 3.1238
44.8900 0.7547
44.9000 3.6945
44.9100 1.0588
44.9200 1.1741
44.9300 0.0889
44.9400 0.9739
44.9500 0.5550
44.9600 2.4939
44.9700 0.4545
44.9800 0.5309
44.9900 0.0000
45.0000 0.9918
45.0100 0.0000
45.0200 0.9543
45.0300 1.0880
45.0400 0.9827
45.0500 0.0000
45.0600 2.3424
45.0700 1.6688
45.0800 1.4918
45.0900 1.5786
45.1000 1.6380
45.1100 0.3151
45.1200 0.9064
45.1300 0.1270
45.1400 1.0200
45.1500 0.0000
45.1600 0.0000
45.1700 0.0000
45.1800 0.9828
45.1900 0.9953
45.2000 2.0215
45.2100 0.0000
45.2200 0.1187
45.2300 2.1317
45.2400 1.9628
45.2500 0.0000
45.2600 1.4928
45.2700 1.5941
45.2800 0.0000
45.2900 0.9961
45.3000 0.3534
45.3100 0.0000
45.3200 0.7069
45.3300 0.0000
45.3400 0.0000
45.3500 0.0000
45.3600 0.1464
45.3700 0.8805
45.3800 0.0000
45.3900 0.0000
45.4000 0.0000
45.4100 0.0000
45.4200 1.0206
45.4300 2.6702
45.4400 1.4276
45.4500 4.9090
45.4600 0.0390
45.4700 1.0403
45.4800 0.0000
45.4900 0.9291
45.5000 0.4559
45.5100 1.4952
45.5200 1.6809
45.5300 0.3399
45.5400 0.0000
45.5500 0.0000
45.5600 1.0349
45.5700 0.1240
45.5800 1.8399
45.5900 0.3033
45.6000 0.6637
45.6100 0.0000
45.6200 1.2370
45.6300 0.8356
45.6400 0.9714
45.6500 0.0000
45.6600 2.9035
45.6700 0.1469
45.6800 0.9556
45.6900 2.0954
45.7000 0.3546
45.7100 0.6528
45.7200 0.9823
45.7300 0.0000
45.7400 0.7507
45.7500 1.0803
45.7600 0.1714
45.7700 0.9827
45.7800 2.1138
45.7900 0.9736
45.8000 0.0000
45.8100 0.0000
45.8200 0.0000
45.8300 0.5969
45.8400 0.4338
45.8500 1.0356
45.8600 0.0000
45.8700 0.0000
45.8800 1.1520
45.8900 0.1699
45.9000 0.9980
45.9100 0.0000
45.9200 0.0000
45.9300 0.0000
45.9400 0.9629
45.9500 0.0000
45.9600 0.0000
45.9700 0.0000
45.9800 0.1681
45.9900 0.1912
46.0000 2.9617
46.0100 1.2797
46.0200 0.8232
46.0300 0.0000
46.0400 0.0000
46.0500 0.0000
46.0600 0.0000
46.0700 0.0000
46.0800 2.8802
46.0900 0.0000
46.1000 0.1300
46.1100 1.3370
46.1200 1.5725
46.1300 0.0000
46.1400 0.9961
46.1500 0.9658
46.1600 0.0000
46.1700 0.8008
46.1800 1.3164
46.1900 0.0000
46.2000 1.0115
46.2100 0.0000
46.2200 0.0000
46.2300 0.9876
46.2400 0.0000
46.2500 0.0000
46.2600 0.0000
46.2700 1.9052
46.2800 1.8357
46.2900 0.1722
46.3000 0.0000
46.3100 0.1126
46.3200 0.9105
46.3300 0.0000
46.3400 0.0000
46.3500 0.0000
46.3600 2.0519
46.3700 0.6815
46.3800 1.0807
46.3900 1.1807
46.4000 0.0000
46.4100 1.0071
46.4200 0.0000
46.4300 0.0000
46.4400 0.0000
46.4500 0.0000
46.4600 0.0000
46.4700 0.0000
46.4800 0.9902
46.4900 0.8006
46.5000 0.1888
46.5100 0.0000
46.5200 0.0000
46.5300 0.0000
46.5400 0.0000
46.5500 0.3913
46.5600 0.6508
46.5700 1.9978
46.5800 0.0000
46.5900 0.0000
46.6000 0.0000
46.6100 0.0000
46.6200 0.9679
46.6300 1.1148
46.6400 0.8679
46.6500 1.0604
46.6600 0.0000
46.6700 0.0000
46.6800 0.0000
46.6900 0.9657
46.7000 0.0000
46.7100 0.9577
46.7200 1.0771
46.7300 0.0701
46.7400 2.0486
46.7500 2.9338
46.7600 0.0000
46.7700 0.5753
46.7800 0.5442
46.7900 0.6239
46.8000 0.3495
46.8100 0.8633
46.8200 1.9562
46.8300 2.1330
