#Collected Data-120
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 51.4819
40.0100 55.4964
40.0200 41.7215
40.0300 66.7081
40.0400 47.3297
40.0500 58.7974
40.0600 50.5657
40.0700 63.7646
40.0800 66.9608
40.0900 51.6880
40.1000 54.3836
40.1100 46.1871
40.1200 46.8860
40.1300 46.9527
40.1400 39.4746
40.1500 43.3011
40.1600 58.8641
40.1700 50.4506
40.1800 52.5038
40.1900 50.8120
40.2000 39.7116
40.2100 46.6208
40.2200 44.9537
40.2300 48.2692
40.2400 47.1352
40.2500 41.7780
40.2600 37.8472
40.2700 42.7403
40.2800 52.5697
40.2900 52.8701
40.3000 61.0774
40.3100 44.8501
40.3200 51.0541
40.3300 32.4067
40.3400 42.4488
40.3500 39.9116
40.3600 45.4447
40.3700 47.6414
40.3800 40.8703
40.3900 53.2506
40.4000 54.4424
40.4100 47.8442
40.4200 54.3317
40.4300 53.3753
40.4400 63.6859
40.4500 46.6355
40.4600 42.6047
40.4700 55.8419
40.4800 67.5704
40.4900 42.6950
40.5000 39.7323
40.5100 43.9687
40.5200 52.2285
40.5300 53.0386
40.5400 45.9796
40.5500 41.7190
40.5600 40.3765
40.5700 48.2867
40.5800 48.1221
40.5900 46.6831
40.6000 48.3013
40.6100 43.1929
40.6200 45.3516
40.6300 44.1138
40.6400 39.8720
40.6500 45.9519
40.6600 49.9019
40.6700 42.6617
40.6800 51.4221
40.6900 61.7584
40.7000 47.7736
40.7100 51.1804
40.7200 55.6153
40.7300 45.4295
40.7400 29.6408
40.7500 43.7244
40.7600 62.5187
40.7700 55.8270
40.7800 46.2313
40.7900 34.4083
40.8000 60.5721
40.8100 51.2456
40.8200 54.5934
40.8300 46.0588
40.8400 46.1086
40.8500 49.2777
40.8600 53.6236
40.8700 53.1244
40.8800 62.2315
40.8900 57.5562
40.9000 50.4997
40.9100 43.1451
40.9200 53.7108
40.9300 47.4749
40.9400 54.1150
40.9500 55.5458
40.9600 52.9533
40.9700 44.0517
40.9800 39.5978
40.9900 46.2077
41.0000 40.5577
41.0100 55.2573
41.0200 58.9639
41.0300 60.1391
41.0400 54.9334
41.0500 43.1341
41.0600 50.8982
41.0700 52.6326
41.0800 46.6630
41.0900 39.9200
41.1000 60.7368
41.1100 35.9887
41.1200 44.9284
41.1300 57.0065
41.1400 46.0571
41.1500 55.7418
41.1600 58.0695
41.1700 54.0514
41.1800 40.7596
41.1900 44.7730
41.2000 58.7997
41.2100 48.3844
41.2200 32.3752
41.2300 49.5685
41.2400 42.5270
41.2500 43.1111
41.2600 49.7416
41.2700 51.4589
41.2800 46.2184
41.2900 61.1433
41.3000 46.1895
41.3100 57.5321
41.3200 60.9728
41.3300 53.4074
41.3400 58.6994
41.3500 45.5053
41.3600 50.3995
41.3700 47.7156
41.3800 48.5295
41.3900 42.1520
41.4000 56.5689
41.4100 44.2175
41.4200 53.1011
41.4300 55.8746
41.4400 38.1898
41.4500 51.4776
41.4600 45.4035
41.4700 43.6013
41.4800 53.4403
41.4900 48.2648
41.5000 57.9867
41.5100 50.2457
41.5200 42.9208
41.5300 48.2677
41.5400 41.2937
41.5500 46.1147
41.5600 48.4816
41.5700 60.3235
41.5800 56.9203
41.5900 48.1142
41.6000 48.3494
41.6100 58.9671
41.6200 48.3951
41.6300 55.2585
41.6400 55.6072
41.6500 40.9596
41.6600 51.8666
41.6700 50.3925
41.6800 58.6134
