#Collected Data-64
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 37.7376
40.0500 32.8109
40.1000 35.5877
40.1500 29.9465
40.2000 38.4941
40.2500 35.9873
40.3000 36.8878
40.3500 34.8807
40.4000 31.6898
40.4500 35.5314
40.5000 27.9957
40.5500 37.2041
40.6000 37.9290
40.6500 41.7227
40.7000 43.4007
40.7500 35.0683
40.8000 30.4813
40.8500 31.3025
40.9000 33.0748
40.9500 33.1474
41.0000 44.2541
41.0500 27.4895
41.1000 31.4599
41.1500 37.6539
41.2000 45.3231
41.2500 42.1368
41.3000 35.8502
41.3500 41.1699
41.4000 32.5669
41.4500 37.8588
41.5000 45.4811
41.5500 43.6928
41.6000 47.4073
41.6500 42.6426
41.7000 28.5613
41.7500 34.6055
41.8000 43.2384
41.8500 40.2252
41.9000 34.6421
41.9500 36.5026
42.0000 34.1863
42.0500 41.4847
42.1000 40.4098
42.1500 34.8477
42.2000 36.5292
42.2500 50.1853
42.3000 25.2395
42.3500 32.9072
42.4000 44.3850
42.4500 45.1130
42.5000 40.3258
42.5500 39.1332
42.6000 39.3882
42.6500 42.2193
42.7000 46.4961
42.7500 40.9596
42.8000 26.8247
42.8500 42.5890
42.9000 28.0782
42.9500 34.1091
43.0000 39.5615
43.0500 44.0683
43.1000 39.0578
43.1500 36.9177
43.2000 36.4638
43.2500 33.6822
43.3000 37.4220
43.3500 45.4698
43.4000 55.6737
43.4500 35.4328
43.5000 36.0097
43.5500 36.9111
43.6000 35.0404
43.6500 35.3699
43.7000 39.0572
43.7500 31.6294
43.8000 34.5958
43.8500 37.9030
43.9000 29.7097
43.9500 35.2241
44.0000 40.4618
44.0500 32.1102
44.1000 49.8994
44.1500 39.0702
44.2000 56.2997
44.2500 56.6419
44.3000 77.8788
44.3500 85.3703
44.4000 139.0708
44.4500 363.9657
44.5000 1207.0532
44.5500 1802.4318
44.6000 1844.6155
44.6500 1022.6456
44.7000 251.6035
44.7500 88.8740
44.8000 70.0504
44.8500 57.6528
44.9000 44.2237
44.9500 50.8111
45.0000 32.7903
45.0500 38.9166
45.1000 45.0589
45.1500 51.2416
45.2000 35.0201
45.2500 28.2630
45.3000 27.0194
45.3500 32.2172
45.4000 32.1268
45.4500 32.4014
45.5000 37.9811
45.5500 33.8329
45.6000 30.8753
45.6500 36.1251
45.7000 35.3690
45.7500 26.4417
45.8000 25.2048
45.8500 39.2651
45.9000 39.9357
45.9500 37.7356
46.0000 35.9118
46.0500 40.8132
46.1000 38.4230
46.1500 34.8510
46.2000 31.2257
46.2500 25.6830
46.3000 19.7874
46.3500 44.8191
46.4000 34.6250
46.4500 50.4642
46.5000 24.5853
46.5500 32.3108
46.6000 30.2986
46.6500 42.3736
46.7000 32.8152
46.7500 40.5812
46.8000 44.0965
46.8500 33.7078
46.9000 49.2605
46.9500 27.4622
47.0000 39.4329
47.0500 32.8084
47.1000 31.3788
47.1500 31.0158
47.2000 36.8521
47.2500 35.4231
47.3000 41.2930
47.3500 27.6444
47.4000 27.6751
47.4500 30.5445
47.5000 38.0393
47.5500 33.8807
47.6000 21.6314
47.6500 35.0161
47.7000 29.8380
47.7500 38.1761
47.8000 32.3377
47.8500 44.7662
47.9000 20.4439
47.9500 24.0516
48.0000 41.5349
48.0500 34.6060
48.1000 42.5298
48.1500 44.2990
48.2000 33.1329
48.2500 35.8055
48.3000 37.3676
48.3500 35.0923
48.4000 46.3954
48.4500 34.1682
48.5000 37.6426
48.5500 22.5027
48.6000 35.7727
48.6500 36.7579
48.7000 40.5003
48.7500 30.0663
48.8000 26.9404
48.8500 32.1592
48.9000 34.0920
48.9500 23.9242
49.0000 37.7292
49.0500 27.6150
49.1000 35.2827
49.1500 35.6353
49.2000 25.4112
49.2500 31.4784
49.3000 36.5529
49.3500 31.1698
49.4000 37.5310
49.4500 29.3331
49.5000 33.4600
49.5500 32.4249
49.6000 33.9736
49.6500 28.5264
49.7000 37.1278
49.7500 29.7649
49.8000 32.4365
49.8500 31.9243
49.9000 23.5287
49.9500 37.6173
50.0000 35.3171
50.0500 36.0773
50.1000 26.7853
50.1500 35.9585
50.2000 25.3886
50.2500 36.0658
50.3000 25.6119
50.3500 32.4784
50.4000 30.4100
50.4500 23.9724
50.5000 36.9127
50.5500 31.0935
50.6000 32.8801
50.6500 32.5259
50.7000 27.2770
50.7500 36.5218
50.8000 31.2371
50.8500 40.7306
50.9000 23.1427
50.9500 26.7945
51.0000 41.2221
51.0500 27.6125
51.1000 35.0118
51.1500 27.1553
51.2000 25.6464
51.2500 41.7218
51.3000 26.5883
51.3500 33.1464
51.4000 40.8406
51.4500 42.1806
51.5000 21.7511
51.5500 25.2994
51.6000 37.2137
51.6500 35.8849
51.7000 32.3595
51.7500 33.5686
51.8000 29.1260
51.8500 43.0031
51.9000 24.6882
51.9500 36.5921
52.0000 42.7987
52.0500 36.6625
52.1000 22.8346
52.1500 37.7661
52.2000 30.7516
52.2500 28.7780
52.3000 31.7260
52.3500 20.6266
52.4000 25.7990
52.4500 43.6777
52.5000 43.4859
52.5500 34.1817
52.6000 37.5789
