#Collected Data-76
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 35.9534
40.0500 49.3036
40.1000 29.3510
40.1500 19.4918
40.2000 40.1044
40.2500 37.7786
40.3000 43.2514
40.3500 47.9477
40.4000 42.8697
40.4500 31.3926
40.5000 38.5006
40.5500 38.5652
40.6000 42.9458
40.6500 32.4879
40.7000 45.4255
40.7500 38.8654
40.8000 43.8990
40.8500 43.2753
40.9000 24.9307
40.9500 33.5764
41.0000 43.2525
41.0500 53.7805
41.1000 30.3844
41.1500 41.8174
41.2000 42.6187
41.2500 36.5769
41.3000 34.9481
41.3500 35.1574
41.4000 30.5596
41.4500 38.5239
41.5000 36.0489
41.5500 38.4193
41.6000 29.5316
41.6500 31.7821
41.7000 31.6532
41.7500 41.5305
41.8000 39.8351
41.8500 38.3954
41.9000 31.3759
41.9500 28.2577
42.0000 37.9984
42.0500 29.8663
42.1000 39.3122
42.1500 30.8236
42.2000 34.4917
42.2500 26.7828
42.3000 41.7582
42.3500 41.4468
42.4000 29.0013
42.4500 32.7547
42.5000 41.7816
42.5500 33.7565
42.6000 49.3202
42.6500 34.1417
42.7000 29.5650
42.7500 45.3565
42.8000 33.7901
42.8500 37.7794
42.9000 40.2087
42.9500 35.9351
43.0000 34.4615
43.0500 30.1410
43.1000 29.9336
43.1500 40.9904
43.2000 46.4895
43.2500 28.6286
43.3000 33.2123
43.3500 33.3570
43.4000 35.9536
43.4500 35.7296
43.5000 37.5791
43.5500 39.5269
43.6000 35.8882
43.6500 43.5560
43.7000 47.5850
43.7500 34.7925
43.8000 41.2790
43.8500 45.0038
43.9000 44.5060
43.9500 44.6922
44.0000 43.5094
44.0500 43.8252
44.1000 46.2304
44.1500 54.5537
44.2000 56.4172
44.2500 72.0402
44.3000 74.7581
44.3500 107.4411
44.4000 196.0956
44.4500 388.1176
44.5000 933.6332
44.5500 1535.3569
44.6000 1805.8506
44.6500 1332.3624
44.7000 695.8348
44.7500 299.9368
44.8000 153.4829
44.8500 104.7662
44.9000 63.6463
44.9500 52.3047
45.0000 63.0349
45.0500 54.2844
45.1000 41.4708
45.1500 49.9978
45.2000 31.9184
45.2500 33.9643
45.3000 42.6439
45.3500 30.4026
45.4000 35.8088
45.4500 31.4839
45.5000 24.9257
45.5500 35.6105
45.6000 33.1593
45.6500 32.7227
45.7000 29.2811
45.7500 28.9902
45.8000 35.1032
45.8500 41.5432
45.9000 37.2482
45.9500 47.2041
46.0000 29.7113
46.0500 27.1491
46.1000 30.9123
46.1500 54.4322
46.2000 30.7181
46.2500 38.6025
46.3000 35.1552
46.3500 21.0294
46.4000 20.2039
46.4500 38.3328
46.5000 24.7301
46.5500 25.5284
46.6000 24.4974
46.6500 35.4523
46.7000 35.0095
46.7500 28.0100
46.8000 23.1775
46.8500 31.7144
46.9000 36.1548
46.9500 36.7447
47.0000 33.9529
47.0500 30.5810
47.1000 38.4029
47.1500 34.3291
47.2000 27.0902
47.2500 33.5909
47.3000 33.4702
47.3500 26.9467
47.4000 29.0786
47.4500 37.3651
47.5000 24.3114
47.5500 33.4045
47.6000 49.4399
47.6500 38.2053
47.7000 35.7026
47.7500 34.7815
47.8000 42.1992
47.8500 24.1757
47.9000 33.3117
47.9500 37.0695
48.0000 30.1618
48.0500 31.1592
48.1000 31.0074
48.1500 30.9875
48.2000 41.1467
48.2500 44.0820
48.3000 27.3278
48.3500 25.1238
48.4000 25.5835
48.4500 35.6291
48.5000 30.2138
48.5500 30.1269
48.6000 37.1690
48.6500 37.5491
48.7000 30.3080
48.7500 36.2010
48.8000 36.7494
48.8500 38.5004
48.9000 22.4033
48.9500 21.8485
49.0000 29.7056
49.0500 34.5606
49.1000 33.8712
49.1500 31.7099
49.2000 33.0921
49.2500 36.3854
49.3000 23.8398
49.3500 34.8406
49.4000 34.3508
49.4500 24.0900
49.5000 36.3527
49.5500 33.6891
49.6000 31.6449
49.6500 37.5174
49.7000 30.4201
49.7500 27.4650
49.8000 26.6867
49.8500 24.8483
49.9000 37.2210
49.9500 25.0773
50.0000 18.4361
50.0500 33.1636
50.1000 32.9176
50.1500 41.1764
50.2000 35.5821
50.2500 32.5983
50.3000 41.0388
50.3500 48.7310
50.4000 34.1577
50.4500 35.7899
50.5000 39.5793
50.5500 37.8482
50.6000 27.8029
50.6500 29.3678
50.7000 41.4553
50.7500 52.6161
50.8000 35.8396
50.8500 35.7346
50.9000 28.0737
50.9500 35.0516
51.0000 35.7444
51.0500 30.0050
51.1000 22.9840
51.1500 35.6693
51.2000 35.5324
51.2500 35.5497
51.3000 19.1604
51.3500 22.7842
51.4000 33.6770
51.4500 27.9124
51.5000 26.5908
51.5500 28.3835
51.6000 35.5099
51.6500 32.0566
51.7000 42.6384
51.7500 38.1596
51.8000 26.1248
51.8500 28.5612
51.9000 24.9543
51.9500 32.1656
52.0000 28.0354
52.0500 32.5576
52.1000 25.9237
52.1500 22.2608
52.2000 18.3813
52.2500 31.8822
52.3000 23.0473
52.3500 35.9973
52.4000 33.9030
52.4500 34.6542
52.5000 31.3164
52.5500 25.4413
52.6000 34.2617
52.6500 38.6472
52.7000 32.2549
52.7500 31.9038
52.8000 32.2016
52.8500 38.7738
52.9000 22.0230
52.9500 17.4382
53.0000 27.1595
53.0500 28.5527
53.1000 30.2704
53.1500 33.3825
53.2000 28.4977
53.2500 30.6060
53.3000 23.6575
