#Collected Data-20
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 0.0000
40.0100 0.0000
40.0200 0.0000
40.0300 0.0000
40.0400 0.9330
40.0500 0.0759
40.0600 0.0000
40.0700 0.0000
40.0800 0.0000
40.0900 0.0000
40.1000 0.4870
40.1100 0.5046
40.1200 1.0093
40.1300 0.0000
40.1400 0.0000
40.1500 0.0000
40.1600 0.0000
40.1700 0.1458
40.1800 0.8140
40.1900 0.0000
40.2000 0.0000
40.2100 0.0000
40.2200 0.0000
40.2300 0.0000
40.2400 0.0000
40.2500 0.0000
40.2600 0.0000
40.2700 0.0000
40.2800 0.0000
40.2900 0.0000
40.3000 0.0000
40.3100 0.0000
40.3200 0.0000
40.3300 0.0000
40.3400 0.0000
40.3500 0.8965
40.3600 0.1570
40.3700 3.0011
40.3800 1.0135
40.3900 0.9772
40.4000 0.3221
40.4100 1.6144
40.4200 1.0709
40.4300 1.0382
40.4400 0.0000
40.4500 0.9853
40.4600 0.8442
40.4700 0.1051
40.4800 0.0000
40.4900 0.9854
40.5000 0.2873
40.5100 0.7891
40.5200 0.0000
40.5300 1.0200
40.5400 1.0202
40.5500 0.0000
40.5600 0.0000
40.5700 0.0000
40.5800 0.0000
40.5900 0.0000
40.6000 0.0000
40.6100 0.9481
40.6200 2.3822
40.6300 0.6402
40.6400 0.9867
40.6500 0.0000
40.6600 1.7612
40.6700 0.2249
40.6800 0.0000
40.6900 0.0000
40.7000 0.0000
40.7100 0.0000
40.7200 0.0000
40.7300 0.0000
40.7400 0.0000
40.7500 0.0000
40.7600 0.0000
40.7700 0.0000
40.7800 0.0000
40.7900 0.9700
40.8000 0.0000
40.8100 0.0000
40.8200 0.0000
40.8300 0.0000
40.8400 0.0000
40.8500 0.0000
40.8600 1.0124
40.8700 0.9575
40.8800 0.0000
40.8900 0.0000
40.9000 0.0000
40.9100 0.0000
40.9200 0.0000
40.9300 0.0000
40.9400 0.0000
40.9500 0.0000
40.9600 0.0000
40.9700 0.0000
40.9800 0.0000
40.9900 0.0000
41.0000 0.0000
41.0100 0.0000
41.0200 0.0000
41.0300 0.0000
41.0400 0.3601
41.0500 0.6285
41.0600 0.0000
41.0700 0.0000
41.0800 0.0000
41.0900 0.0000
41.1000 0.9161
41.1100 0.0683
41.1200 0.1208
41.1300 1.1101
41.1400 1.8081
41.1500 1.0402
41.1600 0.0000
41.1700 0.5711
41.1800 0.3947
41.1900 0.9758
41.2000 0.8671
41.2100 0.1244
41.2200 0.0000
41.2300 0.0000
41.2400 0.0000
41.2500 0.0000
41.2600 0.0000
41.2700 0.0000
41.2800 1.9522
41.2900 0.0000
41.3000 0.0000
41.3100 0.0000
41.3200 0.0000
41.3300 0.0000
41.3400 0.1914
41.3500 0.7848
41.3600 0.0000
41.3700 0.0000
41.3800 0.0000
41.3900 0.9457
41.4000 0.0000
41.4100 0.0000
41.4200 0.0000
41.4300 0.0000
41.4400 0.0000
41.4500 0.0000
41.4600 0.3244
41.4700 1.6695
41.4800 0.0000
41.4900 1.0304
41.5000 0.0000
41.5100 0.7704
41.5200 0.1917
41.5300 1.9376
41.5400 0.0102
41.5500 0.0000
41.5600 0.2619
41.5700 0.6984
41.5800 0.4628
41.5900 2.1337
41.6000 1.1306
41.6100 0.3514
41.6200 0.0000
41.6300 0.3282
41.6400 1.0031
41.6500 0.6382
41.6600 0.0000
41.6700 0.0000
41.6800 0.0000
41.6900 0.0000
41.7000 0.0000
41.7100 1.1712
41.7200 0.9615
41.7300 0.0000
41.7400 0.0000
41.7500 1.0306
41.7600 0.0000
41.7700 0.0000
41.7800 0.0000
41.7900 1.3099
41.8000 3.3101
41.8100 0.4625
41.8200 1.9470
41.8300 0.0000
41.8400 0.0000
41.8500 0.0101
41.8600 1.9888
41.8700 0.1943
41.8800 0.7822
41.8900 0.3801
41.9000 0.6003
41.9100 0.0000
41.9200 0.0000
41.9300 0.0000
41.9400 0.0000
41.9500 0.0000
41.9600 0.0484
41.9700 2.0913
41.9800 0.9250
41.9900 0.0000
42.0000 0.0000
42.0100 0.9779
42.0200 0.0000
42.0300 0.0000
42.0400 0.0000
42.0500 0.0000
42.0600 0.0000
42.0700 0.9646
42.0800 0.1788
42.0900 0.8077
42.1000 0.0000
42.1100 0.4811
42.1200 1.6255
42.1300 0.0000
42.1400 0.0000
42.1500 0.9894
42.1600 0.0000
42.1700 0.0000
42.1800 0.0000
42.1900 0.0000
42.2000 0.3117
42.2100 0.6812
42.2200 0.4852
42.2300 1.0770
42.2400 1.1149
42.2500 0.3176
42.2600 0.0000
42.2700 0.0000
42.2800 0.0000
42.2900 0.0000
42.3000 0.0000
42.3100 0.0000
42.3200 0.0000
42.3300 0.0000
42.3400 0.6493
42.3500 1.8625
42.3600 0.5515
42.3700 0.0000
42.3800 0.0000
42.3900 0.0000
42.4000 0.0000
42.4100 0.0000
42.4200 0.0000
42.4300 0.0000
42.4400 0.0000
42.4500 0.0000
42.4600 1.0347
42.4700 0.0000
42.4800 0.0000
42.4900 0.0000
42.5000 0.0000
42.5100 0.0000
42.5200 0.0000
42.5300 0.0000
42.5400 0.0000
42.5500 0.0000
42.5600 0.0000
42.5700 0.0000
42.5800 0.0000
42.5900 0.0000
42.6000 0.0000
42.6100 0.0000
42.6200 0.9646
42.6300 0.0000
42.6400 0.0000
42.6500 1.0089
42.6600 1.9929
42.6700 0.0000
42.6800 0.0000
42.6900 0.0000
42.7000 0.0000
42.7100 0.0000
42.7200 0.0000
42.7300 0.0000
42.7400 0.0000
42.7500 1.0395
42.7600 1.0258
42.7700 0.0000
42.7800 0.0000
42.7900 0.9150
42.8000 0.1210
42.8100 0.9520
42.8200 0.0000
42.8300 0.0000
42.8400 0.0000
42.8500 0.0000
42.8600 0.0000
42.8700 0.0000
42.8800 0.0000
42.8900 0.0000
42.9000 0.0000
42.9100 0.0000
42.9200 0.0000
42.9300 0.0000
42.9400 0.0000
42.9500 0.0000
42.9600 0.0000
42.9700 0.0000
42.9800 0.0000
42.9900 0.0000
43.0000 0.8372
43.0100 0.1301
43.0200 1.0026
43.0300 0.9092
43.0400 0.9526
43.0500 0.0000
43.0600 0.9717
43.0700 0.0000
43.0800 1.0364
43.0900 0.0000
43.1000 0.0000
43.1100 0.9045
43.1200 0.0962
43.1300 0.0000
43.1400 0.0000
43.1500 0.0000
43.1600 0.0000
43.1700 1.0041
43.1800 1.1313
43.1900 1.6703
43.2000 1.0779
43.2100 0.2388
43.2200 0.0000
43.2300 3.1146
43.2400 0.0000
43.2500 0.0000
43.2600 0.0000
43.2700 0.0000
43.2800 0.0000
43.2900 0.6025
43.3000 1.1118
43.3100 0.3103
43.3200 0.0000
43.3300 0.9785
43.3400 1.0143
43.3500 0.0000
43.3600 0.0000
43.3700 0.0000
43.3800 0.0000
43.3900 0.5313
43.4000 0.4402
43.4100 0.0000
43.4200 0.0000
43.4300 0.0000
43.4400 0.0000
43.4500 0.0000
43.4600 0.0000
43.4700 0.9751
43.4800 0.0000
43.4900 0.0000
43.5000 0.0000
43.5100 0.0000
43.5200 0.0000
43.5300 0.0000
43.5400 0.0000
43.5500 0.0000
43.5600 0.0000
43.5700 0.9580
43.5800 0.3411
43.5900 0.6611
43.6000 0.5553
43.6100 0.4941
43.6200 0.0000
43.6300 0.0000
43.6400 0.0000
43.6500 0.0000
43.6600 0.0000
43.6700 0.0000
43.6800 0.0000
43.6900 0.0000
43.7000 0.9771
43.7100 0.0000
43.7200 0.7441
43.7300 0.0000
43.7400 0.0000
43.7500 0.0000
43.7600 0.0000
43.7700 0.9950
43.7800 0.0000
43.7900 0.0000
43.8000 0.0000
43.8100 0.4883
43.8200 0.4665
43.8300 0.6900
43.8400 2.1820
43.8500 0.2042
43.8600 0.0000
43.8700 0.0000
43.8800 0.0000
43.8900 0.0000
43.9000 0.0000
43.9100 0.0000
43.9200 0.5215
43.9300 0.4270
43.9400 0.0000
43.9500 0.0000
43.9600 0.0000
43.9700 0.0000
43.9800 0.0000
43.9900 0.0000
44.0000 0.0000
44.0100 0.0000
44.0200 0.0000
44.0300 1.0402
44.0400 0.0000
44.0500 0.0000
44.0600 0.0000
44.0700 0.0000
44.0800 0.0000
44.0900 0.0000
44.1000 1.0125
44.1100 0.0000
44.1200 0.0000
44.1300 0.9682
44.1400 0.0000
44.1500 0.0000
44.1600 0.0000
44.1700 0.0000
44.1800 0.0000
44.1900 1.0043
44.2000 0.0000
44.2100 0.0000
44.2200 0.0000
44.2300 0.0000
44.2400 0.0000
44.2500 0.0000
44.2600 0.0000
44.2700 0.9391
44.2800 0.0000
44.2900 0.0000
44.3000 0.0000
44.3100 0.0000
44.3200 0.0000
44.3300 0.0000
44.3400 0.0000
44.3500 0.0000
44.3600 0.7453
44.3700 0.3147
44.3800 1.7922
44.3900 1.1329
44.4000 0.0000
44.4100 0.0000
44.4200 0.0000
44.4300 0.0000
44.4400 0.0000
44.4500 0.0000
44.4600 0.0000
44.4700 0.0000
44.4800 0.0000
44.4900 0.0000
44.5000 0.0000
44.5100 0.0000
44.5200 0.0000
44.5300 0.0000
44.5400 0.0000
44.5500 2.0256
44.5600 0.0000
44.5700 0.9999
44.5800 0.0000
44.5900 1.1198
44.6000 0.0000
44.6100 2.0724
44.6200 0.3143
44.6300 1.6825
44.6400 0.0000
44.6500 0.0000
44.6600 0.0000
44.6700 0.0000
44.6800 0.0000
44.6900 0.0000
44.7000 0.0000
44.7100 0.0000
44.7200 0.1003
44.7300 0.8893
44.7400 0.0000
44.7500 0.0000
44.7600 0.0000
44.7700 0.0000
44.7800 0.6511
44.7900 0.3240
44.8000 0.0000
44.8100 0.0000
44.8200 0.0000
44.8300 0.0000
44.8400 0.0000
44.8500 0.0000
44.8600 0.0000
44.8700 0.5512
44.8800 0.5144
44.8900 0.0000
44.9000 0.0000
44.9100 0.0000
44.9200 0.9873
44.9300 0.0000
44.9400 0.0000
44.9500 0.0000
44.9600 0.0000
44.9700 0.0000
44.9800 0.0000
44.9900 0.0000
45.0000 1.0202
45.0100 0.8055
45.0200 0.1548
45.0300 0.9880
45.0400 0.0000
45.0500 0.0000
45.0600 0.0000
45.0700 0.0000
45.0800 0.0000
45.0900 0.0000
45.1000 0.6635
45.1100 0.3005
45.1200 0.0000
45.1300 0.0000
45.1400 0.0000
45.1500 0.1479
45.1600 0.7747
45.1700 0.0000
45.1800 0.0000
45.1900 0.0000
45.2000 0.0000
45.2100 0.0000
45.2200 0.0000
45.2300 0.0000
45.2400 0.9646
45.2500 0.0000
45.2600 0.0000
45.2700 0.0000
45.2800 0.0000
45.2900 0.0000
45.3000 0.9968
45.3100 0.0000
45.3200 0.0000
45.3300 0.0000
45.3400 1.0110
45.3500 1.0753
45.3600 0.0000
45.3700 0.0000
45.3800 0.0000
45.3900 0.4311
45.4000 0.5815
45.4100 0.0000
45.4200 0.0000
45.4300 1.0714
45.4400 0.0000
45.4500 0.0000
45.4600 0.0000
45.4700 0.0000
45.4800 0.0000
45.4900 0.0000
45.5000 1.0922
45.5100 0.0000
45.5200 1.0344
45.5300 0.0000
45.5400 0.0000
45.5500 0.0000
45.5600 0.0000
45.5700 0.0000
45.5800 0.0000
45.5900 0.0000
45.6000 0.0000
45.6100 0.0000
45.6200 0.0000
45.6300 0.0000
45.6400 0.0000
45.6500 0.0000
45.6600 1.0252
45.6700 0.9879
45.6800 0.0000
45.6900 0.0000
45.7000 0.0000
45.7100 0.0000
45.7200 0.0000
45.7300 0.0000
45.7400 0.0000
45.7500 0.0000
45.7600 0.0000
45.7700 1.0349
45.7800 0.0000
45.7900 1.1792
45.8000 0.7603
45.8100 0.0000
45.8200 0.0000
45.8300 0.0000
45.8400 1.0378
45.8500 0.0000
45.8600 0.0000
45.8700 0.0000
45.8800 0.0000
45.8900 0.9900
45.9000 0.0000
45.9100 0.0000
45.9200 0.0000
45.9300 0.0000
45.9400 0.0000
45.9500 0.0000
45.9600 0.0000
45.9700 0.0000
45.9800 0.0000
45.9900 0.9774
46.0000 0.0000
46.0100 0.5368
46.0200 2.3838
46.0300 0.9688
46.0400 0.0000
46.0500 0.0000
46.0600 0.0000
46.0700 0.9709
46.0800 0.0000
46.0900 0.0000
46.1000 0.0000
46.1100 0.0000
46.1200 0.0000
46.1300 0.0000
46.1400 0.0000
46.1500 0.0000
46.1600 0.7149
46.1700 0.3151
46.1800 0.0000
46.1900 1.0583
46.2000 2.0110
46.2100 0.9033
46.2200 0.5133
46.2300 1.4571
46.2400 0.0000
46.2500 0.0000
46.2600 1.2566
46.2700 0.7128
46.2800 0.0000
46.2900 0.0000
46.3000 0.0000
46.3100 0.0000
46.3200 0.0000
46.3300 0.0000
46.3400 0.0000
46.3500 1.9555
46.3600 0.0000
46.3700 0.0000
46.3800 0.0000
46.3900 0.8833
46.4000 0.1376
46.4100 0.9851
46.4200 0.4571
46.4300 2.8621
46.4400 0.7432
46.4500 0.0000
46.4600 0.0000
46.4700 0.0000
46.4800 0.0000
46.4900 0.0000
46.5000 0.0000
46.5100 0.0000
46.5200 0.0000
46.5300 0.0000
46.5400 0.0000
46.5500 0.0000
46.5600 0.0000
46.5700 0.0000
46.5800 0.0000
46.5900 0.0000
46.6000 0.0000
46.6100 0.0000
46.6200 0.0000
46.6300 0.0000
46.6400 0.0000
46.6500 0.0000
46.6600 0.0000
46.6700 0.0000
46.6800 0.0000
46.6900 0.0000
46.7000 0.0000
46.7100 0.0000
46.7200 0.0000
46.7300 0.0000
46.7400 0.0000
46.7500 0.0000
46.7600 0.0000
46.7700 0.0000
46.7800 0.0000
46.7900 0.0000
46.8000 0.0000
46.8100 0.0000
46.8200 0.0000
46.8300 0.0000
