#Collected Data-235
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 7.8954
40.0100 4.9881
40.0200 4.0940
40.0300 4.0949
40.0400 4.9538
40.0500 5.2391
40.0600 5.0859
40.0700 4.6393
40.0800 7.9004
40.0900 6.7430
40.1000 5.4426
40.1100 5.4600
40.1200 5.6707
40.1300 3.6990
40.1400 4.5113
40.1500 3.4406
40.1600 7.4326
40.1700 4.1042
40.1800 5.9975
40.1900 9.1675
40.2000 7.3857
40.2100 4.3294
40.2200 3.4488
40.2300 5.7922
40.2400 5.7184
40.2500 4.4118
40.2600 5.2541
40.2700 3.2191
40.2800 5.3237
40.2900 4.5615
40.3000 5.2276
40.3100 4.2204
40.3200 1.6564
40.3300 7.4991
40.3400 5.6426
40.3500 4.4645
40.3600 0.1473
40.3700 2.1973
40.3800 9.3389
40.3900 6.1143
40.4000 4.9150
40.4100 3.8941
40.4200 4.3771
40.4300 3.5317
40.4400 4.6904
40.4500 5.0895
40.4600 6.7566
40.4700 9.6213
40.4800 2.0566
40.4900 9.6029
40.5000 7.1552
40.5100 4.2665
40.5200 5.7034
40.5300 9.7403
40.5400 6.8618
40.5500 8.1549
40.5600 5.7296
40.5700 7.8053
40.5800 5.2233
40.5900 3.6808
40.6000 7.2545
40.6100 3.6067
40.6200 6.8270
40.6300 5.5844
40.6400 7.4088
40.6500 7.3887
40.6600 3.2845
40.6700 0.9041
40.6800 5.2126
40.6900 4.3365
40.7000 7.9705
40.7100 6.4345
40.7200 6.9461
40.7300 4.0877
40.7400 1.0776
40.7500 4.0403
40.7600 3.0452
40.7700 8.3381
40.7800 6.6881
40.7900 6.2217
40.8000 3.0590
40.8100 5.0740
40.8200 5.7651
40.8300 6.1840
40.8400 3.5123
40.8500 8.5238
40.8600 4.2881
40.8700 2.0576
40.8800 2.9680
40.8900 3.1645
40.9000 7.0734
40.9100 3.0338
40.9200 4.2741
40.9300 6.6881
40.9400 4.3774
40.9500 5.0254
40.9600 4.7222
40.9700 3.4418
40.9800 5.4729
40.9900 5.5686
41.0000 8.2996
41.0100 5.0498
41.0200 3.9626
41.0300 7.7233
41.0400 6.8997
41.0500 3.6613
41.0600 5.9819
41.0700 5.3177
41.0800 6.9139
41.0900 4.6230
41.1000 4.3029
41.1100 8.0684
41.1200 4.1532
41.1300 6.1690
41.1400 3.6985
41.1500 4.0715
41.1600 5.3528
41.1700 5.1731
41.1800 6.0275
41.1900 2.2993
41.2000 6.1512
41.2100 3.5914
41.2200 6.7340
41.2300 4.4554
41.2400 4.9818
41.2500 4.2975
41.2600 4.2586
41.2700 3.6775
41.2800 4.0006
41.2900 3.7285
41.3000 7.0294
41.3100 8.5567
41.3200 3.0951
41.3300 7.4822
41.3400 6.9506
41.3500 7.3489
41.3600 7.6272
41.3700 4.2066
41.3800 7.9046
41.3900 5.8837
41.4000 5.8827
41.4100 6.2995
41.4200 7.3454
41.4300 2.2541
41.4400 4.2132
41.4500 4.5091
41.4600 7.4216
41.4700 2.1127
41.4800 4.4819
41.4900 6.3626
41.5000 4.1113
41.5100 7.7682
41.5200 3.5538
41.5300 3.3681
41.5400 5.0994
41.5500 7.8050
41.5600 2.6115
41.5700 2.5440
41.5800 10.2536
41.5900 8.0940
41.6000 8.3004
41.6100 7.0872
41.6200 8.7134
41.6300 5.7411
41.6400 1.3256
41.6500 7.4148
41.6600 5.0250
41.6700 3.4784
41.6800 4.2075
41.6900 3.2836
41.7000 3.8488
41.7100 2.9669
41.7200 10.3590
41.7300 6.1782
41.7400 4.0341
41.7500 3.2819
41.7600 8.5422
41.7700 3.3827
41.7800 4.0307
41.7900 5.1398
41.8000 5.0925
41.8100 3.4374
41.8200 3.4217
41.8300 3.4187
41.8400 7.1204
41.8500 6.3064
41.8600 2.9640
41.8700 1.1828
41.8800 2.3709
41.8900 3.8238
41.9000 6.4989
41.9100 6.3198
41.9200 5.8656
41.9300 9.4704
41.9400 10.9435
41.9500 5.4800
41.9600 3.3711
41.9700 5.4837
41.9800 6.3764
41.9900 7.7165
42.0000 3.6888
42.0100 5.2703
42.0200 8.2670
42.0300 9.7469
42.0400 5.6912
42.0500 3.1618
42.0600 6.3025
42.0700 4.2708
42.0800 5.9680
42.0900 5.3029
42.1000 5.8937
42.1100 4.3420
42.1200 4.1697
42.1300 4.9621
42.1400 7.0494
42.1500 5.2819
42.1600 2.2420
42.1700 9.5807
42.1800 4.2463
42.1900 4.3286
42.2000 3.6459
42.2100 6.0220
42.2200 2.0466
42.2300 6.2479
42.2400 6.8852
42.2500 3.2214
42.2600 1.7198
42.2700 3.1931
42.2800 6.3709
42.2900 5.7499
42.3000 2.8887
42.3100 8.6720
42.3200 4.0372
42.3300 6.1568
42.3400 8.0396
42.3500 2.5266
42.3600 6.9195
42.3700 5.8195
42.3800 5.2715
42.3900 7.2913
42.4000 6.6624
42.4100 3.6691
42.4200 1.1709
42.4300 4.1942
42.4400 4.6228
42.4500 1.8335
42.4600 4.0081
42.4700 6.8845
42.4800 15.6762
42.4900 5.4220
42.5000 8.1108
42.5100 4.6383
42.5200 9.5448
42.5300 4.4706
42.5400 5.0109
42.5500 4.0851
42.5600 8.6908
42.5700 6.1692
42.5800 5.4589
42.5900 9.1767
42.6000 6.0286
42.6100 5.5575
42.6200 9.0646
42.6300 4.0450
42.6400 6.3013
42.6500 4.7070
42.6600 5.1826
42.6700 4.0149
42.6800 8.1226
42.6900 3.4829
42.7000 4.1726
42.7100 9.9315
42.7200 3.9358
42.7300 5.2651
42.7400 5.0806
42.7500 3.8202
42.7600 3.2796
42.7700 5.1212
42.7800 6.9193
42.7900 5.1549
42.8000 7.1852
42.8100 4.1643
42.8200 7.5679
42.8300 6.5640
42.8400 7.0865
42.8500 5.2273
42.8600 5.4449
42.8700 9.2818
42.8800 3.2844
42.8900 7.3204
42.9000 5.2303
42.9100 2.2109
42.9200 1.9732
42.9300 1.6712
42.9400 2.7291
42.9500 2.4654
42.9600 4.6807
42.9700 8.6990
42.9800 6.9296
42.9900 3.3434
43.0000 4.7201
43.0100 5.3730
43.0200 4.3350
43.0300 9.8521
43.0400 1.7629
43.0500 2.6742
43.0600 5.9600
43.0700 6.2661
43.0800 3.2110
43.0900 4.4226
43.1000 5.4470
43.1100 5.4135
43.1200 6.2606
43.1300 8.9712
43.1400 5.7758
43.1500 8.3131
43.1600 4.5211
43.1700 5.2431
43.1800 4.2951
43.1900 8.0685
43.2000 6.1796
43.2100 4.5649
43.2200 7.7269
43.2300 3.2019
43.2400 3.9203
43.2500 2.7005
43.2600 6.7195
43.2700 3.4742
43.2800 6.4440
43.2900 4.7867
43.3000 4.6077
43.3100 4.3584
43.3200 5.7131
43.3300 2.8393
43.3400 1.3632
43.3500 8.9675
43.3600 5.0701
43.3700 4.2447
43.3800 4.1711
43.3900 7.2067
43.4000 5.3716
43.4100 4.8909
43.4200 5.9457
43.4300 3.5435
43.4400 5.3042
43.4500 7.5147
43.4600 6.9519
43.4700 8.4872
43.4800 6.9126
