#Collected Data-7
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 21.4563
40.0100 18.3129
40.0200 17.5600
40.0300 16.4494
40.0400 23.7682
40.0500 16.9844
40.0600 24.1899
40.0700 17.2716
40.0800 19.8612
40.0900 21.8047
40.1000 21.9213
40.1100 21.6550
40.1200 19.3597
40.1300 17.1114
40.1400 18.3337
40.1500 14.0764
40.1600 15.1451
40.1700 12.2134
40.1800 19.2000
40.1900 16.0320
40.2000 16.5422
40.2100 16.1705
40.2200 16.2530
40.2300 18.1022
40.2400 17.9273
40.2500 17.8986
40.2600 19.3517
40.2700 16.8910
40.2800 21.0327
40.2900 21.7295
40.3000 17.5499
40.3100 19.8304
40.3200 15.2897
40.3300 25.7617
40.3400 19.9010
40.3500 19.3220
40.3600 15.3426
40.3700 21.6205
40.3800 16.9212
40.3900 14.5796
40.4000 12.5983
40.4100 10.5109
40.4200 14.7188
40.4300 12.2709
40.4400 12.4054
40.4500 19.7649
40.4600 17.9890
40.4700 19.6051
40.4800 14.5765
40.4900 30.1619
40.5000 13.0288
40.5100 14.4675
40.5200 15.2298
40.5300 11.7196
40.5400 12.4205
40.5500 21.2056
40.5600 11.8831
40.5700 14.9830
40.5800 16.6418
40.5900 22.8031
40.6000 17.6081
40.6100 10.5830
40.6200 15.8482
40.6300 19.2573
40.6400 16.8611
40.6500 23.1528
40.6600 18.2801
40.6700 10.1235
40.6800 16.1417
40.6900 17.9583
40.7000 19.6183
40.7100 10.9671
40.7200 11.1225
40.7300 14.5633
40.7400 12.2820
40.7500 12.3374
40.7600 16.0699
40.7700 6.7198
40.7800 13.7466
40.7900 28.8142
40.8000 18.7002
40.8100 12.7716
40.8200 18.1121
40.8300 15.7319
40.8400 16.3018
40.8500 19.9640
40.8600 15.6790
40.8700 16.2426
40.8800 21.2238
40.8900 26.1065
40.9000 19.7370
40.9100 15.2605
40.9200 14.7753
40.9300 11.7156
40.9400 12.7283
40.9500 12.3366
40.9600 14.8290
40.9700 19.9901
