#Collected Data-40
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 4.2196
40.0100 11.7640
40.0200 8.9527
40.0300 6.3183
40.0400 6.3707
40.0500 5.1414
40.0600 4.2773
40.0700 5.9009
40.0800 4.0125
40.0900 10.0099
40.1000 7.9319
40.1100 7.7623
40.1200 6.2686
40.1300 4.8289
40.1400 5.6625
40.1500 6.3822
40.1600 6.2124
40.1700 9.9633
40.1800 2.4532
40.1900 10.2383
40.2000 7.5937
40.2100 9.8943
40.2200 12.9090
40.2300 6.1546
40.2400 5.0878
40.2500 8.0687
40.2600 9.2866
40.2700 4.4121
40.2800 4.7581
40.2900 6.6755
40.3000 9.2751
40.3100 5.0920
40.3200 7.8646
40.3300 10.5973
40.3400 11.2247
40.3500 11.5142
40.3600 7.7235
40.3700 7.5281
40.3800 8.3312
40.3900 11.1482
40.4000 3.6849
40.4100 8.9192
40.4200 10.0087
40.4300 9.7998
40.4400 13.7572
40.4500 9.4915
40.4600 12.6413
40.4700 13.8707
40.4800 8.1877
40.4900 9.5298
40.5000 9.0736
40.5100 7.6909
40.5200 12.6001
40.5300 9.7159
40.5400 13.5930
40.5500 8.3434
40.5600 11.4691
40.5700 11.1354
40.5800 6.5040
40.5900 13.4412
40.6000 8.5026
40.6100 9.7961
40.6200 11.1795
40.6300 10.7392
40.6400 7.5365
40.6500 9.8462
40.6600 14.2545
40.6700 7.1899
40.6800 12.3443
40.6900 9.3068
40.7000 8.2988
40.7100 10.2987
40.7200 10.7543
40.7300 6.9907
40.7400 8.8622
40.7500 10.1764
40.7600 6.7731
40.7700 8.1949
40.7800 7.0987
40.7900 4.2333
40.8000 4.4429
40.8100 4.2038
40.8200 8.2982
40.8300 10.1044
40.8400 3.2721
40.8500 6.0275
40.8600 4.7898
40.8700 4.4226
40.8800 7.2498
40.8900 6.9940
40.9000 9.0376
40.9100 5.9919
40.9200 11.9132
40.9300 9.3252
40.9400 6.3971
40.9500 4.7076
40.9600 7.6406
40.9700 9.7077
40.9800 7.5675
40.9900 15.9619
41.0000 5.4818
41.0100 7.3230
41.0200 8.6107
41.0300 5.7658
41.0400 5.1118
41.0500 6.9945
41.0600 8.3466
41.0700 8.8928
41.0800 0.7316
41.0900 3.5780
41.1000 9.2632
41.1100 3.4008
41.1200 4.1764
41.1300 2.7655
41.1400 10.0398
41.1500 7.6781
41.1600 5.3989
41.1700 5.9859
41.1800 12.2679
41.1900 11.1435
41.2000 9.9239
41.2100 8.4954
41.2200 9.8969
41.2300 6.4389
41.2400 5.3050
41.2500 5.0242
41.2600 8.9229
41.2700 7.8510
41.2800 7.1419
41.2900 9.4808
41.3000 6.4022
41.3100 6.3752
41.3200 3.2939
41.3300 3.2246
41.3400 8.7015
41.3500 6.6854
41.3600 6.9961
41.3700 4.6457
41.3800 6.9939
41.3900 5.1339
41.4000 5.1071
41.4100 8.6595
41.4200 8.6498
41.4300 6.9718
41.4400 4.1529
41.4500 6.0806
41.4600 3.0353
41.4700 6.9219
41.4800 6.0959
41.4900 6.3677
41.5000 5.7673
41.5100 3.8905
41.5200 7.1822
41.5300 13.3655
41.5400 7.1884
41.5500 9.4895
41.5600 5.5472
41.5700 3.8322
41.5800 6.1508
41.5900 7.5970
41.6000 7.7685
41.6100 14.0257
41.6200 3.2202
41.6300 7.6704
41.6400 8.3001
41.6500 9.8964
41.6600 5.3127
41.6700 3.8274
41.6800 5.6562
41.6900 7.1229
41.7000 10.9556
41.7100 7.9071
41.7200 7.8479
41.7300 8.9290
41.7400 10.2542
41.7500 5.6829
41.7600 9.8862
41.7700 7.6080
41.7800 10.4355
41.7900 6.6856
41.8000 7.6679
41.8100 4.1951
41.8200 6.1329
41.8300 6.0900
41.8400 8.8255
41.8500 12.4104
41.8600 8.2379
41.8700 8.5605
41.8800 7.3943
41.8900 10.5773
41.9000 7.8742
41.9100 8.5021
41.9200 7.4915
41.9300 6.3448
41.9400 6.4576
41.9500 2.2514
41.9600 5.6307
41.9700 11.2706
41.9800 7.2139
41.9900 3.7164
42.0000 8.3538
42.0100 3.5344
42.0200 6.9152
42.0300 9.5983
42.0400 9.9375
42.0500 4.7952
42.0600 11.1234
42.0700 12.1989
42.0800 7.0504
42.0900 7.6370
42.1000 6.8099
42.1100 7.3439
42.1200 4.9135
42.1300 6.8732
42.1400 5.4580
42.1500 7.0926
42.1600 5.3838
42.1700 1.8437
42.1800 3.1998
42.1900 4.2446
42.2000 5.2114
42.2100 6.2881
42.2200 5.1728
42.2300 6.2496
42.2400 4.0584
42.2500 7.6593
42.2600 2.0662
42.2700 7.0205
42.2800 4.8333
42.2900 5.1844
42.3000 3.0304
42.3100 4.7430
42.3200 3.9464
42.3300 6.9622
42.3400 7.8486
42.3500 9.8798
42.3600 6.0684
42.3700 8.7967
42.3800 6.2581
42.3900 4.4838
42.4000 4.1307
42.4100 3.1109
42.4200 5.8904
42.4300 5.1920
42.4400 8.8364
42.4500 4.2538
42.4600 8.0570
42.4700 3.6356
42.4800 3.9936
42.4900 7.1087
42.5000 4.7410
42.5100 3.8212
42.5200 5.1289
42.5300 5.3739
42.5400 6.6048
42.5500 5.4760
42.5600 9.8294
42.5700 5.3515
42.5800 8.8423
42.5900 5.6188
42.6000 4.1204
42.6100 6.3833
42.6200 3.9785
42.6300 6.2972
42.6400 8.4960
42.6500 4.7021
42.6600 5.8195
42.6700 7.2908
42.6800 10.9849
42.6900 4.7795
42.7000 4.2464
42.7100 6.8219
42.7200 5.4038
42.7300 5.0734
42.7400 4.5306
42.7500 7.3069
42.7600 9.2599
42.7700 4.5483
42.7800 3.5779
42.7900 7.6410
42.8000 4.5401
42.8100 6.2126
42.8200 8.1825
42.8300 9.3042
42.8400 9.4403
42.8500 13.2020
42.8600 3.2324
42.8700 4.7887
42.8800 3.8710
42.8900 3.3724
42.9000 9.0831
42.9100 3.4228
42.9200 7.5659
42.9300 7.6568
42.9400 2.8638
42.9500 4.1215
42.9600 4.9521
42.9700 5.7672
42.9800 7.1981
42.9900 6.1669
