#Collected Data-46
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 7.0760
40.0100 14.6463
40.0200 10.5175
40.0300 7.9811
40.0400 12.9267
40.0500 11.1626
40.0600 14.1970
40.0700 12.0003
40.0800 11.5803
40.0900 8.1900
40.1000 3.1465
40.1100 9.5964
40.1200 7.3939
40.1300 12.3359
40.1400 10.6058
40.1500 4.1481
40.1600 3.1445
40.1700 4.8477
40.1800 4.5339
40.1900 6.1887
40.2000 8.6617
40.2100 4.8293
40.2200 6.8995
40.2300 6.6419
40.2400 4.9774
40.2500 6.9173
40.2600 8.1918
40.2700 10.9565
40.2800 4.9734
40.2900 2.9306
40.3000 7.0467
40.3100 4.2471
40.3200 7.5877
40.3300 6.6459
40.3400 5.2901
40.3500 6.3662
40.3600 2.3299
40.3700 12.2729
40.3800 8.2750
40.3900 7.3634
40.4000 10.9759
40.4100 5.0715
40.4200 2.8860
40.4300 1.6750
40.4400 4.5070
40.4500 4.4968
40.4600 7.1539
40.4700 1.4103
40.4800 5.0434
40.4900 4.5410
40.5000 7.7474
40.5100 5.7942
40.5200 4.0663
40.5300 3.7903
40.5400 3.0404
40.5500 6.6509
40.5600 8.5366
40.5700 10.3235
40.5800 7.6444
40.5900 9.4689
40.6000 10.4101
40.6100 9.2432
40.6200 8.3474
40.6300 7.4828
40.6400 9.1364
40.6500 12.2407
40.6600 3.8468
40.6700 6.5186
40.6800 9.3914
40.6900 7.4613
40.7000 8.7356
40.7100 9.8650
40.7200 11.0557
40.7300 7.5982
40.7400 5.9175
40.7500 7.4324
40.7600 7.1481
40.7700 5.4434
40.7800 6.2450
40.7900 7.4438
40.8000 9.9879
40.8100 6.5835
40.8200 9.4012
40.8300 7.3909
40.8400 8.5492
40.8500 11.7341
40.8600 11.5011
40.8700 9.4414
40.8800 10.8616
40.8900 12.7941
40.9000 11.0627
40.9100 11.8841
40.9200 10.5018
40.9300 9.5906
40.9400 10.9278
40.9500 4.2582
40.9600 7.4016
40.9700 9.3328
40.9800 10.0237
40.9900 10.7115
41.0000 15.2931
41.0100 9.7666
41.0200 10.3479
41.0300 10.8979
41.0400 8.6555
41.0500 9.5091
41.0600 11.3796
41.0700 10.7848
41.0800 8.7614
41.0900 4.1508
41.1000 6.7511
41.1100 12.6012
41.1200 5.3978
41.1300 7.8338
41.1400 5.0838
41.1500 5.8135
41.1600 4.4039
41.1700 8.4331
41.1800 6.4434
41.1900 9.7307
41.2000 5.5278
41.2100 6.2300
41.2200 4.9746
41.2300 3.2666
41.2400 7.0159
41.2500 6.4573
41.2600 9.8572
41.2700 10.4849
41.2800 18.1948
41.2900 7.7330
41.3000 10.4818
41.3100 4.7524
41.3200 10.0604
41.3300 5.2698
41.3400 4.9183
41.3500 5.2628
41.3600 3.8627
41.3700 7.0286
41.3800 7.1792
41.3900 7.2427
41.4000 7.5895
41.4100 7.8063
41.4200 7.6746
41.4300 5.1534
41.4400 4.9150
41.4500 4.2092
41.4600 11.7527
41.4700 7.9856
41.4800 12.8781
41.4900 3.5718
41.5000 11.5959
41.5100 6.6667
41.5200 11.7578
41.5300 7.6614
41.5400 15.5465
41.5500 5.9273
41.5600 7.6378
41.5700 5.9966
41.5800 5.0333
41.5900 7.2764
41.6000 8.4039
41.6100 5.9253
41.6200 7.8134
41.6300 7.5598
41.6400 4.2743
41.6500 9.1398
41.6600 8.1490
41.6700 9.0121
41.6800 9.7854
41.6900 8.8069
41.7000 5.3040
41.7100 6.8427
41.7200 5.1769
41.7300 3.9962
41.7400 12.1885
41.7500 4.0344
41.7600 1.1245
41.7700 7.5453
41.7800 4.0533
41.7900 6.9865
41.8000 5.4333
41.8100 6.5016
41.8200 5.9560
41.8300 1.6276
41.8400 5.8228
41.8500 9.6218
41.8600 7.1587
41.8700 7.9191
41.8800 3.2588
41.8900 6.6780
41.9000 8.3371
41.9100 4.7675
41.9200 6.4539
41.9300 5.9423
41.9400 6.4145
41.9500 5.0705
41.9600 8.3795
41.9700 4.0893
41.9800 10.8132
41.9900 6.2318
42.0000 6.8790
42.0100 5.2483
42.0200 4.2305
42.0300 15.0960
42.0400 3.0667
42.0500 9.5544
42.0600 15.4693
42.0700 3.7332
42.0800 8.3385
42.0900 6.7849
42.1000 8.0156
42.1100 6.6097
42.1200 4.3848
42.1300 7.5321
42.1400 4.8893
42.1500 2.5607
42.1600 6.0527
42.1700 4.3399
42.1800 7.1469
42.1900 6.6426
42.2000 8.8440
42.2100 6.1864
42.2200 8.1665
42.2300 10.0982
42.2400 8.8629
42.2500 4.7164
42.2600 5.2881
42.2700 9.0050
42.2800 9.3064
42.2900 6.6389
42.3000 7.1504
42.3100 6.8499
42.3200 4.7166
42.3300 5.2465
42.3400 6.3406
42.3500 16.6804
42.3600 4.5691
42.3700 12.0009
42.3800 8.4764
42.3900 14.9072
42.4000 8.9503
42.4100 7.5104
42.4200 6.3013
42.4300 11.0311
42.4400 7.7942
42.4500 8.4938
42.4600 4.9705
42.4700 8.2114
42.4800 7.3780
42.4900 9.8878
42.5000 11.2949
42.5100 5.7618
42.5200 9.1368
42.5300 3.7240
42.5400 4.1596
42.5500 5.2598
42.5600 8.3080
42.5700 4.3786
42.5800 7.0878
42.5900 6.2985
42.6000 8.2395
42.6100 3.3495
42.6200 5.7632
42.6300 4.5224
42.6400 9.4818
42.6500 5.1882
42.6600 9.9585
42.6700 8.0307
42.6800 11.0935
42.6900 3.4209
42.7000 2.8957
42.7100 13.2707
42.7200 6.2572
42.7300 4.8778
42.7400 6.2486
42.7500 5.8378
42.7600 7.5012
42.7700 6.8807
42.7800 4.4678
42.7900 6.4253
42.8000 5.0508
42.8100 11.6496
42.8200 6.0803
42.8300 7.6550
42.8400 8.4232
42.8500 8.6745
42.8600 7.2220
42.8700 7.9393
42.8800 7.1135
42.8900 12.6631
42.9000 8.0166
42.9100 5.1681
42.9200 7.3142
42.9300 6.6956
42.9400 7.4672
42.9500 8.8746
42.9600 5.3233
42.9700 8.6345
42.9800 8.6516
42.9900 4.8114
43.0000 5.1131
43.0100 5.6688
43.0200 3.4420
43.0300 9.3930
43.0400 11.3291
43.0500 7.0060
43.0600 8.0812
43.0700 9.1347
43.0800 7.2077
43.0900 7.8699
43.1000 3.3827
43.1100 3.9587
43.1200 3.2091
43.1300 6.0723
43.1400 5.0840
43.1500 8.8771
43.1600 7.7908
43.1700 12.3447
43.1800 3.1928
43.1900 6.3537
43.2000 6.3028
43.2100 4.1378
43.2200 4.1637
43.2300 6.3107
43.2400 3.0275
43.2500 7.3327
43.2600 6.6018
43.2700 7.7281
43.2800 8.1410
43.2900 9.3223
43.3000 7.1659
43.3100 7.9067
43.3200 9.2689
43.3300 10.4725
43.3400 10.5102
43.3500 7.8019
43.3600 12.2533
43.3700 5.9884
43.3800 6.9332
43.3900 9.0761
43.4000 7.5897
43.4100 9.4153
43.4200 10.1780
43.4300 4.0945
43.4400 13.2163
43.4500 3.9662
43.4600 9.2946
43.4700 2.6461
43.4800 6.5331
43.4900 7.3011
43.5000 4.0847
43.5100 3.7265
43.5200 7.5424
43.5300 5.1228
43.5400 2.4631
43.5500 6.9968
43.5600 4.9569
43.5700 10.9745
43.5800 7.4165
43.5900 4.4378
43.6000 5.7278
43.6100 8.6584
43.6200 4.4464
43.6300 3.2042
43.6400 6.2276
43.6500 6.0527
43.6600 5.2581
43.6700 7.1618
43.6800 7.0442
43.6900 5.1164
43.7000 6.2207
43.7100 4.1579
43.7200 9.2619
43.7300 6.0023
43.7400 3.7772
43.7500 6.8378
43.7600 11.2206
43.7700 5.3640
43.7800 9.9907
43.7900 5.8466
43.8000 3.6862
43.8100 9.3324
43.8200 3.6830
43.8300 8.5719
43.8400 6.0084
43.8500 6.2547
43.8600 5.3310
43.8700 21.5685
43.8800 7.8337
43.8900 4.4802
43.9000 4.5405
43.9100 12.0955
43.9200 7.3567
43.9300 4.4534
43.9400 5.7587
43.9500 11.5346
43.9600 5.3237
43.9700 10.7072
43.9800 12.7077
43.9900 13.8359
44.0000 15.1655
44.0100 8.9133
44.0200 7.6331
44.0300 6.0007
44.0400 9.6656
44.0500 10.4202
44.0600 5.1559
44.0700 13.1357
44.0800 12.2765
44.0900 8.2472
44.1000 6.2795
44.1100 8.3266
44.1200 8.8170
44.1300 10.0778
44.1400 9.8605
44.1500 9.1656
44.1600 6.7354
44.1700 7.2057
44.1800 15.4404
44.1900 9.3362
44.2000 17.0084
44.2100 9.1545
44.2200 13.6997
44.2300 16.6722
44.2400 14.6994
44.2500 16.0068
44.2600 15.7936
44.2700 13.9006
44.2800 18.8078
44.2900 17.0833
44.3000 26.0666
44.3100 19.4591
44.3200 19.0406
44.3300 27.9782
44.3400 37.0595
44.3500 46.0615
44.3600 59.9393
44.3700 72.6047
44.3800 80.2400
44.3900 85.3735
44.4000 99.7226
44.4100 125.4473
44.4200 140.8403
44.4300 152.5928
44.4400 157.0776
44.4500 189.8708
44.4600 209.2328
44.4700 220.5729
44.4800 264.7174
44.4900 289.9548
44.5000 268.9289
44.5100 313.7850
44.5200 323.8742
44.5300 282.3141
44.5400 285.1568
44.5500 251.7351
44.5600 258.2906
44.5700 233.9632
44.5800 245.6135
44.5900 212.2907
44.6000 201.6788
44.6100 161.3918
44.6200 117.3775
44.6300 138.0700
44.6400 99.4808
44.6500 89.0554
44.6600 77.5665
44.6700 62.9723
44.6800 52.3396
44.6900 49.2403
44.7000 41.3142
44.7100 44.0610
44.7200 36.3345
44.7300 29.4808
44.7400 34.2296
44.7500 22.4909
44.7600 18.2408
44.7700 26.2159
44.7800 15.0854
44.7900 19.4998
44.8000 19.9367
44.8100 7.2260
44.8200 10.3879
44.8300 10.5094
44.8400 11.0811
44.8500 9.4494
44.8600 13.0522
44.8700 8.8281
44.8800 17.6070
44.8900 7.7665
44.9000 15.6479
44.9100 7.7433
44.9200 8.2665
44.9300 9.0576
44.9400 12.5632
44.9500 9.0564
44.9600 6.6059
44.9700 7.3680
44.9800 5.8541
44.9900 3.6767
45.0000 9.7759
45.0100 5.8370
45.0200 4.0599
45.0300 4.3717
45.0400 8.1681
45.0500 7.1130
45.0600 13.4324
45.0700 3.4644
45.0800 4.0319
45.0900 3.3321
45.1000 5.3970
45.1100 6.1023
45.1200 7.8517
45.1300 7.5627
45.1400 6.5928
45.1500 9.0704
45.1600 7.2391
45.1700 6.3992
45.1800 7.5598
45.1900 7.6484
45.2000 4.7448
45.2100 7.7127
45.2200 2.7086
45.2300 6.2319
45.2400 5.2865
45.2500 7.8117
45.2600 6.1535
45.2700 9.1032
45.2800 3.5550
45.2900 3.1829
45.3000 6.5434
45.3100 6.0181
45.3200 10.4162
45.3300 11.7316
45.3400 14.9983
45.3500 16.6065
45.3600 7.4064
45.3700 14.6601
45.3800 4.5972
45.3900 8.1701
45.4000 8.0587
45.4100 10.7084
45.4200 12.8492
45.4300 7.8427
45.4400 3.3746
45.4500 6.3352
45.4600 6.5020
45.4700 14.0244
45.4800 6.0221
45.4900 4.5889
45.5000 9.6169
45.5100 6.1308
45.5200 9.3653
45.5300 3.7349
45.5400 6.8571
45.5500 11.7906
45.5600 3.6220
45.5700 7.1231
45.5800 4.3045
45.5900 5.1373
45.6000 4.2832
45.6100 7.8267
45.6200 9.5982
45.6300 6.0161
45.6400 5.3864
45.6500 6.6748
45.6600 5.2810
45.6700 7.2781
45.6800 8.6104
45.6900 10.4903
45.7000 11.0976
45.7100 3.3137
45.7200 9.4294
45.7300 6.2606
45.7400 9.3491
45.7500 8.9072
45.7600 4.5334
45.7700 8.0304
45.7800 7.5962
45.7900 5.8166
45.8000 3.2474
45.8100 5.4364
45.8200 5.4338
45.8300 6.2103
45.8400 3.2262
45.8500 3.6845
45.8600 1.9259
45.8700 12.8635
45.8800 7.2804
45.8900 6.3995
45.9000 7.5387
45.9100 3.3615
45.9200 5.9782
45.9300 4.8230
45.9400 9.2229
45.9500 10.5555
45.9600 5.2265
45.9700 7.9437
45.9800 5.2973
45.9900 9.3643
46.0000 6.0032
46.0100 6.4618
46.0200 4.0386
46.0300 5.7337
46.0400 8.7003
46.0500 7.7126
46.0600 11.9214
46.0700 6.9590
46.0800 14.5024
46.0900 6.6061
46.1000 14.9768
46.1100 7.0689
46.1200 7.8050
46.1300 8.6436
46.1400 8.5573
46.1500 6.3875
46.1600 4.9496
46.1700 4.4655
46.1800 5.3086
46.1900 10.2746
46.2000 4.5863
46.2100 8.7895
46.2200 8.1638
46.2300 5.7727
46.2400 8.1866
46.2500 4.7697
46.2600 11.7564
46.2700 7.8966
46.2800 5.8539
46.2900 5.6401
46.3000 6.2344
46.3100 7.8646
46.3200 6.7109
46.3300 4.4637
46.3400 5.5056
46.3500 7.0920
46.3600 10.8311
46.3700 7.6105
46.3800 13.2586
46.3900 6.1294
46.4000 5.6689
46.4100 7.1415
46.4200 9.2316
46.4300 4.6224
46.4400 5.5280
46.4500 4.9528
46.4600 6.6848
46.4700 5.8524
46.4800 5.7305
46.4900 5.0290
46.5000 3.1557
46.5100 6.9530
46.5200 8.0148
46.5300 2.2358
46.5400 4.5932
46.5500 6.1201
46.5600 8.0806
46.5700 9.5155
46.5800 6.2017
46.5900 4.2721
46.6000 5.3800
46.6100 6.3739
46.6200 7.2029
46.6300 6.4393
46.6400 9.4378
46.6500 12.6254
46.6600 10.8312
46.6700 3.1515
46.6800 8.6188
46.6900 4.1823
46.7000 5.0503
46.7100 4.3089
46.7200 10.2758
46.7300 4.3546
46.7400 7.4594
46.7500 7.2823
46.7600 11.1643
46.7700 9.6255
46.7800 6.7386
46.7900 7.3380
46.8000 6.0466
46.8100 8.1074
46.8200 12.1227
46.8300 5.3506
46.8400 3.9949
46.8500 9.5213
46.8600 10.4130
46.8700 3.2362
46.8800 4.7498
46.8900 5.0067
46.9000 8.3938
46.9100 6.8516
46.9200 5.8832
46.9300 3.1918
46.9400 6.5549
46.9500 10.0494
46.9600 9.5418
46.9700 7.6796
46.9800 3.1519
46.9900 8.1832
47.0000 6.1491
47.0100 6.2550
47.0200 6.8525
47.0300 4.2858
47.0400 5.3406
47.0500 4.1703
47.0600 6.6441
47.0700 7.2101
47.0800 3.4541
47.0900 4.0124
47.1000 4.1279
47.1100 4.0078
47.1200 7.7377
47.1300 4.5931
47.1400 6.4885
47.1500 4.2665
47.1600 5.2339
47.1700 4.3741
47.1800 5.6398
47.1900 6.4810
47.2000 6.3785
47.2100 5.6589
47.2200 6.0217
47.2300 4.5317
47.2400 2.5916
47.2500 6.3167
47.2600 2.2080
47.2700 8.9101
47.2800 10.6179
47.2900 16.3540
47.3000 4.8844
47.3100 11.8020
47.3200 5.6423
47.3300 12.9673
47.3400 5.5417
47.3500 8.1873
47.3600 2.2606
47.3700 5.1280
47.3800 8.0850
47.3900 5.6654
47.4000 8.4290
47.4100 7.2858
47.4200 10.0424
47.4300 2.9285
47.4400 5.7527
47.4500 6.4835
47.4600 5.7963
47.4700 3.5857
47.4800 9.2021
47.4900 3.3607
47.5000 10.2410
47.5100 5.3916
47.5200 7.1996
47.5300 11.7616
47.5400 7.6822
47.5500 7.9030
47.5600 12.2646
47.5700 6.9951
47.5800 11.0378
47.5900 7.5764
47.6000 7.6624
47.6100 11.8590
47.6200 9.0161
47.6300 9.3846
47.6400 8.1012
47.6500 6.7928
47.6600 9.2544
47.6700 3.7425
47.6800 2.2404
47.6900 5.1391
47.7000 7.6841
47.7100 6.3403
47.7200 11.0895
47.7300 5.7412
47.7400 3.8742
47.7500 6.1609
47.7600 4.1725
47.7700 5.7950
47.7800 5.3049
47.7900 5.4305
47.8000 9.0013
47.8100 6.0365
47.8200 5.9964
47.8300 11.3048
47.8400 5.8659
47.8500 5.7972
47.8600 6.8343
47.8700 7.7491
47.8800 7.7481
47.8900 5.3302
47.9000 8.9928
47.9100 5.6894
47.9200 8.7457
47.9300 2.2333
47.9400 7.2414
47.9500 6.6017
47.9600 6.6213
47.9700 6.8647
47.9800 9.0361
47.9900 5.4519
48.0000 8.4412
48.0100 3.9379
48.0200 7.3486
48.0300 10.1024
48.0400 5.3110
48.0500 3.5595
