#Collected Data-26
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 6.2084
40.0100 2.4598
40.0200 5.2228
40.0300 6.9419
40.0400 4.9265
40.0500 5.6010
40.0600 14.4253
40.0700 7.6867
40.0800 8.1816
40.0900 9.4543
40.1000 0.9799
40.1100 6.5586
40.1200 7.4144
40.1300 6.2122
40.1400 6.5519
40.1500 3.1424
40.1600 4.0506
40.1700 5.3290
40.1800 4.3191
40.1900 9.0121
40.2000 5.4846
40.2100 9.8312
40.2200 5.8647
40.2300 7.2022
40.2400 7.2208
40.2500 9.5136
40.2600 8.7998
40.2700 6.2169
40.2800 6.0944
40.2900 4.9073
40.3000 12.6791
40.3100 8.7116
40.3200 5.9615
40.3300 8.3312
40.3400 9.5260
40.3500 14.8772
40.3600 7.0905
40.3700 13.2422
40.3800 8.9049
40.3900 14.7847
40.4000 9.7176
40.4100 5.9527
40.4200 7.8101
40.4300 7.8607
40.4400 9.3419
40.4500 4.6593
40.4600 9.9683
40.4700 9.1914
40.4800 5.4451
40.4900 6.9431
40.5000 2.9948
40.5100 5.8222
40.5200 9.0727
40.5300 5.2880
40.5400 7.2015
40.5500 5.1641
40.5600 4.3146
40.5700 11.2807
40.5800 9.8217
40.5900 6.3026
40.6000 4.8893
40.6100 6.5253
40.6200 6.9408
40.6300 7.9828
40.6400 11.1016
40.6500 7.2434
40.6600 7.8676
40.6700 6.7372
40.6800 4.4785
40.6900 6.1608
40.7000 4.4302
40.7100 5.4711
40.7200 7.3629
40.7300 6.7955
40.7400 8.9067
40.7500 4.7553
40.7600 7.0528
40.7700 6.9490
40.7800 7.7893
40.7900 8.3369
40.8000 7.0805
40.8100 7.9719
40.8200 6.2858
40.8300 2.7850
40.8400 2.0639
40.8500 8.1150
40.8600 2.2221
40.8700 7.4009
40.8800 8.7451
40.8900 7.6897
40.9000 7.1291
40.9100 5.3109
40.9200 10.9727
40.9300 3.2798
40.9400 5.8540
40.9500 1.6467
40.9600 5.9023
40.9700 4.3253
40.9800 6.6403
40.9900 0.1916
41.0000 3.9721
41.0100 11.6275
41.0200 5.2312
41.0300 9.3661
41.0400 8.2605
41.0500 8.4359
41.0600 9.1739
41.0700 5.0721
41.0800 6.9379
41.0900 3.9394
41.1000 8.4203
41.1100 6.3918
41.1200 7.4953
41.1300 5.6540
41.1400 7.0321
41.1500 5.5090
41.1600 5.1444
41.1700 3.2094
41.1800 5.6065
41.1900 6.9586
41.2000 7.7968
41.2100 13.1364
41.2200 5.5932
41.2300 10.7137
41.2400 2.0865
41.2500 4.1067
41.2600 6.9132
41.2700 5.1686
41.2800 5.5624
41.2900 1.7126
41.3000 5.5900
41.3100 6.9220
41.3200 6.1555
41.3300 6.3988
41.3400 9.0349
41.3500 4.6458
41.3600 10.9078
41.3700 8.5520
41.3800 8.2826
41.3900 7.6009
41.4000 5.9384
41.4100 3.7294
41.4200 10.3735
41.4300 4.4264
41.4400 13.0189
41.4500 10.3643
41.4600 9.1746
41.4700 8.9821
41.4800 7.6017
41.4900 5.3795
41.5000 11.5944
41.5100 10.1668
41.5200 10.4688
41.5300 2.4758
41.5400 6.3729
41.5500 8.7056
41.5600 5.0387
41.5700 4.4384
41.5800 6.1271
41.5900 6.0297
41.6000 8.0897
41.6100 6.5734
41.6200 7.4866
41.6300 5.5353
41.6400 6.4316
41.6500 8.2573
41.6600 8.5429
41.6700 7.5494
41.6800 7.8962
41.6900 5.8355
41.7000 6.0074
41.7100 7.9346
41.7200 3.1236
41.7300 10.3140
41.7400 2.9176
41.7500 5.0613
41.7600 4.2739
41.7700 5.4946
41.7800 5.9309
41.7900 9.1600
41.8000 7.7549
41.8100 5.9477
41.8200 6.2827
41.8300 2.5346
41.8400 5.7257
41.8500 4.0274
41.8600 5.2608
41.8700 3.1021
41.8800 5.8058
41.8900 7.9089
41.9000 8.5396
41.9100 3.5672
41.9200 5.8896
41.9300 5.5174
41.9400 4.0496
41.9500 7.0160
41.9600 3.9744
41.9700 4.5371
41.9800 5.9845
41.9900 7.5021
42.0000 7.3123
42.0100 14.0976
42.0200 10.3907
42.0300 6.2481
42.0400 5.5860
42.0500 6.3851
42.0600 9.3543
42.0700 11.5485
42.0800 7.1100
42.0900 12.2908
42.1000 6.9062
42.1100 7.7915
42.1200 6.2976
42.1300 6.8122
42.1400 7.0366
42.1500 6.2864
42.1600 6.3734
42.1700 5.2096
42.1800 5.1471
42.1900 5.7024
42.2000 8.6718
42.2100 9.4800
42.2200 8.5900
42.2300 5.1181
42.2400 12.5897
42.2500 9.0525
42.2600 7.6434
42.2700 6.5318
42.2800 4.4320
42.2900 7.7233
42.3000 7.5183
42.3100 7.7400
42.3200 14.9597
42.3300 14.1992
42.3400 15.1836
42.3500 21.5081
42.3600 11.7420
42.3700 11.0279
42.3800 10.5804
42.3900 14.1711
42.4000 6.6590
42.4100 6.0988
42.4200 9.2763
42.4300 4.3332
42.4400 2.1563
42.4500 3.7540
42.4600 2.8785
42.4700 5.7831
42.4800 10.0400
42.4900 5.2587
42.5000 6.0943
42.5100 7.7637
42.5200 5.4597
42.5300 6.5115
42.5400 3.1153
42.5500 11.1059
42.5600 6.7277
42.5700 7.7826
42.5800 8.6241
42.5900 5.3502
42.6000 5.2819
42.6100 7.0203
42.6200 4.8568
42.6300 9.8396
42.6400 6.1499
42.6500 3.1468
42.6600 5.9920
42.6700 5.0303
42.6800 5.0380
42.6900 6.0704
42.7000 5.9844
42.7100 2.2770
42.7200 6.6468
42.7300 7.6951
42.7400 5.5004
42.7500 6.7327
42.7600 7.1972
42.7700 1.7591
42.7800 5.5004
42.7900 9.8285
42.8000 11.8845
42.8100 5.1611
42.8200 6.6234
42.8300 8.2597
42.8400 11.7654
42.8500 11.2646
42.8600 7.7366
42.8700 7.0744
42.8800 6.6949
42.8900 6.6859
42.9000 9.7812
42.9100 7.2275
42.9200 7.1208
42.9300 10.0800
42.9400 10.4196
42.9500 7.1598
42.9600 6.8802
42.9700 10.6982
42.9800 6.8165
42.9900 7.4482
43.0000 10.4020
43.0100 8.3297
43.0200 9.1137
43.0300 12.4369
43.0400 8.8691
43.0500 5.1579
43.0600 9.8695
43.0700 5.4746
43.0800 7.5345
43.0900 8.3236
43.1000 10.6403
43.1100 8.0708
43.1200 17.6431
43.1300 1.7019
43.1400 7.6452
43.1500 6.4928
43.1600 5.1697
43.1700 2.8385
43.1800 6.1624
43.1900 3.4731
43.2000 9.7116
43.2100 6.8329
43.2200 12.8673
43.2300 7.5065
43.2400 9.3457
43.2500 8.9083
43.2600 4.3741
43.2700 7.0588
43.2800 8.8131
43.2900 6.9195
43.3000 8.7526
43.3100 7.8841
43.3200 5.4936
43.3300 8.2504
43.3400 7.4163
43.3500 8.3723
43.3600 7.1336
43.3700 7.6016
43.3800 2.8148
43.3900 9.1868
43.4000 9.5491
43.4100 8.5247
43.4200 15.9184
43.4300 4.9253
43.4400 4.1291
43.4500 3.0846
43.4600 2.1161
43.4700 7.2901
43.4800 6.9522
43.4900 5.9301
43.5000 4.7935
43.5100 7.0103
43.5200 8.7386
43.5300 6.4038
43.5400 7.0994
43.5500 8.2451
43.5600 9.5346
43.5700 4.0730
43.5800 5.5266
43.5900 6.4510
43.6000 8.4419
43.6100 4.4947
43.6200 5.9199
43.6300 5.3813
43.6400 2.1497
43.6500 7.9207
43.6600 6.6113
43.6700 5.5874
43.6800 4.1089
43.6900 5.0159
43.7000 6.4076
43.7100 2.2397
43.7200 5.1843
43.7300 8.3965
43.7400 8.4215
43.7500 6.6159
43.7600 9.2757
43.7700 5.9723
43.7800 9.4638
43.7900 5.0099
43.8000 7.7184
43.8100 6.6333
43.8200 6.1777
43.8300 7.7774
43.8400 9.3495
43.8500 9.8858
43.8600 8.6844
43.8700 6.4209
43.8800 5.3142
43.8900 8.1268
43.9000 7.7325
43.9100 5.2092
43.9200 9.8259
43.9300 3.5626
43.9400 7.5504
43.9500 2.8094
43.9600 9.6610
43.9700 4.5389
43.9800 5.5226
43.9900 8.6101
44.0000 9.8863
44.0100 7.7837
44.0200 7.9910
44.0300 8.7425
44.0400 10.8163
44.0500 9.7687
44.0600 4.7110
44.0700 7.2679
44.0800 13.1743
44.0900 10.4405
44.1000 17.8590
44.1100 13.4890
44.1200 10.9677
44.1300 9.5723
44.1400 12.6109
44.1500 7.3977
44.1600 10.6757
44.1700 12.4653
44.1800 14.3132
44.1900 11.0614
44.2000 8.7834
44.2100 15.8341
44.2200 14.0237
44.2300 13.9694
44.2400 21.4063
44.2500 22.3027
44.2600 20.3312
44.2700 18.2448
44.2800 31.3353
44.2900 21.3091
44.3000 34.7543
44.3100 41.5840
44.3200 47.6371
44.3300 33.4711
44.3400 48.1824
44.3500 54.6290
44.3600 51.7066
44.3700 64.8182
44.3800 97.8021
44.3900 86.4349
44.4000 89.6919
44.4100 115.8940
44.4200 117.5273
44.4300 136.8086
44.4400 117.3440
44.4500 158.1185
44.4600 157.4794
44.4700 165.2727
44.4800 190.4971
44.4900 174.5488
44.5000 192.5945
44.5100 201.6445
44.5200 223.5205
44.5300 227.5617
44.5400 216.7386
44.5500 206.7365
44.5600 203.6378
44.5700 195.5048
44.5800 208.3063
44.5900 189.5809
44.6000 171.3756
44.6100 164.7418
44.6200 173.8874
44.6300 137.6157
44.6400 126.2859
44.6500 92.7055
44.6600 82.3530
44.6700 92.1714
44.6800 77.3581
44.6900 68.9785
44.7000 59.5090
44.7100 50.9012
44.7200 43.0042
44.7300 33.6530
44.7400 35.1471
44.7500 25.1465
44.7600 28.7875
44.7700 25.7648
44.7800 22.5107
44.7900 16.3180
44.8000 20.6611
44.8100 15.1114
44.8200 18.3760
44.8300 13.9961
44.8400 12.7861
44.8500 11.2089
44.8600 15.7215
44.8700 11.3492
44.8800 8.8210
44.8900 9.2941
44.9000 5.8425
44.9100 6.8429
44.9200 8.5525
44.9300 8.3863
44.9400 10.5238
44.9500 10.2889
44.9600 6.9416
44.9700 9.5044
44.9800 7.9197
44.9900 6.4528
45.0000 8.2859
45.0100 8.5421
45.0200 8.4981
45.0300 8.2541
45.0400 2.0372
45.0500 4.1935
45.0600 10.7370
45.0700 11.5477
45.0800 8.7503
45.0900 2.7848
45.1000 3.9894
45.1100 4.1697
45.1200 5.2236
45.1300 4.2901
45.1400 8.2634
45.1500 6.2325
45.1600 5.2811
45.1700 4.6491
45.1800 5.6247
45.1900 2.5546
45.2000 3.3329
45.2100 1.0030
45.2200 2.7732
45.2300 0.3220
45.2400 11.3699
45.2500 8.5654
45.2600 4.8684
45.2700 7.3469
45.2800 4.8570
45.2900 4.6587
45.3000 6.1833
45.3100 6.2608
45.3200 9.0339
45.3300 3.8449
45.3400 11.8112
45.3500 4.8848
45.3600 4.2075
45.3700 5.9633
45.3800 4.1732
45.3900 7.9488
45.4000 4.6116
45.4100 3.7708
45.4200 3.0734
45.4300 7.2349
45.4400 4.6584
45.4500 8.6282
45.4600 5.6302
45.4700 14.6189
45.4800 3.0240
45.4900 3.3279
45.5000 4.8435
45.5100 10.9522
45.5200 10.1108
45.5300 7.3827
45.5400 7.8556
45.5500 3.4256
45.5600 6.2530
45.5700 6.4605
45.5800 5.2360
45.5900 6.7684
45.6000 6.6725
45.6100 6.3499
45.6200 7.2318
45.6300 7.3531
45.6400 4.3861
45.6500 5.3602
45.6600 3.1655
45.6700 5.2852
45.6800 7.4255
45.6900 5.4174
45.7000 10.8635
45.7100 6.3747
45.7200 3.6434
45.7300 4.8044
45.7400 6.1773
45.7500 7.0268
45.7600 8.8637
45.7700 6.2535
45.7800 3.3440
45.7900 5.2471
45.8000 4.3128
45.8100 9.5227
45.8200 10.0993
45.8300 6.7343
45.8400 5.1079
45.8500 8.2386
45.8600 6.2601
45.8700 5.9654
45.8800 6.1496
45.8900 7.4288
45.9000 4.4086
45.9100 6.2958
45.9200 6.0065
45.9300 5.4533
45.9400 3.1440
45.9500 4.5903
45.9600 4.1062
45.9700 5.8201
45.9800 6.2038
45.9900 10.0374
46.0000 3.1273
46.0100 6.6506
46.0200 5.1407
46.0300 9.7815
46.0400 7.2003
46.0500 6.7431
46.0600 3.5089
46.0700 4.7904
46.0800 10.6663
46.0900 8.2908
46.1000 7.3791
46.1100 6.0915
46.1200 2.9001
46.1300 2.0573
46.1400 7.0362
46.1500 4.4662
46.1600 7.7525
46.1700 8.4298
46.1800 7.2411
46.1900 1.4479
46.2000 9.1711
46.2100 6.8495
46.2200 6.0295
46.2300 5.9940
46.2400 10.0625
46.2500 5.8562
46.2600 5.4649
46.2700 2.8886
46.2800 5.8319
46.2900 4.4463
46.3000 5.0867
46.3100 2.0327
46.3200 1.2426
46.3300 2.1866
46.3400 10.0237
46.3500 10.7479
46.3600 3.7746
46.3700 12.7572
46.3800 9.2006
46.3900 8.8060
46.4000 11.9072
46.4100 6.6351
46.4200 8.0603
