#Collected Data-22
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 11.3049
40.0100 12.1648
40.0200 10.7785
40.0300 9.2805
40.0400 6.1968
40.0500 12.1006
40.0600 8.3553
40.0700 11.1087
40.0800 12.0440
40.0900 13.6167
40.1000 13.2945
40.1100 11.4812
40.1200 7.6161
40.1300 9.9690
40.1400 8.7614
40.1500 11.5655
40.1600 15.5125
40.1700 8.1778
40.1800 17.1216
40.1900 5.8729
40.2000 9.2416
40.2100 10.1372
40.2200 9.0554
40.2300 10.0908
40.2400 9.1134
40.2500 11.7873
40.2600 8.7119
40.2700 5.2325
40.2800 6.7201
40.2900 10.3639
40.3000 5.0344
40.3100 9.6740
40.3200 9.1322
40.3300 7.0603
40.3400 10.8840
40.3500 17.4817
40.3600 10.1930
40.3700 15.1660
40.3800 9.8534
40.3900 11.1005
40.4000 5.6169
40.4100 8.4525
40.4200 10.0498
40.4300 10.0002
40.4400 4.9046
40.4500 12.4174
40.4600 11.2461
40.4700 8.1048
40.4800 5.1255
40.4900 6.9899
40.5000 17.3650
40.5100 8.0590
40.5200 7.4792
40.5300 11.3468
40.5400 11.6200
40.5500 7.3489
40.5600 8.8684
40.5700 9.6590
40.5800 12.8840
40.5900 12.0419
40.6000 12.5961
40.6100 15.4130
40.6200 14.6050
40.6300 9.9500
40.6400 11.7200
40.6500 11.6775
40.6600 11.4101
40.6700 14.2177
40.6800 16.1097
40.6900 14.4659
40.7000 6.7728
40.7100 8.1773
40.7200 10.0094
40.7300 7.2713
40.7400 8.1445
40.7500 7.0168
40.7600 9.3061
40.7700 14.5948
40.7800 7.2370
40.7900 10.2043
40.8000 8.3464
40.8100 12.4531
40.8200 13.4194
40.8300 13.1035
40.8400 9.7521
40.8500 8.4504
40.8600 7.5148
40.8700 5.4349
40.8800 4.8893
40.8900 13.0943
40.9000 8.6539
40.9100 9.8412
40.9200 6.2084
40.9300 12.3041
40.9400 9.4953
40.9500 10.2973
40.9600 7.9421
40.9700 5.7633
40.9800 4.3459
40.9900 15.1220
41.0000 7.5473
41.0100 8.3316
41.0200 13.3345
41.0300 8.2200
41.0400 9.0241
41.0500 7.3102
41.0600 11.3901
41.0700 10.9859
41.0800 9.4177
41.0900 12.9707
41.1000 8.5309
41.1100 9.0703
41.1200 7.0239
41.1300 11.6612
41.1400 8.0955
41.1500 10.8431
41.1600 8.8245
41.1700 8.2921
41.1800 11.7024
41.1900 17.3763
41.2000 8.8994
41.2100 12.5353
41.2200 12.5516
41.2300 6.4599
41.2400 8.7864
41.2500 8.0765
41.2600 8.5623
41.2700 12.1469
41.2800 15.8752
41.2900 12.8064
41.3000 18.5962
41.3100 15.4589
41.3200 8.5568
41.3300 15.4797
41.3400 13.3030
41.3500 15.5525
41.3600 13.0937
41.3700 12.1478
41.3800 17.3005
41.3900 9.5989
41.4000 10.3101
41.4100 6.3897
41.4200 11.9917
41.4300 14.7129
41.4400 21.3085
41.4500 13.3413
41.4600 7.4825
41.4700 9.3933
41.4800 9.5992
41.4900 15.8485
41.5000 12.3534
41.5100 13.7075
41.5200 13.4808
41.5300 16.1580
41.5400 7.5982
41.5500 12.1595
41.5600 10.1429
41.5700 15.4243
41.5800 10.1303
41.5900 15.9782
41.6000 15.5307
41.6100 11.6361
41.6200 16.3894
41.6300 9.3261
41.6400 16.3232
41.6500 7.6464
41.6600 8.3919
41.6700 10.5486
41.6800 6.7277
41.6900 9.8150
41.7000 11.9376
41.7100 16.0800
41.7200 10.2192
41.7300 21.1357
41.7400 13.9290
41.7500 22.3466
41.7600 10.7498
41.7700 10.7259
41.7800 10.1225
41.7900 10.0491
41.8000 12.7082
41.8100 10.8679
41.8200 6.3659
41.8300 13.6195
41.8400 10.2581
41.8500 13.7704
41.8600 6.1098
41.8700 12.0569
41.8800 5.5639
41.8900 6.0595
41.9000 7.5708
41.9100 10.3065
41.9200 8.3484
41.9300 12.7121
41.9400 9.8221
41.9500 11.5879
41.9600 7.5963
41.9700 11.5016
41.9800 10.3765
41.9900 8.0483
42.0000 9.6405
42.0100 8.4165
42.0200 10.1759
42.0300 5.1605
42.0400 4.8768
42.0500 13.8806
42.0600 6.7374
42.0700 8.0284
42.0800 10.5344
42.0900 7.1671
42.1000 7.6949
42.1100 9.1205
42.1200 10.9632
42.1300 13.3912
42.1400 8.8900
42.1500 8.1623
42.1600 8.5640
42.1700 7.0740
42.1800 6.7679
42.1900 12.9551
42.2000 7.4303
42.2100 7.1658
42.2200 7.5034
42.2300 10.8337
42.2400 4.9203
42.2500 12.6516
42.2600 10.8919
42.2700 7.3635
42.2800 9.2344
42.2900 4.2423
42.3000 4.2566
42.3100 6.1763
42.3200 13.8063
42.3300 7.7590
42.3400 6.2543
42.3500 11.2813
42.3600 6.3804
42.3700 5.3231
42.3800 12.4598
42.3900 6.8679
42.4000 9.1967
42.4100 9.4309
42.4200 10.3937
42.4300 6.6718
42.4400 8.3747
42.4500 11.5386
42.4600 9.2699
42.4700 8.9061
42.4800 7.4277
42.4900 9.4546
42.5000 11.3856
42.5100 5.8033
42.5200 13.7641
42.5300 12.0613
42.5400 7.7096
42.5500 8.2412
42.5600 9.5471
42.5700 12.3221
42.5800 6.6207
42.5900 8.2534
42.6000 9.5140
42.6100 12.4341
42.6200 8.0946
42.6300 5.9721
42.6400 9.8552
42.6500 12.6213
42.6600 7.0466
42.6700 11.7601
42.6800 9.3360
42.6900 10.9943
42.7000 15.7920
42.7100 14.5326
42.7200 7.2807
42.7300 7.8834
42.7400 9.4861
42.7500 8.8758
42.7600 11.6032
42.7700 9.0815
42.7800 14.0519
42.7900 6.0029
42.8000 9.9744
42.8100 10.0385
42.8200 11.9278
42.8300 4.3240
42.8400 5.7371
42.8500 10.0794
42.8600 7.9034
42.8700 11.3611
42.8800 9.7786
42.8900 6.5812
42.9000 6.6405
42.9100 12.5816
42.9200 10.4279
42.9300 16.1898
42.9400 8.0562
42.9500 7.0227
42.9600 11.2736
42.9700 12.6758
42.9800 7.7484
42.9900 8.9426
43.0000 12.2348
43.0100 6.6507
43.0200 10.2152
43.0300 11.6691
43.0400 15.4074
43.0500 12.7909
43.0600 14.3500
43.0700 6.3826
43.0800 11.4003
43.0900 5.9892
43.1000 12.0977
43.1100 8.3222
43.1200 12.0839
43.1300 10.6009
43.1400 11.0541
43.1500 11.0476
43.1600 10.9558
43.1700 10.2359
43.1800 9.7934
43.1900 9.2127
43.2000 12.7299
43.2100 6.0491
43.2200 10.2276
43.2300 9.4967
43.2400 9.0657
43.2500 10.0170
43.2600 7.7514
43.2700 16.5090
43.2800 9.1611
43.2900 7.5862
43.3000 10.6011
43.3100 13.5744
43.3200 7.7144
43.3300 12.2928
43.3400 3.5115
43.3500 8.6545
43.3600 8.0168
43.3700 10.3026
43.3800 9.3902
43.3900 6.2339
43.4000 7.2317
43.4100 8.9790
43.4200 8.1691
43.4300 15.4046
43.4400 14.8500
43.4500 22.9330
43.4600 8.8515
43.4700 18.4768
43.4800 9.8575
43.4900 15.5713
43.5000 14.1463
43.5100 11.1627
43.5200 7.6527
43.5300 8.7039
43.5400 7.5774
43.5500 10.7822
43.5600 14.4617
43.5700 15.8710
43.5800 14.4647
43.5900 14.8009
43.6000 9.6175
43.6100 8.9699
43.6200 14.3816
43.6300 13.4000
43.6400 8.9576
43.6500 9.3346
43.6600 12.2796
43.6700 8.4664
43.6800 11.3477
43.6900 13.9631
43.7000 14.5917
43.7100 13.9213
43.7200 8.0071
43.7300 8.9397
43.7400 9.5169
43.7500 12.0543
43.7600 10.5405
43.7700 4.4224
43.7800 14.4432
43.7900 11.0772
43.8000 5.2852
43.8100 6.4053
43.8200 13.7760
43.8300 11.0254
43.8400 5.6465
43.8500 6.7702
43.8600 8.5109
43.8700 9.1701
43.8800 7.8394
43.8900 5.9611
43.9000 3.1598
43.9100 7.8714
43.9200 10.3928
43.9300 12.9948
43.9400 14.8300
43.9500 11.3529
43.9600 9.8991
43.9700 12.3654
43.9800 5.2125
43.9900 8.0830
44.0000 8.4393
44.0100 14.8476
44.0200 12.8284
