#Collected Data-28
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 13.3654
40.0100 7.2121
40.0200 12.9415
40.0300 9.1956
40.0400 7.7803
40.0500 6.9934
40.0600 6.7353
40.0700 10.4354
40.0800 11.4322
40.0900 9.3550
40.1000 8.1317
40.1100 6.8290
40.1200 11.7841
40.1300 8.3186
40.1400 10.1649
40.1500 10.4017
40.1600 8.6429
40.1700 8.3392
40.1800 15.0811
40.1900 10.8144
40.2000 9.0961
40.2100 8.8355
40.2200 6.9604
40.2300 9.6807
40.2400 7.6624
40.2500 11.1229
40.2600 6.4150
40.2700 9.4102
40.2800 5.4777
40.2900 8.3937
40.3000 11.5662
40.3100 6.5097
40.3200 13.1905
40.3300 5.2449
40.3400 13.0838
40.3500 7.2454
40.3600 15.5280
40.3700 6.5894
40.3800 10.0064
40.3900 11.1143
40.4000 13.4663
40.4100 11.7290
40.4200 14.4237
40.4300 9.5427
40.4400 14.0381
40.4500 9.6594
40.4600 6.9159
40.4700 15.0474
40.4800 12.5697
40.4900 4.7065
40.5000 10.9538
40.5100 13.3308
40.5200 10.8412
40.5300 18.7180
40.5400 13.0733
40.5500 14.0885
40.5600 17.9425
40.5700 13.8970
40.5800 13.9033
40.5900 12.4548
40.6000 10.9071
40.6100 17.5828
40.6200 13.2864
40.6300 10.8947
40.6400 13.1155
40.6500 8.0231
40.6600 9.1803
40.6700 12.7773
40.6800 11.4311
40.6900 6.6703
40.7000 12.5013
40.7100 9.2069
40.7200 10.6709
40.7300 7.6369
40.7400 9.9415
40.7500 15.1531
40.7600 16.3601
40.7700 14.4702
40.7800 8.6353
40.7900 12.7758
40.8000 14.5273
40.8100 15.1625
40.8200 12.7067
40.8300 15.5751
40.8400 5.6353
40.8500 12.8554
40.8600 10.0139
40.8700 10.0460
40.8800 12.8994
40.8900 6.5143
40.9000 15.2944
40.9100 11.1856
40.9200 5.7226
40.9300 8.6405
40.9400 6.5039
40.9500 10.6441
40.9600 10.1767
40.9700 7.4877
40.9800 6.9860
40.9900 7.4445
41.0000 7.7665
41.0100 10.9764
41.0200 14.8410
41.0300 7.9069
41.0400 5.4489
41.0500 10.1892
41.0600 14.8535
41.0700 8.4559
41.0800 13.0393
41.0900 6.3707
41.1000 11.2572
41.1100 13.2538
41.1200 6.3715
41.1300 7.4453
41.1400 6.5680
41.1500 13.4129
41.1600 6.9932
41.1700 9.1080
41.1800 15.8013
41.1900 14.8356
41.2000 8.1443
41.2100 9.0772
41.2200 9.2055
41.2300 10.2857
41.2400 9.4986
41.2500 13.8441
41.2600 8.1944
41.2700 15.2794
41.2800 8.9841
41.2900 13.5792
41.3000 9.7451
41.3100 11.4044
41.3200 5.6357
41.3300 11.6686
41.3400 9.9256
41.3500 6.6908
41.3600 6.3668
41.3700 5.0652
41.3800 8.6898
41.3900 7.1500
41.4000 11.7722
41.4100 7.1493
41.4200 8.8730
41.4300 9.5771
41.4400 12.9189
41.4500 14.1960
41.4600 9.4695
41.4700 7.9064
41.4800 10.7179
41.4900 10.8578
41.5000 11.0641
41.5100 9.6499
41.5200 5.5809
41.5300 15.2992
41.5400 3.7052
41.5500 12.6848
41.5600 15.2682
41.5700 9.2474
41.5800 2.9477
41.5900 10.8541
41.6000 10.0921
41.6100 12.1961
41.6200 6.9089
41.6300 9.1829
41.6400 9.2801
41.6500 7.5607
41.6600 8.2296
41.6700 11.8355
41.6800 8.8096
41.6900 9.0232
41.7000 9.4467
41.7100 8.3309
41.7200 14.9002
41.7300 15.5533
41.7400 9.7850
41.7500 9.3030
41.7600 8.3371
41.7700 13.8111
41.7800 10.5075
41.7900 9.5388
41.8000 7.0706
41.8100 13.2164
41.8200 9.9414
41.8300 9.7292
41.8400 7.9913
41.8500 8.1292
41.8600 9.1815
41.8700 9.8187
41.8800 6.2345
41.8900 9.3040
41.9000 12.1326
41.9100 6.7191
41.9200 7.6514
41.9300 5.2608
41.9400 13.9358
41.9500 9.7887
41.9600 14.7344
41.9700 9.2486
41.9800 6.4830
41.9900 9.0125
42.0000 14.0840
42.0100 11.9197
42.0200 11.2367
42.0300 8.4690
42.0400 9.0533
42.0500 13.9631
42.0600 13.8591
42.0700 7.3045
42.0800 5.3568
42.0900 7.6386
42.1000 9.3312
42.1100 9.8737
42.1200 8.1509
42.1300 13.4012
42.1400 6.0472
42.1500 10.5629
42.1600 8.0742
42.1700 12.2225
42.1800 9.9585
42.1900 7.5979
42.2000 7.2501
42.2100 10.0453
42.2200 8.4043
42.2300 10.0238
42.2400 10.9793
42.2500 9.9904
42.2600 12.5270
