#Collected Data-111
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 41.9691
40.0100 46.3703
40.0200 43.1942
40.0300 39.5971
40.0400 52.2238
40.0500 55.5697
40.0600 53.6819
40.0700 60.5826
40.0800 54.4235
40.0900 46.1136
40.1000 41.2157
40.1100 48.4988
40.1200 49.1270
40.1300 53.7604
40.1400 50.6454
40.1500 47.0549
40.1600 46.4229
40.1700 63.0732
40.1800 41.1392
40.1900 59.5590
40.2000 54.1959
40.2100 45.5858
40.2200 54.0391
40.2300 54.5022
40.2400 55.0553
40.2500 55.5212
40.2600 51.7538
40.2700 56.4572
40.2800 51.5303
40.2900 36.1554
40.3000 44.4964
40.3100 46.5047
40.3200 54.8859
40.3300 49.0374
40.3400 45.4532
40.3500 49.7321
40.3600 45.9005
40.3700 48.8796
40.3800 41.3920
40.3900 43.1193
40.4000 35.2484
40.4100 43.9798
40.4200 46.5027
40.4300 55.9243
40.4400 50.7809
40.4500 47.2419
40.4600 42.5139
40.4700 53.9874
40.4800 48.7185
40.4900 53.3456
40.5000 51.0788
40.5100 45.3959
40.5200 54.2181
40.5300 56.3485
40.5400 48.9301
40.5500 40.2531
40.5600 43.8047
40.5700 60.4048
40.5800 43.0793
40.5900 59.3755
40.6000 52.0369
40.6100 59.3814
40.6200 47.4837
40.6300 46.6645
40.6400 52.1638
40.6500 44.0933
40.6600 52.4248
40.6700 47.9178
40.6800 49.3811
40.6900 56.0898
40.7000 53.4623
40.7100 33.1576
40.7200 41.9320
40.7300 59.1995
40.7400 55.9014
40.7500 52.2313
40.7600 58.4783
40.7700 55.8859
40.7800 47.4329
40.7900 46.9766
40.8000 57.5454
40.8100 42.9902
40.8200 46.1022
40.8300 50.7053
40.8400 49.8546
40.8500 65.3532
40.8600 54.9311
40.8700 48.9371
40.8800 46.6329
40.8900 47.0904
40.9000 58.3379
40.9100 49.4958
40.9200 48.9104
40.9300 49.1730
40.9400 50.8721
40.9500 49.5552
40.9600 54.3421
40.9700 56.6942
40.9800 44.5900
40.9900 38.6317
41.0000 52.4164
41.0100 46.4759
41.0200 43.2698
41.0300 49.2960
41.0400 40.7665
41.0500 46.9404
41.0600 52.2505
41.0700 42.7613
41.0800 58.7438
41.0900 48.4830
41.1000 51.6438
41.1100 50.5363
41.1200 46.2801
41.1300 50.3630
41.1400 41.5658
41.1500 59.2509
41.1600 52.2668
41.1700 45.0505
41.1800 52.3147
41.1900 47.5804
41.2000 49.0812
41.2100 48.2173
41.2200 55.3370
41.2300 60.6313
41.2400 62.8623
41.2500 47.3747
41.2600 53.0655
41.2700 48.8447
41.2800 55.6269
41.2900 49.2915
41.3000 51.5222
41.3100 50.0029
41.3200 53.1491
41.3300 55.6829
41.3400 46.9980
41.3500 45.7111
41.3600 40.1768
41.3700 52.4283
41.3800 47.0434
41.3900 59.4317
41.4000 47.9979
41.4100 67.3173
41.4200 35.2282
41.4300 62.5509
41.4400 58.3369
41.4500 56.5095
41.4600 62.1012
41.4700 54.6040
41.4800 40.2018
41.4900 47.9111
41.5000 53.7169
41.5100 58.5594
41.5200 54.3508
41.5300 45.6765
41.5400 44.9503
41.5500 57.2566
41.5600 61.4381
41.5700 53.8056
41.5800 47.8650
41.5900 49.6337
41.6000 43.6582
41.6100 51.3035
41.6200 52.0142
41.6300 49.9380
41.6400 55.7435
41.6500 59.2871
41.6600 56.9167
41.6700 56.2877
41.6800 46.4714
41.6900 49.3064
41.7000 57.0789
41.7100 53.7346
41.7200 38.0030
41.7300 61.8597
41.7400 37.4737
41.7500 64.7880
41.7600 64.1258
41.7700 52.6943
41.7800 48.4897
41.7900 49.9114
41.8000 56.7913
41.8100 48.2612
41.8200 57.9781
41.8300 69.3909
41.8400 70.5291
41.8500 56.4779
41.8600 65.1543
41.8700 58.9694
41.8800 51.7508
41.8900 54.8491
41.9000 58.2916
41.9100 62.5554
41.9200 53.0317
41.9300 54.9909
41.9400 52.5785
41.9500 54.2191
41.9600 55.7361
41.9700 47.2785
41.9800 58.1534
41.9900 54.7330
42.0000 59.0157
42.0100 57.2102
42.0200 61.4881
42.0300 50.6431
42.0400 53.0883
42.0500 68.3298
42.0600 62.5946
42.0700 73.7938
42.0800 66.1147
42.0900 72.4450
42.1000 63.8170
42.1100 50.2063
42.1200 57.0233
42.1300 51.8662
42.1400 57.0768
42.1500 63.4587
42.1600 50.8018
42.1700 59.1822
42.1800 59.3231
42.1900 62.9355
42.2000 54.8515
42.2100 68.8560
42.2200 69.0204
42.2300 63.6960
42.2400 72.4314
42.2500 62.7657
42.2600 58.9507
42.2700 63.8007
42.2800 65.2663
42.2900 74.7917
42.3000 59.3512
42.3100 64.1445
42.3200 60.7061
42.3300 70.4099
42.3400 66.3285
42.3500 58.3161
42.3600 57.8592
42.3700 58.1796
42.3800 51.0194
42.3900 64.0408
42.4000 59.3615
42.4100 60.6153
42.4200 65.4128
