#Collected Data-117
#Intensity_unit=counts
#Attenuator_coefficient=1.000000
40.0000 48.0510
40.0100 55.6284
40.0200 34.9514
40.0300 37.4047
40.0400 44.6414
40.0500 50.8633
40.0600 59.9769
40.0700 54.4055
40.0800 48.7778
40.0900 55.8433
40.1000 55.3386
40.1100 47.4381
40.1200 41.0091
40.1300 56.5234
40.1400 40.5307
40.1500 48.1719
40.1600 50.2346
40.1700 49.9375
40.1800 50.3803
40.1900 42.2763
40.2000 49.2490
40.2100 55.5601
40.2200 51.6760
40.2300 42.6477
40.2400 43.5974
40.2500 67.4324
40.2600 40.8709
40.2700 61.3348
40.2800 51.8548
40.2900 54.3177
40.3000 36.8747
40.3100 48.9139
40.3200 55.9713
40.3300 50.0634
40.3400 49.5607
40.3500 47.4040
40.3600 43.6300
40.3700 39.2924
40.3800 50.1059
40.3900 37.4235
40.4000 39.8434
40.4100 47.9250
40.4200 55.5246
40.4300 55.8750
40.4400 47.5355
40.4500 53.9121
40.4600 47.1069
40.4700 44.2907
40.4800 50.3563
40.4900 63.7987
40.5000 44.4749
40.5100 45.0810
40.5200 48.8089
40.5300 59.1197
40.5400 40.5388
40.5500 49.8781
40.5600 47.4183
40.5700 52.6199
40.5800 46.4125
40.5900 46.6394
40.6000 54.9506
40.6100 49.4092
40.6200 46.4731
40.6300 45.7161
40.6400 52.5542
40.6500 53.6913
40.6600 43.5977
40.6700 39.9762
40.6800 54.8818
40.6900 59.4295
40.7000 48.3332
40.7100 47.3123
40.7200 58.9234
40.7300 53.3524
40.7400 64.6356
40.7500 49.0915
40.7600 41.6844
40.7700 41.3427
40.7800 49.6532
40.7900 55.1539
40.8000 49.9109
40.8100 47.9807
40.8200 50.0065
40.8300 52.8363
40.8400 63.2800
40.8500 43.7476
40.8600 47.5051
40.8700 49.2215
40.8800 50.2226
40.8900 56.9377
40.9000 45.3021
40.9100 44.3977
40.9200 48.1549
40.9300 56.4713
40.9400 46.4752
40.9500 56.1665
40.9600 46.7661
40.9700 48.8669
40.9800 54.7247
40.9900 51.1843
41.0000 42.7400
41.0100 41.3030
41.0200 44.4163
41.0300 55.9453
41.0400 39.9135
41.0500 43.8103
41.0600 40.3696
41.0700 54.5398
41.0800 49.1526
41.0900 59.2024
41.1000 43.5157
41.1100 55.9107
41.1200 52.2758
41.1300 50.7230
41.1400 40.6991
41.1500 45.3955
41.1600 44.7598
41.1700 47.7930
41.1800 59.2875
41.1900 52.3159
41.2000 51.0749
41.2100 60.3413
41.2200 47.6685
41.2300 48.2149
41.2400 58.7522
41.2500 49.2417
41.2600 52.8093
41.2700 49.7982
41.2800 56.7797
41.2900 54.7779
41.3000 52.1623
41.3100 64.7981
41.3200 55.2398
41.3300 60.5338
41.3400 55.9313
41.3500 40.5836
41.3600 47.8774
41.3700 59.3392
41.3800 53.3956
41.3900 43.2850
41.4000 51.2688
41.4100 45.1564
41.4200 43.4427
41.4300 52.4080
41.4400 62.6958
41.4500 47.9605
41.4600 60.0199
41.4700 57.3929
41.4800 61.8965
41.4900 61.9840
41.5000 51.9869
41.5100 45.1345
41.5200 58.1102
41.5300 46.6866
41.5400 74.5104
41.5500 45.0395
41.5600 51.6892
41.5700 47.5107
41.5800 53.0345
41.5900 47.2778
41.6000 44.2854
41.6100 53.2094
41.6200 52.8807
41.6300 49.3693
41.6400 49.8977
41.6500 49.7759
41.6600 52.0292
41.6700 61.6812
41.6800 54.1834
41.6900 55.3584
41.7000 50.6056
41.7100 49.7601
41.7200 51.7494
41.7300 39.6379
41.7400 48.8036
41.7500 51.8046
41.7600 58.0441
41.7700 58.4667
41.7800 34.1954
41.7900 48.5217
41.8000 55.1506
41.8100 54.0127
41.8200 53.5607
41.8300 61.9908
41.8400 43.9464
41.8500 60.4903
41.8600 53.5759
41.8700 57.4200
41.8800 46.2067
41.8900 55.4531
41.9000 59.3124
41.9100 47.4880
41.9200 50.4463
41.9300 52.8664
41.9400 56.1278
41.9500 52.6436
41.9600 60.9189
41.9700 49.4142
41.9800 53.9299
41.9900 52.9663
42.0000 61.5365
42.0100 56.2533
42.0200 65.7803
42.0300 64.3181
42.0400 59.3818
42.0500 57.3420
42.0600 48.9665
42.0700 59.3157
42.0800 55.8214
42.0900 71.9539
42.1000 59.1747
42.1100 57.2398
42.1200 63.2284
42.1300 54.3088
42.1400 54.9242
42.1500 51.3245
42.1600 55.6678
42.1700 48.4656
42.1800 48.4103
42.1900 59.2028
42.2000 44.9187
42.2100 38.8083
42.2200 45.4217
42.2300 57.8505
42.2400 58.4732
42.2500 61.6287
42.2600 51.1097
42.2700 56.8343
42.2800 55.4824
42.2900 65.8279
42.3000 45.0996
42.3100 51.1051
42.3200 45.1242
42.3300 54.3291
42.3400 51.0381
42.3500 72.3787
42.3600 53.4279
42.3700 53.4739
42.3800 62.5078
42.3900 64.2089
42.4000 62.6804
42.4100 53.8187
42.4200 60.2742
42.4300 54.8252
42.4400 47.0384
42.4500 61.6129
42.4600 54.8090
42.4700 67.9713
42.4800 60.6974
42.4900 54.7052
42.5000 52.8259
42.5100 65.4337
42.5200 52.3651
42.5300 50.8128
42.5400 43.8704
42.5500 55.9369
42.5600 60.9509
42.5700 44.7885
42.5800 52.1363
42.5900 51.9530
42.6000 61.0886
42.6100 61.0527
42.6200 64.6775
42.6300 51.2232
42.6400 48.0695
42.6500 58.3316
42.6600 56.1428
42.6700 67.9841
42.6800 72.6786
42.6900 62.1861
42.7000 57.3696
42.7100 54.8069
42.7200 48.9123
42.7300 45.9106
42.7400 55.0599
42.7500 47.2261
42.7600 57.5797
42.7700 61.6030
42.7800 65.9093
42.7900 57.5131
42.8000 51.5453
42.8100 71.2175
42.8200 60.5101
42.8300 58.4168
42.8400 66.4496
42.8500 56.6045
42.8600 63.2096
42.8700 61.9396
42.8800 72.4680
42.8900 67.2277
42.9000 65.8113
42.9100 54.4366
42.9200 60.9366
42.9300 67.9139
42.9400 56.1568
42.9500 57.5489
42.9600 52.9979
42.9700 66.8490
42.9800 59.5373
42.9900 52.1005
43.0000 56.1130
43.0100 60.1333
43.0200 52.7282
43.0300 58.4901
43.0400 70.1664
43.0500 68.6841
43.0600 66.6970
43.0700 61.6373
43.0800 81.1677
43.0900 64.0011
43.1000 82.0085
43.1100 61.4510
43.1200 67.5079
43.1300 53.8470
43.1400 54.9450
43.1500 54.3479
43.1600 53.2507
43.1700 61.1501
43.1800 61.0107
43.1900 63.8294
43.2000 62.7720
43.2100 61.6313
43.2200 58.6349
43.2300 62.1956
43.2400 67.0933
43.2500 62.2396
43.2600 57.4412
43.2700 64.3604
43.2800 58.9827
43.2900 68.8229
43.3000 74.8594
43.3100 55.9780
43.3200 68.3480
43.3300 66.8775
43.3400 70.7514
43.3500 76.1295
43.3600 51.4779
43.3700 59.6722
43.3800 62.8542
43.3900 64.8268
43.4000 73.1894
43.4100 61.7188
43.4200 66.4762
43.4300 59.9569
43.4400 59.6971
43.4500 68.6998
43.4600 70.3167
43.4700 71.3431
43.4800 61.5000
43.4900 63.9039
43.5000 61.4298
43.5100 58.8720
43.5200 59.7750
43.5300 59.0520
43.5400 65.8741
43.5500 68.8836
43.5600 60.9460
43.5700 73.4469
43.5800 58.3750
43.5900 67.9259
43.6000 69.5578
43.6100 76.7777
43.6200 59.3431
43.6300 71.2404
43.6400 76.4563
43.6500 66.3839
43.6600 69.6977
43.6700 59.8223
43.6800 66.9794
43.6900 64.4566
43.7000 68.6590
43.7100 62.8376
43.7200 71.9475
43.7300 63.0469
43.7400 60.5246
43.7500 70.4516
43.7600 63.4246
43.7700 60.8816
43.7800 80.8012
43.7900 74.2343
43.8000 68.9288
43.8100 74.3795
43.8200 66.1307
43.8300 53.7075
43.8400 57.0666
43.8500 64.2865
43.8600 67.6563
43.8700 56.0922
43.8800 72.8086
43.8900 66.2154
43.9000 58.8667
43.9100 55.3537
43.9200 66.9368
43.9300 64.6068
43.9400 62.8310
43.9500 59.0137
43.9600 59.9937
43.9700 72.6552
43.9800 76.9195
43.9900 61.6355
44.0000 64.3368
44.0100 54.3854
44.0200 55.1047
44.0300 55.3159
44.0400 58.1305
44.0500 59.5717
44.0600 73.1310
44.0700 64.5022
44.0800 60.7138
44.0900 60.3928
44.1000 67.8334
44.1100 62.2800
44.1200 65.8906
44.1300 56.4227
44.1400 49.2656
44.1500 67.2026
44.1600 64.4957
44.1700 68.6808
44.1800 72.4706
44.1900 68.0400
44.2000 63.9656
44.2100 65.3401
44.2200 68.5919
44.2300 62.0482
44.2400 67.4005
44.2500 77.0921
44.2600 75.8414
44.2700 62.3203
44.2800 66.8855
44.2900 62.9715
44.3000 71.9124
44.3100 57.5227
44.3200 61.2684
44.3300 67.2274
44.3400 62.2800
44.3500 70.2318
44.3600 67.0337
44.3700 72.0547
44.3800 56.5230
44.3900 51.1434
44.4000 78.0618
44.4100 55.0971
44.4200 59.7931
